Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	440	48	0
TCGA-2F-A9KP-01A-11D-A38G-08	33	62	16
TCGA-2F-A9KQ-01A-11D-A38G-08	5	43	9
TCGA-2F-A9KR-01A-11D-A38G-08	88	89	12
TCGA-2F-A9KT-01A-11D-A38G-08	215	59	34
TCGA-2F-A9KW-01A-11D-A38G-08	8	72	17
TCGA-4Z-AA7M-01A-11D-A391-08	320	117	0
TCGA-4Z-AA7N-01A-11D-A391-08	2	14	0
TCGA-4Z-AA7O-01A-31D-A391-08	69	86	27
TCGA-4Z-AA7Q-01A-11D-A391-08	206	0	19
TCGA-4Z-AA7R-01A-11D-A391-08	209	75	32
TCGA-4Z-AA7S-01A-11D-A391-08	0	25	22
TCGA-4Z-AA7W-01A-11D-A391-08	438	29	0
TCGA-4Z-AA7Y-01A-11D-A391-08	156	89	4
TCGA-4Z-AA80-01A-11D-A391-08	199	86	80
TCGA-4Z-AA81-01A-11D-A391-08	90	75	18
TCGA-4Z-AA82-01A-11D-A391-08	21	76	5
TCGA-4Z-AA83-01A-11D-A391-08	20	45	12
TCGA-4Z-AA84-01A-11D-A391-08	47	393	0
TCGA-4Z-AA86-01A-11D-A391-08	171	12	15
TCGA-4Z-AA87-01A-11D-A391-08	123	51	29
TCGA-4Z-AA89-01A-11D-A391-08	84	33	1
TCGA-5N-A9KI-01A-31D-A42E-08	47	89	21
TCGA-5N-A9KM-01A-11D-A42E-08	0	185	12
TCGA-BL-A0C8-01A-11D-A271-08	40	55	24
TCGA-BL-A13I-01A-11D-A271-08	70	31	7
TCGA-BL-A13J-01A-11D-A271-08	55	28	0
TCGA-BL-A3JM-01A-12D-A21A-08	67	89	13
TCGA-BL-A5ZZ-01A-31D-A30E-08	30	97	8
TCGA-BT-A0S7-01A-11D-A10S-08	0	21	17
TCGA-BT-A0YX-01A-11D-A10S-08	438	117	0
TCGA-BT-A20J-01A-11D-A14W-08	251	130	28
TCGA-BT-A20N-01A-11D-A14W-08	106	82	29
TCGA-BT-A20O-01A-21D-A14W-08	79	75	10
TCGA-BT-A20P-01A-11D-A14W-08	57	0	9
TCGA-BT-A20Q-01A-11D-A14W-08	35	29	12
TCGA-BT-A20R-01A-12D-A16O-08	147	30	31
TCGA-BT-A20T-01A-11D-A14W-08	126	98	10
TCGA-BT-A20U-01A-11D-A14W-08	56	20	10
TCGA-BT-A20V-01A-11D-A14W-08	23	35	27
TCGA-BT-A20W-01A-21D-A14W-08	31	10	24
TCGA-BT-A20X-01A-11D-A16O-08	18	20	25
TCGA-BT-A2LA-01A-11D-A18F-08	31	102	17
TCGA-BT-A2LB-01A-11D-A18F-08	79	435	8
TCGA-BT-A2LD-01A-12D-A20D-08	2	70	22
TCGA-BT-A3PH-01A-11D-A21Z-08	398	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	177	260	13
TCGA-BT-A3PK-01A-21D-A21Z-08	141	164	12
TCGA-BT-A42B-01A-32D-A23M-08	0	46	13
TCGA-BT-A42C-01A-11D-A23M-08	147	151	21
TCGA-BT-A42E-01A-11D-A23U-08	129	12	0
TCGA-BT-A42F-01A-11D-A23U-08	115	35	0
TCGA-C4-A0EZ-01A-21D-A10S-08	37	104	34
TCGA-C4-A0F0-01A-12D-A10S-08	9	71	4
TCGA-C4-A0F1-01A-11D-A10S-08	64	58	26
TCGA-C4-A0F6-01A-11D-A10S-08	130	17	33
TCGA-C4-A0F7-01A-11D-A10S-08	0	36	28
TCGA-CF-A1HR-01A-11D-A13W-08	155	62	13
TCGA-CF-A1HS-01A-11D-A13W-08	200	0	8
TCGA-CF-A27C-01A-11D-A16O-08	121	23	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	20	0
TCGA-CF-A3MG-01A-11D-A20D-08	92	20	13
TCGA-CF-A3MH-01A-11D-A20D-08	11	15	9
TCGA-CF-A3MI-01A-11D-A20D-08	23	27	11
TCGA-CF-A47S-01A-11D-A23U-08	0	15	6
TCGA-CF-A47T-01A-11D-A23U-08	2	13	8
TCGA-CF-A47V-01A-11D-A23U-08	51	30	7
TCGA-CF-A47W-01A-11D-A23U-08	0	20	7
TCGA-CF-A47X-01A-31D-A23U-08	182	82	18
TCGA-CF-A47Y-01A-11D-A23U-08	39	17	4
TCGA-CF-A5U8-01A-11D-A289-08	0	36	19
TCGA-CF-A5UA-01A-11D-A289-08	18	24	29
TCGA-CF-A7I0-01A-22D-A34U-08	15	23	5
TCGA-CF-A8HX-01A-11D-A364-08	19	29	7
TCGA-CF-A8HY-01A-11D-A364-08	32	16	23
TCGA-CF-A9FF-01A-11D-A38G-08	67	58	3
TCGA-CF-A9FH-01A-11D-A38G-08	0	16	20
TCGA-CF-A9FL-01A-11D-A38G-08	0	31	17
TCGA-CF-A9FM-01A-11D-A38G-08	0	18	4
TCGA-CU-A0YN-01A-21D-A10S-08	0	124	25
TCGA-CU-A0YO-01A-11D-A10S-08	29	33	15
TCGA-CU-A0YR-01A-12D-A10S-08	0	111	9
TCGA-CU-A3KJ-01A-11D-A21A-08	160	28	18
TCGA-CU-A3QU-01A-11D-A22Z-08	33	31	21
TCGA-CU-A3YL-01A-11D-A22Z-08	146	45	10
TCGA-CU-A5W6-01A-11D-A289-08	91	76	3
TCGA-CU-A72E-01A-12D-A339-08	44	26	7
TCGA-DK-A1A3-01A-11D-A13W-08	208	313	12
TCGA-DK-A1A5-01A-11D-A13W-08	150	58	21
TCGA-DK-A1A6-01A-11D-A13W-08	199	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	10	162	16
TCGA-DK-A1AA-01A-11D-A13W-08	10	46	18
TCGA-DK-A1AB-01A-11D-A13W-08	110	70	0
TCGA-DK-A1AC-01A-11D-A13W-08	382	829	0
TCGA-DK-A1AD-01A-11D-A13W-08	89	86	26
TCGA-DK-A1AE-01A-11D-A13W-08	54	38	0
TCGA-DK-A1AF-01A-11D-A13W-08	52	21	3
TCGA-DK-A1AG-01A-11D-A13W-08	54	53	6
TCGA-DK-A2HX-01A-12D-A18F-08	21	61	10
TCGA-DK-A2I1-01A-11D-A17V-08	143	0	24
TCGA-DK-A2I2-01A-11D-A17V-08	29	49	3
TCGA-DK-A2I4-01A-11D-A21A-08	374	364	14
TCGA-DK-A2I6-01A-12D-A18F-08	40	203	12
TCGA-DK-A3IK-01A-32D-A21A-08	109	43	19
TCGA-DK-A3IL-01A-11D-A20D-08	4	96	59
TCGA-DK-A3IM-01A-11D-A20D-08	0	50	15
TCGA-DK-A3IN-01A-11D-A20D-08	253	76	11
TCGA-DK-A3IQ-01A-31D-A20D-08	70	89	6
TCGA-DK-A3IS-01A-21D-A21A-08	186	112	6
TCGA-DK-A3IT-01A-31D-A20D-08	345	0	6
TCGA-DK-A3IU-01A-11D-A20D-08	201	176	0
TCGA-DK-A3IV-01A-22D-A21A-08	20	30	13
TCGA-DK-A3WW-01A-22D-A23M-08	646	372	28
TCGA-DK-A3WX-01A-22D-A22Z-08	2	31	2
TCGA-DK-A3WY-01A-11D-A22Z-08	6	4	0
TCGA-DK-A3X1-01A-12D-A22Z-08	444	230	81
TCGA-DK-A3X2-01A-11D-A22Z-08	16	68	19
TCGA-DK-A6AV-01A-12D-A30E-08	34	62	9
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	3691
TCGA-DK-A6B0-01A-11D-A31L-08	0	21	1
TCGA-DK-A6B1-01A-12D-A30E-08	26	85	13
TCGA-DK-A6B2-01A-11D-A30E-08	54	106	19
TCGA-DK-A6B5-01A-11D-A31L-08	59	37	6
TCGA-DK-A6B6-01A-11D-A30E-08	293	548	0
TCGA-DK-AA6L-01A-11D-A391-08	265	69	12
TCGA-DK-AA6M-01A-11D-A391-08	8	24	22
TCGA-DK-AA6P-01A-11D-A391-08	64	78	4
TCGA-DK-AA6Q-01A-11D-A391-08	52	46	9
TCGA-DK-AA6R-01A-11D-A42E-08	92	166	29
TCGA-DK-AA6S-01A-21D-A391-08	374	111	0
TCGA-DK-AA6T-01A-11D-A391-08	18	13	33
TCGA-DK-AA6U-01A-11D-A391-08	152	179	44
TCGA-DK-AA6W-01A-12D-A391-08	140	80	10
