Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	324	143	0	51	19	0
TCGA-2F-A9KP-01A-11D-A38G-08	30	30	28	0	37	9
TCGA-2F-A9KQ-01A-11D-A38G-08	8	9	17	0	27	0
TCGA-2F-A9KR-01A-11D-A38G-08	69	79	17	8	16	25
TCGA-2F-A9KT-01A-11D-A38G-08	168	91	14	0	32	24
TCGA-2F-A9KW-01A-11D-A38G-08	2	21	0	49	31	5
TCGA-4Z-AA7M-01A-11D-A391-08	230	129	70	10	43	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	0	3	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	49	40	39	25	34	12
TCGA-4Z-AA7Q-01A-11D-A391-08	129	32	37	13	27	4
TCGA-4Z-AA7R-01A-11D-A391-08	160	98	1	43	19	25
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	0	44	9
TCGA-4Z-AA7W-01A-11D-A391-08	321	127	29	18	8	0
TCGA-4Z-AA7Y-01A-11D-A391-08	129	88	24	15	8	9
TCGA-4Z-AA80-01A-11D-A391-08	149	93	35	25	51	52
TCGA-4Z-AA81-01A-11D-A391-08	73	73	3	20	17	14
TCGA-4Z-AA82-01A-11D-A391-08	15	27	3	33	32	0
TCGA-4Z-AA83-01A-11D-A391-08	18	17	9	7	26	5
TCGA-4Z-AA84-01A-11D-A391-08	5	246	158	41	25	7
TCGA-4Z-AA86-01A-11D-A391-08	118	46	11	19	8	9
TCGA-4Z-AA87-01A-11D-A391-08	90	41	13	19	50	12
TCGA-4Z-AA89-01A-11D-A391-08	66	32	5	0	24	0
TCGA-5N-A9KI-01A-31D-A42E-08	32	52	23	27	28	18
TCGA-5N-A9KM-01A-11D-A42E-08	0	19	119	54	34	0
TCGA-BL-A0C8-01A-11D-A271-08	27	20	14	16	48	10
TCGA-BL-A13I-01A-11D-A271-08	40	9	45	15	15	0
TCGA-BL-A13J-01A-11D-A271-08	24	9	24	41	1	0
TCGA-BL-A3JM-01A-12D-A21A-08	50	36	44	23	37	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	19	36	37	18	36	2
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	21	8	6	5
TCGA-BT-A0YX-01A-11D-A10S-08	356	208	0	0	30	0
TCGA-BT-A20J-01A-11D-A14W-08	206	164	0	6	39	25
TCGA-BT-A20N-01A-11D-A14W-08	49	18	47	108	13	14
TCGA-BT-A20O-01A-21D-A14W-08	40	25	43	51	17	0
TCGA-BT-A20P-01A-11D-A14W-08	44	0	0	9	16	4
TCGA-BT-A20Q-01A-11D-A14W-08	29	25	2	0	15	10
TCGA-BT-A20R-01A-12D-A16O-08	127	59	0	0	30	24
TCGA-BT-A20T-01A-11D-A14W-08	104	104	25	0	16	6
TCGA-BT-A20U-01A-11D-A14W-08	44	26	0	2	12	5
TCGA-BT-A20V-01A-11D-A14W-08	21	11	2	7	40	19
TCGA-BT-A20W-01A-21D-A14W-08	19	2	0	23	20	7
TCGA-BT-A20X-01A-11D-A16O-08	8	3	23	19	8	8
TCGA-BT-A2LA-01A-11D-A18F-08	31	34	0	0	101	0
TCGA-BT-A2LB-01A-11D-A18F-08	37	237	247	1	27	22
TCGA-BT-A2LD-01A-12D-A20D-08	5	15	11	11	55	5
TCGA-BT-A3PH-01A-11D-A21Z-08	292	97	5	0	31	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	133	187	114	8	27	22
TCGA-BT-A3PK-01A-21D-A21Z-08	73	34	156	68	14	3
TCGA-BT-A42B-01A-32D-A23M-08	2	11	0	8	40	1
TCGA-BT-A42C-01A-11D-A23M-08	82	61	64	106	30	9
TCGA-BT-A42E-01A-11D-A23U-08	78	29	17	11	23	0
TCGA-BT-A42F-01A-11D-A23U-08	81	50	1	26	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	30	37	43	25	53	13
TCGA-C4-A0F0-01A-12D-A10S-08	6	8	30	26	26	0
TCGA-C4-A0F1-01A-11D-A10S-08	51	43	0	20	34	16
TCGA-C4-A0F6-01A-11D-A10S-08	95	32	0	14	43	12
TCGA-C4-A0F7-01A-11D-A10S-08	0	4	0	11	43	10
TCGA-CF-A1HR-01A-11D-A13W-08	122	76	30	0	19	12
TCGA-CF-A1HS-01A-11D-A13W-08	159	0	40	9	16	7
TCGA-CF-A27C-01A-11D-A16O-08	81	36	3	20	13	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	1	1	15	0
TCGA-CF-A3MG-01A-11D-A20D-08	65	26	6	13	25	4
TCGA-CF-A3MH-01A-11D-A20D-08	8	3	1	6	20	2
TCGA-CF-A3MI-01A-11D-A20D-08	21	11	6	0	25	6
TCGA-CF-A47S-01A-11D-A23U-08	0	5	0	0	14	2
TCGA-CF-A47T-01A-11D-A23U-08	1	5	7	0	6	5
TCGA-CF-A47V-01A-11D-A23U-08	24	10	12	37	10	5
TCGA-CF-A47W-01A-11D-A23U-08	0	3	5	9	11	2
TCGA-CF-A47X-01A-31D-A23U-08	146	91	28	5	29	11
TCGA-CF-A47Y-01A-11D-A23U-08	24	1	18	13	9	0
TCGA-CF-A5U8-01A-11D-A289-08	0	2	26	16	16	4
