NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	104.078	61.123	18.028	41.122	0.469	0.851	40000.0
2	105.029	61.52	18.193	41.086	0.465	0.854	40000.0
3	104.644	60.953	18.276	40.753	0.464	0.857	60000.0
4	105.038	61.314	18.061	41.119	0.471	0.852	70000.0
5	105.802	61.426	18.556	41.365	0.467	0.852	30000.0
6	105.387	61.231	18.295	41.044	0.459	0.856	40000.0
7	104.45	61.472	18.263	41.294	0.469	0.852	30000.0
8	104.88	61.011	18.274	40.948	0.459	0.857	60000.0
9	105.226	61.11	18.396	41.016	0.463	0.857	30000.0
10	104.419	60.785	17.678	40.101	0.471	0.857	70000.0
11	102.823	60.214	17.645	39.921	0.461	0.861	90000.0
12	105.071	61.79	18.357	41.415	0.471	0.851	40000.0
13	104.984	61.446	18.402	41.371	0.467	0.853	30000.0
14	104.684	61.343	18.144	40.822	0.469	0.857	40000.0
15	103.583	60.753	17.858	40.561	0.463	0.856	50000.0
16	104.002	60.517	18.22	40.695	0.461	0.858	40000.0
17	104.171	61.084	18.02	40.745	0.466	0.854	30000.0
18	103.714	60.853	18.031	40.706	0.461	0.856	40000.0
19	105.165	61.424	18.402	41.251	0.462	0.854	20000.0
20	105.273	61.011	18.361	40.737	0.459	0.859	30000.0
21	104.991	61.666	18.188	41.389	0.469	0.852	20000.0
22	105.296	61.584	18.236	41.085	0.468	0.854	50000.0
23	105.799	61.677	18.596	41.382	0.47	0.854	50000.0
24	103.905	60.906	18.073	40.935	0.462	0.856	40000.0
25	104.294	61.165	18.095	40.899	0.46	0.856	20000.0
26	105.214	61.559	18.565	41.447	0.473	0.851	50000.0
27	104.759	61.54	18.073	41.034	0.467	0.853	60000.0
28	105.589	61.375	18.317	41.23	0.462	0.855	40000.0
29	104.345	60.9	17.868	40.566	0.467	0.857	30000.0
30	105.702	61.434	18.19	41.022	0.466	0.855	40000.0
31	105.352	61.443	18.421	41.322	0.465	0.853	60000.0
32	104.03	60.996	17.664	40.42	0.475	0.856	50000.0
33	105.032	61.485	18.19	41.293	0.469	0.851	50000.0
34	104.279	61.058	17.877	40.561	0.473	0.856	50000.0
35	105.239	61.551	18.3	41.402	0.463	0.854	40000.0
36	104.511	61.233	18.143	41.017	0.461	0.854	50000.0
37	104.553	61.236	18.281	41.357	0.464	0.854	60000.0
38	103.155	60.238	17.475	39.759	0.464	0.862	30000.0
39	104.997	61.664	18.457	41.285	0.469	0.853	50000.0
40	105.502	61.474	18.455	41.279	0.468	0.853	90000.0
41	104.308	60.888	18.271	41.057	0.463	0.854	30000.0
42	103.751	60.735	17.947	40.529	0.461	0.859	40000.0
43	104.422	61.039	18.118	41.023	0.461	0.856	30000.0
44	105.224	61.509	18.416	41.266	0.463	0.854	20000.0
45	105.458	61.671	18.515	41.433	0.468	0.852	30000.0
46	105.412	61.22	18.299	41.173	0.467	0.852	40000.0
47	104.367	61.033	18.101	40.857	0.463	0.856	50000.0
48	105.174	61.854	18.259	41.281	0.47	0.854	50000.0
49	105.271	61.8	18.212	41.355	0.47	0.852	60000.0
50	104.641	61.046	18.192	40.969	0.46	0.856	60000.0
51	104.195	60.713	18.253	40.871	0.458	0.857	30000.0
52	103.733	61.353	17.633	40.798	0.474	0.854	40000.0
53	104.928	61.335	18.326	40.94	0.468	0.857	40000.0
54	103.819	60.741	18.195	40.653	0.461	0.858	40000.0
55	104.66	61.049	18.402	41.113	0.458	0.855	50000.0
56	103.821	60.607	17.993	40.574	0.456	0.858	40000.0
57	104.295	60.727	18.205	40.72	0.459	0.857	40000.0
58	104.374	61.006	18.236	40.988	0.462	0.854	40000.0
59	105.105	61.226	18.313	41.372	0.467	0.851	30000.0
60	105.322	61.598	18.536	41.543	0.465	0.852	40000.0
61	106.306	61.996	18.618	41.643	0.473	0.851	40000.0
62	104.112	61.087	18.068	40.956	0.47	0.854	70000.0
63	106.616	61.826	18.623	41.505	0.468	0.852	40000.0
64	105.608	61.624	18.369	41.175	0.467	0.853	50000.0
65	104.511	61.26	18.178	40.935	0.46	0.858	30000.0
66	105.138	61.367	18.38	41.047	0.466	0.854	40000.0
67	104.342	60.966	18.206	40.862	0.462	0.857	20000.0
68	104.815	61.138	18.402	41.12	0.463	0.856	50000.0
69	104.946	61.857	18.313	41.67	0.473	0.85	30000.0
70	104.377	61.244	18.332	40.924	0.465	0.856	30000.0
71	104.913	61.02	18.256	40.902	0.462	0.857	40000.0
72	105.227	60.967	18.249	40.669	0.459	0.859	60000.0
73	103.87	60.704	17.768	40.179	0.469	0.858	50000.0
74	103.916	60.861	18.095	40.753	0.46	0.859	20000.0
75	105.895	61.51	18.537	41.327	0.464	0.852	50000.0
76	105.725	62.085	18.379	41.436	0.468	0.853	60000.0
77	104.242	61.075	18.108	40.933	0.464	0.855	30000.0
78	104.85	61.293	18.285	41.039	0.465	0.854	40000.0
79	105.581	62.089	18.51	41.523	0.477	0.85	40000.0
80	104.337	61.092	18.04	40.821	0.464	0.857	60000.0
81	105.094	61.333	18.379	41.113	0.465	0.855	30000.0
82	104.936	61.202	18.44	41.464	0.464	0.853	30000.0
83	105.445	61.604	18.475	41.15	0.467	0.856	30000.0
84	104.804	60.82	18.421	40.71	0.457	0.86	20000.0
85	104.283	61.018	18.109	41.148	0.463	0.853	60000.0
86	105.186	61.199	18.38	41.199	0.466	0.854	30000.0
87	105.186	61.576	18.299	41.112	0.466	0.855	40000.0
88	104.055	60.946	18.15	40.965	0.459	0.855	40000.0
89	104.812	60.984	18.282	40.947	0.461	0.855	30000.0
90	104.625	61.107	18.133	40.844	0.464	0.857	30000.0
91	105.099	61.502	18.379	41.266	0.468	0.853	30000.0
92	104.963	61.415	18.472	41.257	0.466	0.853	40000.0
93	104.947	61.213	18.222	41.264	0.462	0.855	40000.0
94	103.465	60.763	18.033	40.482	0.462	0.858	20000.0
95	105.422	61.33	18.162	40.831	0.473	0.856	40000.0
96	104.153	61.212	18.197	41.048	0.466	0.855	50000.0
97	103.368	60.835	17.638	40.498	0.47	0.854	60000.0
98	106.595	62.282	18.494	41.717	0.472	0.85	80000.0
99	105.917	61.724	18.573	41.332	0.468	0.853	50000.0
100	103.832	60.726	17.721	40.414	0.467	0.857	40000.0
101	102.46	60.114	17.381	39.836	0.462	0.86	90000.0
102	106.001	61.586	18.399	41.095	0.467	0.855	50000.0
103	104.614	61.03	18.262	41.0	0.464	0.855	40000.0
104	105.008	61.366	18.362	41.322	0.466	0.854	50000.0
105	103.824	61.365	17.929	40.92	0.471	0.854	50000.0
106	104.231	61.368	17.979	41.037	0.469	0.853	30000.0
107	104.054	61.176	18.202	40.968	0.465	0.855	50000.0
108	105.47	61.384	18.415	41.305	0.465	0.852	30000.0
109	105.432	61.3	18.209	40.988	0.466	0.855	30000.0
110	104.829	61.459	18.153	41.23	0.468	0.852	50000.0
111	105.836	61.656	18.427	41.395	0.466	0.853	20000.0
112	105.752	61.697	18.451	41.362	0.469	0.853	30000.0
113	104.418	60.819	18.402	40.88	0.457	0.857	40000.0
114	105.297	61.506	18.298	41.22	0.469	0.853	30000.0
115	104.07	60.7	17.753	40.339	0.468	0.857	50000.0
116	105.891	61.514	18.552	41.311	0.467	0.854	50000.0
117	105.427	61.555	18.377	41.135	0.465	0.857	30000.0
118	104.463	61.164	18.342	41.207	0.466	0.853	60000.0
119	105.094	61.483	18.316	41.438	0.466	0.852	40000.0
120	104.787	60.98	18.15	40.719	0.464	0.858	30000.0
121	105.676	61.713	18.455	41.17	0.468	0.855	40000.0
122	104.39	61.099	17.895	40.818	0.47	0.855	60000.0
123	104.754	61.081	18.55	41.098	0.46	0.855	50000.0
124	104.552	61.287	17.919	40.71	0.471	0.855	60000.0
125	104.713	60.97	18.138	40.882	0.461	0.856	50000.0
126	105.369	60.822	18.336	40.821	0.465	0.856	80000.0
127	105.09	61.311	18.346	41.04	0.465	0.856	50000.0
128	105.604	61.879	18.516	41.485	0.47	0.853	40000.0
129	104.876	61.439	18.218	41.233	0.469	0.853	40000.0
130	105.914	61.423	18.454	41.229	0.462	0.855	30000.0
131	104.468	60.969	18.31	40.965	0.463	0.856	30000.0
132	105.844	62.383	18.567	41.787	0.481	0.846	30000.0
133	104.472	61.046	18.133	40.955	0.464	0.856	60000.0
134	105.712	61.557	18.402	41.483	0.465	0.854	40000.0
135	104.318	60.927	18.338	40.976	0.459	0.856	50000.0
136	104.242	61.189	18.098	41.128	0.467	0.853	60000.0
137	105.574	61.646	18.594	41.238	0.469	0.854	30000.0
138	105.723	61.757	18.356	41.298	0.469	0.853	20000.0
139	104.491	61.201	18.354	41.299	0.462	0.853	20000.0
140	104.836	61.151	18.285	41.074	0.464	0.854	50000.0
141	104.263	61.098	18.033	40.791	0.465	0.856	40000.0
142	105.85	62.137	18.4	41.61	0.473	0.851	50000.0
143	104.989	61.264	18.195	41.063	0.468	0.854	30000.0
144	105.794	61.352	18.261	41.187	0.467	0.853	50000.0
145	104.96	61.157	18.313	41.178	0.464	0.853	40000.0
146	104.416	61.022	17.783	40.564	0.471	0.855	50000.0
147	105.736	61.748	18.166	41.039	0.476	0.853	70000.0
148	104.198	60.967	18.184	41.029	0.463	0.855	30000.0
149	105.525	61.565	18.336	41.427	0.469	0.852	40000.0
150	104.858	60.917	18.107	40.794	0.466	0.856	20000.0
151	104.969	61.424	18.241	41.085	0.468	0.854	60000.0
152	105.903	61.821	18.569	41.51	0.47	0.853	20000.0
153	104.917	61.356	18.304	41.318	0.47	0.854	50000.0
154	104.475	61.401	18.069	40.858	0.462	0.856	20000.0
155	104.055	61.332	18.17	41.135	0.466	0.854	40000.0
156	104.543	61.281	18.127	40.938	0.464	0.856	50000.0
157	104.911	61.287	18.325	41.073	0.463	0.856	40000.0
158	104.795	61.681	18.237	41.254	0.471	0.853	30000.0
159	102.535	59.691	17.478	39.656	0.459	0.863	40000.0
160	104.982	61.33	18.072	41.187	0.474	0.852	30000.0
161	104.204	60.955	18.043	41.075	0.468	0.854	60000.0
162	104.889	61.075	18.376	41.158	0.466	0.853	60000.0
163	105.349	61.914	18.503	41.58	0.474	0.85	40000.0
164	105.754	61.616	18.477	41.381	0.466	0.853	30000.0
165	105.018	61.598	18.183	41.146	0.469	0.853	30000.0
166	105.147	61.258	18.295	41.043	0.465	0.856	40000.0
167	104.439	61.253	18.155	40.936	0.462	0.855	20000.0
168	105.642	61.861	18.475	41.586	0.47	0.851	40000.0
169	104.549	61.359	18.235	41.132	0.465	0.854	40000.0
170	105.936	62.026	18.512	41.89	0.476	0.847	50000.0
171	103.391	60.324	17.851	40.35	0.46	0.858	50000.0
172	105.152	61.612	18.367	41.309	0.464	0.853	30000.0
