Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	403	147	0	57	18	9
TCGA-2F-A9KP-01A-11D-A38G-08	37	34	19	0	41	8
TCGA-2F-A9KQ-01A-11D-A38G-08	7	10	20	0	30	5
TCGA-2F-A9KR-01A-11D-A38G-08	91	93	14	25	17	17
TCGA-2F-A9KT-01A-11D-A38G-08	218	105	16	9	28	18
TCGA-2F-A9KW-01A-11D-A38G-08	10	23	0	53	27	13
TCGA-4Z-AA7M-01A-11D-A391-08	307	142	70	6	56	7
TCGA-4Z-AA7N-01A-11D-A391-08	7	8	0	2	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	68	42	32	23	44	17
TCGA-4Z-AA7Q-01A-11D-A391-08	164	17	29	28	30	7
TCGA-4Z-AA7R-01A-11D-A391-08	195	120	16	33	21	20
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	45	10
TCGA-4Z-AA7W-01A-11D-A391-08	424	124	53	26	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	148	118	18	27	10	2
TCGA-4Z-AA80-01A-11D-A391-08	184	100	28	40	48	58
TCGA-4Z-AA81-01A-11D-A391-08	96	84	0	17	25	16
TCGA-4Z-AA82-01A-11D-A391-08	20	26	4	38	33	0
TCGA-4Z-AA83-01A-11D-A391-08	22	23	11	7	37	1
TCGA-4Z-AA84-01A-11D-A391-08	15	340	170	40	39	13
TCGA-4Z-AA86-01A-11D-A391-08	143	60	14	11	11	13
TCGA-4Z-AA87-01A-11D-A391-08	114	55	12	22	50	12
TCGA-4Z-AA89-01A-11D-A391-08	81	35	12	0	21	0
TCGA-5N-A9KI-01A-31D-A42E-08	36	60	23	34	27	10
TCGA-5N-A9KM-01A-11D-A42E-08	0	23	113	79	28	0
TCGA-BL-A0C8-01A-11D-A271-08	50	17	11	21	47	14
TCGA-BL-A13I-01A-11D-A271-08	44	11	46	8	17	5
TCGA-BL-A13J-01A-11D-A271-08	31	9	20	51	3	0
TCGA-BL-A3JM-01A-12D-A21A-08	57	50	43	34	38	5
TCGA-BL-A5ZZ-01A-31D-A30E-08	31	46	42	18	49	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	21	10	7	5
TCGA-BT-A0YX-01A-11D-A10S-08	485	228	0	0	31	0
TCGA-BT-A20J-01A-11D-A14W-08	271	176	0	0	52	34
TCGA-BT-A20N-01A-11D-A14W-08	68	18	44	117	27	6
TCGA-BT-A20O-01A-21D-A14W-08	48	31	47	55	20	1
TCGA-BT-A20P-01A-11D-A14W-08	58	0	0	7	21	9
TCGA-BT-A20Q-01A-11D-A14W-08	41	23	10	0	16	15
TCGA-BT-A20R-01A-12D-A16O-08	141	82	0	0	36	29
TCGA-BT-A20T-01A-11D-A14W-08	131	117	25	10	16	11
TCGA-BT-A20U-01A-11D-A14W-08	55	24	0	6	11	7
TCGA-BT-A20V-01A-11D-A14W-08	21	14	14	6	41	15
TCGA-BT-A20W-01A-21D-A14W-08	20	4	1	22	23	7
TCGA-BT-A20X-01A-11D-A16O-08	9	0	25	27	6	11
TCGA-BT-A2LA-01A-11D-A18F-08	45	39	0	0	111	0
TCGA-BT-A2LB-01A-11D-A18F-08	57	329	284	4	37	26
TCGA-BT-A2LD-01A-12D-A20D-08	7	17	15	12	56	7
TCGA-BT-A3PH-01A-11D-A21Z-08	385	96	23	0	29	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	157	229	135	31	23	24
TCGA-BT-A3PK-01A-21D-A21Z-08	78	39	174	90	24	0
TCGA-BT-A42B-01A-32D-A23M-08	3	11	0	13	49	0
TCGA-BT-A42C-01A-11D-A23M-08	134	62	77	87	22	30
TCGA-BT-A42E-01A-11D-A23U-08	107	25	25	2	21	3
TCGA-BT-A42F-01A-11D-A23U-08	109	56	10	11	1	0
TCGA-C4-A0EZ-01A-21D-A10S-08	36	42	33	32	59	18
TCGA-C4-A0F0-01A-12D-A10S-08	13	5	35	23	27	0
TCGA-C4-A0F1-01A-11D-A10S-08	61	54	0	22	33	22
TCGA-C4-A0F6-01A-11D-A10S-08	121	34	5	2	53	14
TCGA-C4-A0F7-01A-11D-A10S-08	5	12	0	17	52	6
TCGA-CF-A1HR-01A-11D-A13W-08	154	80	27	0	19	7
TCGA-CF-A1HS-01A-11D-A13W-08	177	0	53	22	14	11
TCGA-CF-A27C-01A-11D-A16O-08	101	40	4	11	18	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	1	1	18	0
TCGA-CF-A3MG-01A-11D-A20D-08	72	36	9	13	25	0
TCGA-CF-A3MH-01A-11D-A20D-08	12	2	12	0	21	0
TCGA-CF-A3MI-01A-11D-A20D-08	22	10	12	0	28	5
TCGA-CF-A47S-01A-11D-A23U-08	0	4	0	7	17	2
TCGA-CF-A47T-01A-11D-A23U-08	1	6	7	0	11	6
TCGA-CF-A47V-01A-11D-A23U-08	35	16	18	35	17	0
TCGA-CF-A47W-01A-11D-A23U-08	0	4	5	9	11	4
TCGA-CF-A47X-01A-31D-A23U-08	191	110	20	0	41	10
TCGA-CF-A47Y-01A-11D-A23U-08	25	4	18	17	8	3
TCGA-CF-A5U8-01A-11D-A289-08	0	2	22	18	15	6
TCGA-CF-A5UA-01A-11D-A289-08	21	0	0	4	48	12
TCGA-CF-A7I0-01A-22D-A34U-08	12	14	7	12	13	3
TCGA-CF-A8HX-01A-11D-A364-08	19	25	0	13	12	6
TCGA-CF-A8HY-01A-11D-A364-08	14	0	0	53	16	7
TCGA-CF-A9FF-01A-11D-A38G-08	61	61	13	1	16	7
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	7	2	17	11
TCGA-CF-A9FL-01A-11D-A38G-08	0	2	7	22	22	9
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	14	7	8	0
TCGA-CU-A0YN-01A-21D-A10S-08	0	19	68	58	39	0
TCGA-CU-A0YO-01A-11D-A10S-08	25	19	14	6	33	6
TCGA-CU-A0YR-01A-12D-A10S-08	2	12	102	28	17	2
TCGA-CU-A3KJ-01A-11D-A21A-08	123	53	31	22	35	3
TCGA-CU-A3QU-01A-11D-A22Z-08	36	29	19	1	23	14
TCGA-CU-A3YL-01A-11D-A22Z-08	151	77	5	0	24	8
TCGA-CU-A5W6-01A-11D-A289-08	92	77	12	30	25	0
TCGA-CU-A72E-01A-12D-A339-08	52	26	8	0	26	0
TCGA-DK-A1A3-01A-11D-A13W-08	208	341	93	30	20	19
TCGA-DK-A1A5-01A-11D-A13W-08	162	90	12	0	22	12
TCGA-DK-A1A6-01A-11D-A13W-08	127	29	32	67	9	0
TCGA-DK-A1A7-01A-11D-A13W-08	14	32	126	25	49	0
TCGA-DK-A1AA-01A-11D-A13W-08	6	4	38	27	12	8
TCGA-DK-A1AB-01A-11D-A13W-08	130	87	0	0	13	0
TCGA-DK-A1AC-01A-11D-A13W-08	434	1214	33	46	20	42
TCGA-DK-A1AD-01A-11D-A13W-08	77	49	65	26	24	19
TCGA-DK-A1AE-01A-11D-A13W-08	48	35	6	19	21	0
TCGA-DK-A1AF-01A-11D-A13W-08	55	29	8	6	0	6
TCGA-DK-A1AG-01A-11D-A13W-08	63	42	8	4	24	12
TCGA-DK-A2HX-01A-12D-A18F-08	20	40	6	20	21	4
TCGA-DK-A2I1-01A-11D-A17V-08	126	59	0	9	15	15
TCGA-DK-A2I2-01A-11D-A17V-08	19	31	36	8	12	0
TCGA-DK-A2I4-01A-11D-A21A-08	471	542	0	13	11	25
TCGA-DK-A2I6-01A-12D-A18F-08	38	111	117	45	16	20
TCGA-DK-A3IK-01A-32D-A21A-08	79	16	3	76	44	15
TCGA-DK-A3IL-01A-11D-A20D-08	9	5	32	108	30	20
TCGA-DK-A3IM-01A-11D-A20D-08	0	4	23	28	34	1
TCGA-DK-A3IN-01A-11D-A20D-08	225	137	23	16	21	11
TCGA-DK-A3IQ-01A-31D-A20D-08	81	65	4	19	24	10
TCGA-DK-A3IS-01A-21D-A21A-08	194	150	0	14	38	4
TCGA-DK-A3IT-01A-31D-A20D-08	324	55	17	43	10	16
TCGA-DK-A3IU-01A-11D-A20D-08	179	188	43	43	18	2
TCGA-DK-A3IV-01A-22D-A21A-08	20	20	12	9	14	6
TCGA-DK-A3WW-01A-22D-A23M-08	740	571	15	12	1	68
TCGA-DK-A3WX-01A-22D-A22Z-08	4	14	5	8	19	0
TCGA-DK-A3WY-01A-11D-A22Z-08	11	4	1	0	2	0
TCGA-DK-A3X1-01A-12D-A22Z-08	461	409	0	54	0	99
TCGA-DK-A3X2-01A-11D-A22Z-08	26	21	13	19	54	5
TCGA-DK-A6AV-01A-12D-A30E-08	34	38	13	27	27	2
TCGA-DK-A6AW-01A-11D-A30E-08	0	7	23	0	2	4504
TCGA-DK-A6B0-01A-11D-A31L-08	1	1	10	6	7	0
TCGA-DK-A6B1-01A-12D-A30E-08	26	54	31	7	39	8
TCGA-DK-A6B2-01A-11D-A30E-08	47	30	36	48	48	10
TCGA-DK-A6B5-01A-11D-A31L-08	54	38	24	34	3	1
TCGA-DK-A6B6-01A-11D-A30E-08	369	812	0	11	14	0
TCGA-DK-AA6L-01A-11D-A391-08	242	110	21	32	20	2
TCGA-DK-AA6M-01A-11D-A391-08	6	14	0	15	27	13
TCGA-DK-AA6P-01A-11D-A391-08	63	70	30	26	9	6
TCGA-DK-AA6Q-01A-11D-A391-08	54	24	16	21	14	5
TCGA-DK-AA6R-01A-11D-A42E-08	48	51	12	227	23	14
TCGA-DK-AA6S-01A-21D-A391-08	374	179	6	87	8	0
TCGA-DK-AA6T-01A-11D-A391-08	18	0	20	3	20	14
TCGA-DK-AA6U-01A-11D-A391-08	109	98	13	216	34	22
TCGA-DK-AA6W-01A-12D-A391-08	128	77	0	17	59	5
TCGA-DK-AA6X-01A-12D-A42E-08	58	22	13	2	14	7
TCGA-DK-AA71-01A-31D-A391-08	437	326	0	11	10	0
TCGA-DK-AA74-01A-11D-A391-08	119	53	18	21	7	7
TCGA-DK-AA75-01A-11D-A391-08	122	309	54	24	38	55
TCGA-DK-AA76-01A-11D-A391-08	90	56	18	70	22	22
TCGA-DK-AA77-01A-11D-A391-08	27	75	35	240	61	0
TCGA-E5-A2PC-01A-11D-A202-08	22	59	78	84	17	12
TCGA-E5-A4TZ-01A-11D-A31L-08	284	89	6	46	117	6
TCGA-E5-A4U1-01A-11D-A31L-08	378	184	19	62	36	9
TCGA-E7-A3X6-01A-12D-A22Z-08	48	31	13	0	9	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	5	12	55	56	44	0
TCGA-E7-A4IJ-01A-31D-A26M-08	148	85	43	96	9	26
TCGA-E7-A4XJ-01A-11D-A26M-08	0	4	1	1	36	6
TCGA-E7-A519-01A-11D-A26M-08	9	11	41	0	13	0
