NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	24.413	119.005	5.962	74.04	1.37	0.581	20000.0
2	24.282	117.956	5.908	73.272	1.363	0.59	30000.0
3	24.379	118.538	6.025	73.495	1.371	0.588	20000.0
4	24.486	118.543	5.931	73.609	1.374	0.586	60000.0
5	24.643	119.83	6.044	74.13	1.388	0.581	30000.0
6	24.757	119.177	6.062	74.184	1.393	0.581	50000.0
7	24.798	120.272	6.016	74.191	1.396	0.576	20000.0
8	26.06	122.74	6.586	76.874	1.389	0.553	40000.0
9	23.89	117.2	5.877	72.91	1.361	0.595	20000.0
10	24.446	119.285	5.971	74.034	1.38	0.582	40000.0
11	24.56	119.183	6.01	73.576	1.383	0.591	30000.0
12	24.432	118.748	6.002	73.885	1.367	0.582	20000.0
13	24.39	118.873	5.963	73.531	1.379	0.585	20000.0
14	24.242	117.95	5.902	73.275	1.348	0.588	20000.0
15	24.604	119.53	5.949	73.675	1.373	0.586	30000.0
16	24.222	117.484	5.99	73.361	1.348	0.592	30000.0
17	24.467	119.284	5.978	73.931	1.376	0.581	40000.0
18	24.796	120.135	6.096	74.844	1.387	0.573	20000.0
19	24.561	119.139	6.015	73.614	1.387	0.587	50000.0
20	24.503	119.175	6.013	74.038	1.365	0.584	30000.0
21	24.795	120.265	6.008	74.049	1.384	0.581	20000.0
22	24.758	119.605	6.098	74.103	1.389	0.58	60000.0
23	24.639	120.283	5.968	74.303	1.408	0.574	20000.0
24	24.721	118.599	6.047	73.737	1.368	0.585	40000.0
25	24.52	117.63	5.94	73.046	1.402	0.586	20000.0
26	24.346	118.441	6.009	73.535	1.378	0.582	40000.0
27	24.599	119.716	6.015	74.169	1.391	0.581	20000.0
28	24.414	119.707	5.925	74.004	1.405	0.579	30000.0
29	24.215	118.064	5.976	73.493	1.356	0.589	20000.0
30	24.48	118.339	6.006	74.027	1.376	0.583	40000.0
31	24.401	119.815	5.94	74.15	1.389	0.576	20000.0
32	24.261	117.952	5.959	73.207	1.341	0.594	20000.0
33	24.306	119.164	5.885	73.559	1.396	0.581	20000.0
34	24.493	119.479	6.096	74.82	1.397	0.57	60000.0
35	24.313	119.502	5.951	73.788	1.393	0.578	50000.0
36	24.649	119.85	6.023	74.117	1.375	0.581	40000.0
37	24.303	119.141	5.882	73.866	1.374	0.582	30000.0
38	24.693	120.03	6.035	74.364	1.382	0.579	40000.0
39	24.703	118.668	6.034	73.648	1.369	0.587	20000.0
