NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.569	169.469	3.042	93.242	2.669	0.298	30000.0
2	9.604	169.967	3.071	93.211	2.711	0.296	30000.0
3	9.637	169.999	3.07	93.246	2.722	0.294	20000.0
4	9.584	169.057	3.053	93.032	2.676	0.302	20000.0
5	9.653	169.916	3.074	92.915	2.694	0.302	20000.0
6	9.591	169.303	3.053	92.899	2.692	0.302	20000.0
7	9.687	170.524	3.016	93.247	2.697	0.295	20000.0
8	9.656	169.865	3.052	93.249	2.704	0.297	20000.0
9	9.6	169.569	3.016	93.097	2.693	0.297	20000.0
10	9.476	168.477	2.989	92.975	2.643	0.304	20000.0
11	9.609	170.072	3.029	93.256	2.694	0.294	40000.0
12	9.634	169.976	3.04	93.126	2.704	0.297	20000.0
13	9.609	169.719	3.01	92.994	2.701	0.3	20000.0
14	9.674	170.231	3.06	93.386	2.704	0.293	30000.0
15	9.641	169.83	3.039	93.099	2.728	0.297	30000.0
16	9.619	170.007	3.039	93.203	2.689	0.295	20000.0
17	9.459	167.735	2.994	92.601	2.616	0.312	20000.0
18	9.655	169.904	3.037	93.104	2.67	0.302	30000.0
19	9.688	170.522	3.054	93.483	2.718	0.291	20000.0
20	9.541	168.643	2.991	92.884	2.658	0.304	20000.0
21	9.554	169.334	3.037	92.909	2.683	0.301	20000.0
22	9.526	168.647	3.02	92.642	2.695	0.305	20000.0
23	9.761	171.03	3.055	93.405	2.714	0.29	20000.0
24	9.628	169.731	3.049	92.974	2.67	0.302	20000.0
25	9.619	169.279	3.041	92.95	2.69	0.302	20000.0
26	9.61	169.593	3.037	93.209	2.667	0.298	20000.0
27	9.6	169.34	3.034	93.081	2.673	0.3	20000.0
28	9.643	170.141	3.04	93.244	2.737	0.291	20000.0
29	9.53	168.885	3.019	92.897	2.707	0.302	20000.0
30	9.634	169.703	2.976	93.058	2.662	0.302	40000.0
31	9.585	169.275	3.022	93.052	2.697	0.297	20000.0
32	9.609	169.235	3.053	92.871	2.667	0.305	20000.0
33	9.583	169.534	3.038	93.113	2.679	0.298	30000.0
34	9.548	169.337	3.014	92.956	2.693	0.299	20000.0
35	9.661	169.941	3.102	93.307	2.679	0.297	20000.0
36	9.748	170.945	3.045	93.334	2.699	0.292	20000.0
37	9.666	170.303	3.045	93.367	2.725	0.291	30000.0
38	9.571	168.664	3.008	92.951	2.658	0.303	20000.0
39	9.75	171.289	3.072	93.5	2.763	0.287	20000.0
40	9.616	169.714	3.053	93.225	2.701	0.296	20000.0
41	9.661	170.397	3.083	93.492	2.729	0.287	30000.0
42	9.566	169.48	3.056	93.04	2.688	0.3	30000.0
43	9.59	169.762	3.037	93.316	2.667	0.297	20000.0
44	9.615	169.446	3.073	93.22	2.685	0.296	20000.0
45	9.595	169.729	3.08	92.878	2.703	0.302	20000.0
46	9.658	170.078	3.031	93.278	2.685	0.295	40000.0
47	9.675	169.97	3.068	93.062	2.684	0.302	20000.0
48	9.659	170.463	3.054	93.402	2.742	0.289	40000.0
49	9.642	170.049	3.034	93.413	2.711	0.292	20000.0
50	9.58	169.827	3.042	93.274	2.695	0.295	30000.0
51	9.776	171.054	3.062	93.442	2.722	0.289	20000.0
52	9.618	169.999	3.075	93.186	2.72	0.295	20000.0
53	9.658	170.439	3.038	93.33	2.733	0.293	30000.0
54	9.62	169.863	3.027	93.34	2.703	0.293	20000.0
55	9.784	170.953	3.072	93.52	2.724	0.288	40000.0
56	9.62	169.379	3.052	93.268	2.69	0.296	20000.0
57	9.715	170.646	3.056	93.597	2.702	0.288	20000.0
58	9.685	170.206	3.068	93.369	2.702	0.294	20000.0
59	9.69	169.875	3.025	93.211	2.649	0.3	20000.0
60	9.521	168.738	2.981	92.872	2.652	0.302	30000.0
61	9.664	170.338	3.139	93.54	2.734	0.291	40000.0
62	9.646	169.95	3.069	93.335	2.709	0.294	20000.0
63	9.59	169.7	3.033	93.131	2.666	0.3	20000.0
64	9.655	170.316	3.078	93.618	2.708	0.289	20000.0
65	9.589	169.869	3.035	93.204	2.702	0.296	20000.0
66	9.666	169.708	3.048	93.061	2.685	0.299	30000.0
67	9.671	169.973	3.054	93.315	2.68	0.297	20000.0
68	9.73	170.676	3.107	93.433	2.718	0.292	40000.0
69	9.579	169.255	3.006	93.073	2.683	0.298	20000.0
70	9.69	170.737	3.091	93.461	2.725	0.291	20000.0
71	9.607	170.026	3.046	93.221	2.734	0.292	20000.0
