NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	39.879	114.184	8.995	71.642	1.293	0.593	20000.0
2	39.736	113.774	9.033	71.674	1.279	0.595	20000.0
3	39.876	114.209	9.103	71.797	1.293	0.593	20000.0
4	39.596	113.056	9.179	71.53	1.286	0.6	20000.0
5	39.906	113.602	9.175	71.606	1.291	0.597	30000.0
6	39.102	112.558	8.926	70.645	1.272	0.605	30000.0
7	39.343	112.821	9.01	71.139	1.277	0.601	20000.0
8	39.707	113.274	9.061	71.364	1.288	0.598	30000.0
9	39.675	114.005	8.991	71.684	1.295	0.596	30000.0
10	39.773	113.792	9.037	71.495	1.296	0.595	40000.0
11	39.339	113.038	8.989	71.083	1.289	0.598	30000.0
12	39.693	113.522	9.124	71.557	1.282	0.598	20000.0
13	39.111	112.676	8.941	70.877	1.28	0.6	40000.0
14	39.553	112.879	9.098	71.287	1.277	0.604	30000.0
15	39.653	113.558	9.016	71.512	1.287	0.598	20000.0
16	39.61	113.236	8.97	70.938	1.275	0.603	30000.0
17	40.01	114.383	9.013	71.885	1.29	0.593	20000.0
18	39.068	113.08	8.953	71.398	1.268	0.599	30000.0
19	39.755	113.534	9.106	71.399	1.283	0.602	20000.0
20	39.466	112.98	9.036	71.262	1.282	0.6	30000.0
21	39.776	113.49	9.047	71.629	1.28	0.595	20000.0
22	39.902	113.534	9.046	70.997	1.292	0.599	20000.0
23	39.615	113.486	9.013	71.266	1.279	0.6	40000.0
24	39.686	113.079	9.096	71.57	1.263	0.599	20000.0
25	39.389	112.576	8.935	71.078	1.255	0.607	20000.0
26	39.575	114.058	9.028	71.609	1.287	0.593	20000.0
27	39.61	113.624	9.086	71.213	1.285	0.602	20000.0
28	40.11	113.637	9.045	71.701	1.272	0.598	30000.0
29	39.485	113.043	8.998	71.483	1.284	0.596	20000.0
30	39.724	113.155	9.061	71.538	1.272	0.598	30000.0
31	39.619	113.203	9.167	71.593	1.282	0.596	20000.0
32	39.64	113.241	8.996	71.396	1.272	0.602	30000.0
33	39.788	114.226	9.059	71.588	1.292	0.596	20000.0
34	39.373	112.097	8.995	70.971	1.267	0.605	20000.0
35	39.741	113.683	9.048	71.515	1.297	0.594	30000.0
36	39.588	113.172	8.993	71.371	1.279	0.6	30000.0
37	39.646	113.758	9.05	71.337	1.295	0.597	30000.0
38	39.77	113.911	9.143	71.773	1.293	0.591	20000.0
39	39.596	113.289	9.113	71.587	1.278	0.6	20000.0
40	40.092	114.168	9.206	71.788	1.31	0.594	20000.0
41	39.516	113.877	9.051	71.438	1.288	0.597	30000.0
42	39.463	113.562	9.105	71.348	1.276	0.597	20000.0
43	39.393	113.662	8.964	71.406	1.293	0.596	20000.0
44	39.739	113.323	9.052	71.338	1.283	0.597	30000.0
45	39.311	112.897	8.996	71.018	1.273	0.601	20000.0
46	39.936	113.592	9.102	71.251	1.276	0.602	20000.0
47	39.709	113.777	9.041	71.362	1.28	0.599	20000.0
48	39.422	113.416	8.949	71.387	1.28	0.6	30000.0
49	39.456	113.163	8.933	70.991	1.278	0.602	40000.0
50	40.074	114.313	9.159	71.959	1.289	0.594	20000.0
51	39.573	113.962	9.113	71.654	1.298	0.595	20000.0
52	39.699	113.383	9.074	71.405	1.281	0.601	40000.0
53	39.301	112.76	9.021	70.948	1.28	0.603	40000.0
54	39.615	112.98	9.059	71.3	1.277	0.601	30000.0
55	39.258	112.464	8.939	71.133	1.276	0.599	30000.0
56	39.777	113.948	9.013	71.554	1.293	0.596	20000.0
57	39.548	113.172	9.094	71.362	1.277	0.6	20000.0
58	39.535	113.399	9.105	71.519	1.287	0.598	20000.0
59	39.737	113.821	9.012	71.573	1.275	0.599	30000.0
60	39.413	113.199	8.975	70.93	1.298	0.596	20000.0
61	39.209	112.4	8.805	70.616	1.27	0.606	30000.0
62	39.523	113.152	9.023	71.429	1.287	0.599	30000.0
63	39.725	113.495	9.001	71.269	1.274	0.601	30000.0
64	39.596	113.282	9.103	71.593	1.278	0.599	20000.0
65	39.832	113.653	9.088	71.42	1.278	0.598	20000.0
66	39.24	112.758	8.934	71.148	1.275	0.601	20000.0
67	39.909	114.371	9.014	71.582	1.295	0.599	20000.0
68	39.233	112.932	8.922	71.23	1.274	0.601	20000.0
69	39.752	113.788	9.095	71.457	1.295	0.596	40000.0
70	39.501	113.594	9.078	71.477	1.288	0.596	30000.0
71	40.039	114.142	9.128	71.68	1.286	0.597	20000.0
72	39.346	113.154	8.914	71.042	1.269	0.603	30000.0
73	39.514	113.751	8.999	71.618	1.289	0.6	20000.0
74	39.945	114.11	9.188	72.061	1.306	0.59	40000.0
75	39.769	113.798	9.081	71.588	1.294	0.595	30000.0
76	39.545	113.067	9.038	71.306	1.272	0.6	40000.0
77	39.476	113.488	8.886	71.148	1.282	0.599	30000.0
78	39.808	113.596	8.989	71.383	1.283	0.594	30000.0
79	39.502	113.563	8.968	71.511	1.29	0.594	20000.0
80	39.947	113.847	9.161	71.952	1.285	0.593	40000.0
81	39.57	113.686	9.097	71.682	1.262	0.599	20000.0
82	39.797	113.922	8.991	71.492	1.292	0.595	20000.0
83	39.953	114.408	9.097	71.83	1.296	0.594	20000.0
84	39.086	112.974	8.904	70.866	1.284	0.604	20000.0
85	39.779	113.307	9.064	71.427	1.272	0.599	20000.0
86	39.62	113.838	9.06	71.542	1.292	0.598	20000.0
87	39.613	113.132	9.016	71.121	1.285	0.603	20000.0
88	40.003	113.319	9.057	71.255	1.28	0.599	40000.0
89	39.354	113.205	8.964	71.118	1.292	0.602	40000.0
90	39.474	113.791	9.011	71.526	1.29	0.594	40000.0
91	39.946	114.203	9.094	71.847	1.292	0.592	20000.0
92	39.492	113.134	9.021	71.208	1.287	0.597	30000.0
93	39.48	113.417	9.028	71.4	1.276	0.598	20000.0
94	39.28	112.819	8.96	70.987	1.277	0.605	20000.0
95	39.509	112.725	8.999	71.301	1.276	0.595	30000.0
96	39.708	114.113	8.923	71.179	1.293	0.599	20000.0
97	39.492	113.51	9.055	71.572	1.283	0.593	30000.0
98	39.607	112.964	9.051	71.281	1.277	0.603	20000.0
99	39.92	113.575	9.019	71.546	1.278	0.597	30000.0
100	39.606	113.904	8.988	71.374	1.301	0.597	20000.0
101	39.368	112.861	9.045	71.311	1.278	0.598	20000.0
102	39.41	112.849	8.945	71.065	1.272	0.603	30000.0
103	39.374	112.993	9.024	70.964	1.283	0.601	20000.0
104	39.626	113.722	9.083	71.49	1.297	0.595	40000.0
105	39.611	113.312	9.068	71.118	1.279	0.602	20000.0
106	39.784	114.562	9.06	71.734	1.293	0.595	40000.0
107	39.397	113.198	8.967	71.332	1.288	0.599	30000.0
108	39.294	112.133	8.96	70.846	1.257	0.605	40000.0
