Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	30	46	3	10	14	0
TCGA-2F-A9KP-01A-11D-A38G-08	6	9	0	5	4	4
TCGA-2F-A9KQ-01A-11D-A38G-08	2	0	1	4	5	0
TCGA-2F-A9KR-01A-11D-A38G-08	12	4	27	0	10	3
TCGA-2F-A9KT-01A-11D-A38G-08	12	17	31	0	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	7	1	13	0	3	0
TCGA-4Z-AA7M-01A-11D-A391-08	19	15	48	0	8	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	0	1	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	6	5	3	0	3	9
TCGA-4Z-AA7Q-01A-11D-A391-08	1	9	19	0	1	0
TCGA-4Z-AA7R-01A-11D-A391-08	16	22	19	0	0	6
TCGA-4Z-AA7S-01A-11D-A391-08	1	0	0	2	2	6
TCGA-4Z-AA7W-01A-11D-A391-08	19	43	39	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	16	19	1	3	3	4
TCGA-4Z-AA80-01A-11D-A391-08	20	14	1	19	8	6
TCGA-4Z-AA81-01A-11D-A391-08	12	7	14	0	0	0
TCGA-4Z-AA82-01A-11D-A391-08	0	3	4	1	0	5
TCGA-4Z-AA83-01A-11D-A391-08	3	0	13	0	0	3
TCGA-4Z-AA84-01A-11D-A391-08	47	0	16	11	6	3
TCGA-4Z-AA86-01A-11D-A391-08	7	8	17	0	0	0
TCGA-4Z-AA87-01A-11D-A391-08	18	17	0	0	0	7
TCGA-4Z-AA89-01A-11D-A391-08	5	8	11	0	2	0
TCGA-5N-A9KI-01A-31D-A42E-08	6	1	0	1	1	14
TCGA-5N-A9KM-01A-11D-A42E-08	0	1	11	27	0	0
TCGA-BL-A0C8-01A-11D-A271-08	1	10	0	5	5	6
TCGA-BL-A13I-01A-11D-A271-08	0	2	10	2	1	0
TCGA-BL-A13J-01A-11D-A271-08	6	2	2	12	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	9	3	4	0	3	19
TCGA-BL-A5ZZ-01A-31D-A30E-08	5	5	0	0	0	26
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	3	0	1
TCGA-BT-A0YX-01A-11D-A10S-08	31	65	7	0	1	0
TCGA-BT-A20J-01A-11D-A14W-08	24	32	0	0	17	7
TCGA-BT-A20N-01A-11D-A14W-08	9	6	19	8	0	1
TCGA-BT-A20O-01A-21D-A14W-08	13	5	0	4	0	5
TCGA-BT-A20P-01A-11D-A14W-08	1	2	16	0	4	0
TCGA-BT-A20Q-01A-11D-A14W-08	0	6	1	0	6	0
TCGA-BT-A20R-01A-12D-A16O-08	19	15	14	0	6	0
TCGA-BT-A20T-01A-11D-A14W-08	26	18	0	8	0	3
TCGA-BT-A20U-01A-11D-A14W-08	2	7	0	2	0	0
TCGA-BT-A20V-01A-11D-A14W-08	1	2	5	1	6	9
TCGA-BT-A20W-01A-21D-A14W-08	0	0	0	3	1	1
TCGA-BT-A20X-01A-11D-A16O-08	0	0	0	8	2	0
TCGA-BT-A2LA-01A-11D-A18F-08	4	3	0	0	3	25
TCGA-BT-A2LB-01A-11D-A18F-08	42	4	24	18	17	3
TCGA-BT-A2LD-01A-12D-A20D-08	1	0	6	0	2	7
TCGA-BT-A3PH-01A-11D-A21Z-08	22	30	18	0	0	3
TCGA-BT-A3PJ-01A-21D-A21Z-08	20	6	27	7	16	0
TCGA-BT-A3PK-01A-21D-A21Z-08	7	1	13	22	2	8
TCGA-BT-A42B-01A-32D-A23M-08	0	0	5	4	0	0
TCGA-BT-A42C-01A-11D-A23M-08	7	16	24	3	14	3
TCGA-BT-A42E-01A-11D-A23U-08	4	9	12	0	3	0
TCGA-BT-A42F-01A-11D-A23U-08	9	6	1	3	4	0
TCGA-C4-A0EZ-01A-21D-A10S-08	6	0	6	0	1	21
TCGA-C4-A0F0-01A-12D-A10S-08	1	1	0	8	0	3
TCGA-C4-A0F1-01A-11D-A10S-08	8	7	8	0	0	10
TCGA-C4-A0F6-01A-11D-A10S-08	7	18	0	0	6	7
TCGA-C4-A0F7-01A-11D-A10S-08	2	2	3	0	0	7
TCGA-CF-A1HR-01A-11D-A13W-08	9	22	0	2	3	3
TCGA-CF-A1HS-01A-11D-A13W-08	10	16	1	15	7	0
TCGA-CF-A27C-01A-11D-A16O-08	3	5	7	0	0	5
TCGA-CF-A3MF-01A-12D-A21A-08	0	0	1	0	1	3
TCGA-CF-A3MG-01A-11D-A20D-08	8	6	0	0	0	12
TCGA-CF-A3MH-01A-11D-A20D-08	1	2	0	8	0	2
TCGA-CF-A3MI-01A-11D-A20D-08	0	0	6	0	3	0
TCGA-CF-A47S-01A-11D-A23U-08	0	0	1	0	0	2
TCGA-CF-A47T-01A-11D-A23U-08	0	0	2	0	1	6
TCGA-CF-A47V-01A-11D-A23U-08	5	2	2	1	2	8
TCGA-CF-A47W-01A-11D-A23U-08	0	0	0	5	0	1
TCGA-CF-A47X-01A-31D-A23U-08	20	23	0	0	4	10
TCGA-CF-A47Y-01A-11D-A23U-08	2	5	0	3	0	0
TCGA-CF-A5U8-01A-11D-A289-08	2	0	1	3	2	1
TCGA-CF-A5UA-01A-11D-A289-08	0	2	0	0	2	9
TCGA-CF-A7I0-01A-22D-A34U-08	3	0	6	4	0	0
TCGA-CF-A8HX-01A-11D-A364-08	5	1	1	2	1	0
TCGA-CF-A8HY-01A-11D-A364-08	1	0	3	5	0	5
TCGA-CF-A9FF-01A-11D-A38G-08	5	1	5	0	0	2
TCGA-CF-A9FH-01A-11D-A38G-08	0	0	0	0	2	0
TCGA-CF-A9FL-01A-11D-A38G-08	0	0	0	0	4	3
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	0	5	0	0
TCGA-CU-A0YN-01A-21D-A10S-08	7	0	0	16	0	0
TCGA-CU-A0YO-01A-11D-A10S-08	1	0	6	0	5	8
TCGA-CU-A0YR-01A-12D-A10S-08	3	0	1	20	3	0
TCGA-CU-A3KJ-01A-11D-A21A-08	14	8	17	0	0	0
TCGA-CU-A3QU-01A-11D-A22Z-08	7	4	0	0	2	2
TCGA-CU-A3YL-01A-11D-A22Z-08	10	7	19	0	7	0
TCGA-CU-A5W6-01A-11D-A289-08	10	14	0	2	6	9
TCGA-CU-A72E-01A-12D-A339-08	6	3	8	0	0	4
TCGA-DK-A1A3-01A-11D-A13W-08	35	12	36	0	1	0
TCGA-DK-A1A5-01A-11D-A13W-08	12	15	9	0	2	4
TCGA-DK-A1A6-01A-11D-A13W-08	10	14	0	10	0	4
TCGA-DK-A1A7-01A-11D-A13W-08	6	2	0	15	2	6
TCGA-DK-A1AA-01A-11D-A13W-08	2	0	6	4	2	1
TCGA-DK-A1AB-01A-11D-A13W-08	10	17	0	0	0	8
TCGA-DK-A1AC-01A-11D-A13W-08	205	70	0	2	14	14
TCGA-DK-A1AD-01A-11D-A13W-08	5	5	21	0	0	3
TCGA-DK-A1AE-01A-11D-A13W-08	8	2	5	9	0	0
TCGA-DK-A1AF-01A-11D-A13W-08	3	6	16	0	1	0
TCGA-DK-A1AG-01A-11D-A13W-08	7	12	9	0	4	3
TCGA-DK-A2HX-01A-12D-A18F-08	0	3	9	0	2	4
TCGA-DK-A2I1-01A-11D-A17V-08	13	10	0	1	2	1
TCGA-DK-A2I2-01A-11D-A17V-08	8	1	1	0	0	5
TCGA-DK-A2I4-01A-11D-A21A-08	83	41	47	0	3	0
TCGA-DK-A2I6-01A-12D-A18F-08	9	10	17	6	0	4
TCGA-DK-A3IK-01A-32D-A21A-08	3	6	26	0	4	4
TCGA-DK-A3IL-01A-11D-A20D-08	1	4	3	13	4	1
TCGA-DK-A3IM-01A-11D-A20D-08	2	0	0	0	1	11
TCGA-DK-A3IN-01A-11D-A20D-08	23	23	16	0	0	0
TCGA-DK-A3IQ-01A-31D-A20D-08	11	11	0	3	1	7
TCGA-DK-A3IS-01A-21D-A21A-08	26	17	0	0	6	5
TCGA-DK-A3IT-01A-31D-A20D-08	10	33	24	0	0	0
TCGA-DK-A3IU-01A-11D-A20D-08	29	7	18	8	4	3
TCGA-DK-A3IV-01A-22D-A21A-08	2	1	5	0	0	0
TCGA-DK-A3WW-01A-22D-A23M-08	93	87	15	4	31	0
TCGA-DK-A3WX-01A-22D-A22Z-08	2	0	0	0	0	7
TCGA-DK-A3WY-01A-11D-A22Z-08	1	2	4	0	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	78	35	47	0	14	0
TCGA-DK-A3X2-01A-11D-A22Z-08	3	4	0	0	0	14
TCGA-DK-A6AV-01A-12D-A30E-08	12	4	0	6	3	0
TCGA-DK-A6AW-01A-11D-A30E-08	5	0	0	6	701	0
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	0	1	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	13	7	0	2	7	8
TCGA-DK-A6B2-01A-11D-A30E-08	4	8	1	4	4	8
TCGA-DK-A6B5-01A-11D-A31L-08	12	4	13	4	0	0
TCGA-DK-A6B6-01A-11D-A30E-08	117	70	0	3	10	5
TCGA-DK-AA6L-01A-11D-A391-08	13	26	0	7	2	6
TCGA-DK-AA6M-01A-11D-A391-08	2	0	1	0	0	5
TCGA-DK-AA6P-01A-11D-A391-08	10	11	0	10	7	0
TCGA-DK-AA6Q-01A-11D-A391-08	3	11	2	3	0	2
TCGA-DK-AA6R-01A-11D-A42E-08	5	6	4	31	5	4
TCGA-DK-AA6S-01A-21D-A391-08	26	46	24	0	1	0
TCGA-DK-AA6T-01A-11D-A391-08	0	4	0	0	2	4
TCGA-DK-AA6U-01A-11D-A391-08	27	15	26	13	0	0
TCGA-DK-AA6W-01A-12D-A391-08	14	12	0	0	6	13
TCGA-DK-AA6X-01A-12D-A42E-08	1	6	0	0	0	2
TCGA-DK-AA71-01A-31D-A391-08	40	49	0	2	9	6
TCGA-DK-AA74-01A-11D-A391-08	12	13	3	2	4	0
TCGA-DK-AA75-01A-11D-A391-08	36	15	0	7	18	0
TCGA-DK-AA76-01A-11D-A391-08	11	13	13	10	1	0
TCGA-DK-AA77-01A-11D-A391-08	4	1	20	19	7	10
TCGA-E5-A2PC-01A-11D-A202-08	17	5	0	16	0	12
TCGA-E5-A4TZ-01A-11D-A31L-08	17	30	12	0	7	13
TCGA-E5-A4U1-01A-11D-A31L-08	39	49	0	4	13	2
TCGA-E7-A3X6-01A-12D-A22Z-08	12	2	0	4	1	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	4	0	0	11	0	16
TCGA-E7-A4IJ-01A-31D-A26M-08	30	18	0	16	0	4
TCGA-E7-A4XJ-01A-11D-A26M-08	0	0	0	0	1	1
TCGA-E7-A519-01A-11D-A26M-08	2	1	3	0	1	4
TCGA-E7-A541-01A-11D-A26M-08	17	21	0	10	12	13
TCGA-E7-A5KE-01A-11D-A289-08	9	3	7	7	6	16
TCGA-E7-A5KF-01A-11D-A289-08	14	11	12	0	2	0
TCGA-E7-A677-01A-11D-A30E-08	1	2	6	17	0	9
TCGA-E7-A678-01A-11D-A30E-08	0	0	0	1	0	3
TCGA-E7-A6MD-01A-41D-A34U-08	28	29	0	7	8	13
TCGA-E7-A6ME-01A-22D-A32B-08	0	3	6	11	1	0
TCGA-E7-A6MF-01A-12D-A32B-08	5	4	0	3	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	18	16	0	10	1	0
TCGA-E7-A7DV-01A-11D-A339-08	9	25	1	3	7	1
TCGA-E7-A7PW-01A-11D-A34U-08	7	1	0	3	0	4
TCGA-E7-A7XN-01A-11D-A34U-08	39	43	61	0	12	0
TCGA-E7-A85H-01A-11D-A34U-08	10	0	22	32	0	19
TCGA-E7-A8O7-01A-11D-A364-08	1	0	5	0	1	0
TCGA-E7-A8O8-01A-11D-A364-08	1	3	0	5	1	10
TCGA-E7-A97P-01A-11D-A38G-08	3	3	8	12	3	8
TCGA-E7-A97Q-01A-11D-A38G-08	0	0	6	3	2	0
TCGA-FD-A3B3-01A-12D-A202-08	6	11	0	2	5	3
TCGA-FD-A3B4-01A-12D-A202-08	1	0	0	9	1	0
TCGA-FD-A3B5-01A-11D-A20D-08	4	5	6	0	1	11
TCGA-FD-A3B6-01A-21D-A20D-08	13	11	0	5	2	2
TCGA-FD-A3B7-01A-31D-A20D-08	0	0	0	0	0	7
TCGA-FD-A3B8-01A-31D-A20D-08	0	3	0	0	0	1
TCGA-FD-A3N5-01A-11D-A21A-08	1	0	13	34	4	6
TCGA-FD-A3N6-01A-11D-A21A-08	6	4	0	0	6	6
TCGA-FD-A3NA-01A-11D-A21A-08	15	8	4	0	0	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	8	16	0	15	1	9
