NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	35.419	123.357	8.546	79.061	1.603	0.535	40000.0
2	35.444	123.81	8.669	79.347	1.606	0.531	30000.0
3	34.948	121.707	8.483	78.371	1.558	0.547	20000.0
4	35.307	122.633	8.546	78.549	1.573	0.545	30000.0
5	35.26	122.76	8.587	78.956	1.582	0.539	30000.0
6	34.919	121.716	8.506	78.347	1.571	0.547	20000.0
7	35.291	122.922	8.575	78.792	1.592	0.539	30000.0
8	35.188	122.814	8.574	78.649	1.599	0.541	30000.0
9	35.268	122.845	8.473	78.852	1.575	0.539	20000.0
10	35.007	122.18	8.526	78.588	1.567	0.545	30000.0
11	35.182	123.055	8.503	78.887	1.596	0.537	20000.0
12	34.994	122.278	8.598	78.352	1.571	0.547	20000.0
13	35.095	122.943	8.482	78.505	1.588	0.542	20000.0
14	35.529	123.382	8.611	79.057	1.615	0.535	20000.0
15	34.947	122.406	8.468	78.736	1.58	0.539	20000.0
16	34.894	122.054	8.421	78.378	1.56	0.545	20000.0
17	35.504	123.395	8.648	79.18	1.605	0.537	20000.0
18	35.013	121.954	8.519	78.207	1.581	0.546	20000.0
19	35.415	123.257	8.611	78.894	1.592	0.539	20000.0
20	35.008	122.363	8.485	78.615	1.566	0.544	30000.0
21	35.322	123.416	8.616	79.135	1.591	0.534	30000.0
22	35.489	123.599	8.578	78.901	1.62	0.535	30000.0
23	35.403	123.378	8.52	78.799	1.595	0.538	20000.0
24	35.428	123.542	8.621	79.549	1.605	0.533	20000.0
25	34.954	121.735	8.546	77.646	1.569	0.556	20000.0
26	34.994	122.805	8.497	78.578	1.583	0.544	20000.0
27	35.149	122.023	8.461	77.859	1.564	0.552	20000.0
28	35.051	122.319	8.467	78.077	1.571	0.55	30000.0
29	35.218	122.75	8.497	78.579	1.585	0.542	20000.0
30	35.103	122.983	8.448	78.528	1.594	0.543	20000.0
31	35.156	122.731	8.541	78.688	1.583	0.543	20000.0
32	35.098	122.397	8.548	78.413	1.567	0.545	20000.0
33	35.107	122.809	8.556	78.387	1.593	0.542	20000.0
34	35.074	122.567	8.557	78.93	1.595	0.538	30000.0
35	35.334	123.25	8.517	78.496	1.585	0.542	20000.0
36	35.42	123.511	8.646	78.845	1.593	0.537	20000.0
37	35.502	123.694	8.589	78.729	1.625	0.537	20000.0
38	35.026	122.402	8.552	78.731	1.584	0.54	50000.0
39	35.155	122.687	8.553	78.485	1.595	0.542	40000.0
40	34.825	122.35	8.608	78.703	1.585	0.543	20000.0
41	35.085	122.125	8.629	78.546	1.582	0.546	20000.0
