NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.873	175.541	2.991	94.029	2.852	0.259	20000.0
2	9.842	175.222	2.99	93.891	2.856	0.26	40000.0
3	9.815	174.697	2.988	93.666	2.824	0.269	40000.0
4	9.869	175.785	2.973	94.047	2.857	0.257	20000.0
5	9.814	175.308	2.978	93.861	2.874	0.261	40000.0
6	9.955	175.969	3.011	94.134	2.872	0.257	40000.0
7	9.791	175.174	2.987	93.758	2.879	0.262	30000.0
8	9.721	175.429	2.944	93.826	2.873	0.259	30000.0
9	9.859	175.413	3.002	94.025	2.862	0.256	20000.0
10	9.839	175.55	2.977	93.866	2.873	0.26	20000.0
11	9.863	175.863	2.982	94.086	2.877	0.251	20000.0
12	9.891	175.298	3.001	93.84	2.854	0.262	30000.0
13	9.873	175.772	2.97	94.004	2.85	0.256	20000.0
14	9.87	175.202	2.981	93.831	2.855	0.262	30000.0
15	9.823	175.746	2.992	93.932	2.862	0.256	20000.0
16	9.899	175.399	3.014	93.912	2.866	0.26	20000.0
17	9.934	175.717	3.002	94.049	2.861	0.256	20000.0
18	9.935	175.492	3.023	94.013	2.848	0.261	30000.0
19	9.843	175.517	3.006	94.006	2.873	0.255	30000.0
20	9.895	175.544	2.987	93.964	2.868	0.256	20000.0
21	9.79	175.176	2.985	93.806	2.852	0.259	30000.0
22	9.957	175.969	3.017	94.034	2.864	0.258	20000.0
23	9.965	175.954	3.005	94.156	2.88	0.254	30000.0
24	9.755	174.825	2.955	93.614	2.847	0.267	20000.0
25	9.817	175.021	2.981	93.777	2.839	0.263	20000.0
26	9.865	175.69	2.988	93.955	2.87	0.254	20000.0
27	9.861	175.422	2.989	93.987	2.868	0.256	20000.0
28	9.802	175.224	2.973	93.748	2.876	0.259	20000.0
29	9.857	175.034	2.981	93.728	2.85	0.261	30000.0
30	9.897	175.578	2.965	93.926	2.858	0.259	30000.0
31	9.918	175.503	3.02	94.167	2.876	0.255	20000.0
32	9.806	175.399	2.976	93.855	2.859	0.26	30000.0
33	9.859	175.74	2.969	93.984	2.867	0.255	20000.0
34	9.854	175.753	2.978	94.045	2.883	0.255	20000.0
35	9.882	175.95	3.0	94.036	2.888	0.254	20000.0
36	9.824	174.865	2.971	93.878	2.845	0.265	30000.0
37	9.855	175.226	2.988	93.797	2.856	0.261	30000.0
38	9.834	175.201	2.965	93.781	2.833	0.262	30000.0
39	9.872	175.474	2.964	93.924	2.858	0.255	20000.0
40	9.853	175.357	2.998	93.828	2.88	0.258	30000.0
41	9.952	175.571	3.009	93.963	2.868	0.26	20000.0
42	9.844	175.121	2.977	93.746	2.844	0.262	20000.0
43	9.875	175.473	3.002	93.932	2.863	0.26	40000.0
44	9.858	175.128	2.981	93.878	2.839	0.261	20000.0
45	9.837	175.322	2.983	93.901	2.865	0.258	30000.0
46	9.936	175.871	3.018	94.011	2.882	0.254	40000.0
