NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	6.917	169.075	2.316	92.081	2.471	0.328	30000.0
2	7.021	171.331	2.362	92.417	2.508	0.316	20000.0
3	7.179	170.953	2.418	92.507	2.456	0.326	40000.0
4	7.016	170.846	2.355	92.591	2.504	0.321	40000.0
5	7.018	171.301	2.368	92.598	2.514	0.317	20000.0
6	7.034	170.287	2.345	92.17	2.485	0.332	40000.0
7	6.95	170.168	2.311	92.19	2.471	0.33	40000.0
8	6.96	169.239	2.341	92.063	2.493	0.33	30000.0
9	7.114	170.477	2.389	92.577	2.47	0.326	20000.0
10	7.037	171.164	2.355	92.344	2.505	0.321	30000.0
11	7.094	171.596	2.383	92.642	2.472	0.315	30000.0
12	7.205	171.0	2.408	92.482	2.456	0.326	20000.0
13	6.904	170.121	2.317	91.854	2.486	0.334	50000.0
14	7.033	170.116	2.375	92.557	2.501	0.315	30000.0
15	7.064	169.747	2.365	92.13	2.456	0.328	30000.0
16	7.215	170.873	2.412	92.569	2.46	0.32	20000.0
17	7.019	169.19	2.349	92.073	2.469	0.331	20000.0
18	7.163	171.266	2.403	92.839	2.498	0.313	20000.0
19	7.055	169.062	2.368	92.111	2.507	0.332	20000.0
20	7.174	169.798	2.382	92.476	2.506	0.322	20000.0
21	7.258	172.713	2.433	93.064	2.53	0.308	30000.0
22	7.045	169.761	2.368	92.231	2.48	0.326	50000.0
23	7.161	170.871	2.425	92.385	2.488	0.325	30000.0
24	6.959	169.741	2.329	92.118	2.494	0.331	20000.0
25	7.046	170.442	2.35	92.262	2.489	0.322	30000.0
26	7.0	170.084	2.359	92.233	2.479	0.329	40000.0
27	7.044	169.665	2.336	92.396	2.487	0.326	40000.0
28	6.982	169.753	2.325	92.202	2.465	0.329	30000.0
29	7.113	170.205	2.387	92.601	2.514	0.326	20000.0
30	7.06	168.58	2.357	92.204	2.501	0.333	30000.0
31	7.085	170.797	2.345	92.34	2.474	0.325	30000.0
32	6.956	171.152	2.328	92.456	2.513	0.316	30000.0
33	7.105	171.745	2.377	92.943	2.515	0.308	20000.0
34	6.984	169.579	2.345	92.05	2.457	0.328	20000.0
35	7.062	171.073	2.377	92.716	2.537	0.318	20000.0
36	7.033	169.494	2.355	92.01	2.451	0.335	20000.0
37	7.07	171.3	2.37	92.555	2.498	0.317	20000.0
38	7.031	169.426	2.356	92.355	2.471	0.326	20000.0
39	7.015	170.921	2.344	92.558	2.546	0.319	20000.0
40	7.03	169.398	2.359	92.204	2.482	0.33	20000.0
41	7.149	171.735	2.386	93.267	2.541	0.305	20000.0
42	7.122	170.568	2.39	92.41	2.485	0.325	30000.0
43	7.015	169.914	2.383	92.29	2.481	0.328	30000.0
44	7.159	170.08	2.401	92.883	2.576	0.313	30000.0
45	7.017	170.863	2.361	92.519	2.5	0.323	20000.0
46	7.104	171.222	2.367	92.556	2.495	0.321	30000.0
47	7.1	171.888	2.392	92.786	2.506	0.313	20000.0
48	7.079	169.778	2.36	92.216	2.459	0.331	20000.0
49	7.113	172.286	2.396	92.959	2.512	0.31	20000.0
50	6.965	169.426	2.351	92.134	2.469	0.327	30000.0
