NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4.583	172.921	1.752	93.363	2.563	0.311	30000.0
2	4.486	171.882	1.721	93.068	2.562	0.314	20000.0
3	4.697	173.561	1.777	93.917	2.581	0.299	30000.0
4	4.571	173.384	1.752	93.217	2.527	0.315	50000.0
5	4.522	172.123	1.73	93.212	2.55	0.311	30000.0
6	4.606	171.718	1.776	93.451	2.563	0.308	30000.0
7	4.574	171.659	1.746	93.009	2.522	0.319	20000.0
8	4.576	172.953	1.765	93.437	2.545	0.312	40000.0
9	4.506	172.868	1.728	93.319	2.577	0.307	30000.0
10	4.669	173.331	1.778	93.49	2.524	0.309	20000.0
11	4.569	172.54	1.751	93.246	2.558	0.306	20000.0
12	4.642	174.285	1.801	93.861	2.6	0.295	20000.0
13	4.633	172.659	1.77	93.868	2.607	0.301	20000.0
14	4.55	172.563	1.75	93.334	2.53	0.309	20000.0
15	4.673	173.311	1.797	93.618	2.604	0.301	20000.0
16	4.557	170.691	1.742	93.004	2.552	0.312	20000.0
17	4.559	172.137	1.75	93.083	2.582	0.314	40000.0
18	4.661	173.049	1.779	93.856	2.547	0.303	20000.0
19	4.524	171.379	1.748	92.987	2.511	0.32	20000.0
20	4.544	172.051	1.754	92.972	2.538	0.32	20000.0
21	4.541	173.908	1.742	93.229	2.514	0.309	20000.0
22	4.622	173.784	1.776	93.611	2.546	0.304	50000.0
23	4.607	174.538	1.765	93.668	2.558	0.304	20000.0
24	4.663	173.871	1.791	93.709	2.547	0.303	20000.0
25	4.63	173.367	1.771	93.503	2.548	0.309	20000.0
26	4.628	173.445	1.786	93.49	2.572	0.307	20000.0
27	4.563	172.1	1.767	93.373	2.543	0.313	20000.0
28	4.59	172.992	1.776	93.328	2.564	0.31	20000.0
29	4.637	172.644	1.755	93.925	2.555	0.304	40000.0
30	4.521	172.761	1.753	93.102	2.541	0.31	20000.0
31	4.612	174.211	1.786	93.456	2.526	0.311	20000.0
32	4.699	172.644	1.785	94.145	2.588	0.3	20000.0
33	4.691	173.516	1.777	93.857	2.606	0.301	20000.0
34	4.605	174.898	1.758	93.869	2.593	0.296	40000.0
35	4.679	173.571	1.765	94.054	2.592	0.29	20000.0
36	4.532	172.997	1.758	93.146	2.541	0.315	30000.0
37	4.584	173.156	1.752	93.751	2.544	0.304	30000.0
38	4.515	172.573	1.761	93.336	2.564	0.31	30000.0
39	4.663	172.55	1.766	93.557	2.546	0.305	40000.0
40	4.788	173.935	1.809	94.297	2.6	0.292	30000.0
41	4.719	174.048	1.803	93.73	2.57	0.303	20000.0
42	4.599	172.78	1.769	93.317	2.556	0.306	20000.0
43	4.685	173.203	1.803	93.92	2.571	0.303	20000.0
44	4.627	173.25	1.754	93.746	2.587	0.301	20000.0
45	4.524	173.399	1.737	93.273	2.555	0.311	40000.0
46	4.671	173.609	1.766	94.052	2.575	0.296	30000.0
47	4.59	172.773	1.745	93.311	2.535	0.309	40000.0
48	4.552	173.228	1.768	93.161	2.506	0.314	20000.0
49	4.604	172.932	1.778	93.424	2.545	0.311	40000.0
50	4.555	174.219	1.751	93.575	2.57	0.307	40000.0
51	4.722	172.911	1.789	94.068	2.605	0.293	20000.0
52	4.639	172.874	1.769	93.764	2.597	0.301	40000.0
53	4.71	173.5	1.783	94.198	2.591	0.292	20000.0
54	4.637	175.627	1.77	94.286	2.596	0.283	40000.0
55	4.57	173.42	1.763	93.269	2.528	0.314	30000.0
56	4.581	174.74	1.765	93.908	2.586	0.296	40000.0
57	4.655	173.476	1.796	93.9	2.595	0.302	30000.0
58	4.677	174.387	1.781	94.22	2.564	0.293	30000.0
59	4.613	173.53	1.766	93.604	2.549	0.306	30000.0
60	4.67	172.824	1.774	93.803	2.572	0.299	20000.0
61	4.572	174.414	1.757	93.313	2.557	0.306	30000.0
62	4.62	172.26	1.754	93.188	2.551	0.319	20000.0
63	4.62	172.559	1.77	93.678	2.573	0.309	30000.0
64	4.568	173.458	1.769	93.642	2.535	0.306	30000.0
65	4.607	173.167	1.786	93.474	2.557	0.309	40000.0
66	4.571	172.876	1.754	93.338	2.6	0.303	40000.0
67	4.69	174.055	1.753	94.111	2.601	0.296	20000.0
68	4.56	173.311	1.771	93.452	2.553	0.308	20000.0
69	4.67	173.913	1.782	93.789	2.563	0.3	30000.0
70	4.581	173.685	1.771	93.468	2.562	0.31	20000.0
71	4.527	171.607	1.738	92.917	2.523	0.316	20000.0
72	4.576	173.174	1.768	93.435	2.573	0.308	40000.0
73	4.543	172.462	1.755	93.319	2.524	0.315	30000.0
74	4.58	173.135	1.747	93.417	2.587	0.307	20000.0
75	4.585	173.022	1.738	93.391	2.545	0.31	20000.0
76	4.666	174.568	1.78	93.455	2.579	0.308	20000.0
77	4.595	171.402	1.739	93.574	2.538	0.313	20000.0
78	4.527	173.853	1.754	93.326	2.537	0.309	20000.0
79	4.711	176.059	1.782	94.187	2.611	0.288	30000.0
80	4.639	172.833	1.76	93.38	2.545	0.311	20000.0
81	4.655	172.893	1.789	93.885	2.549	0.297	30000.0
82	4.65	174.366	1.801	93.648	2.556	0.308	30000.0
83	4.489	170.779	1.736	93.084	2.531	0.318	20000.0
84	4.589	172.262	1.767	93.314	2.536	0.314	20000.0
85	4.63	174.853	1.783	93.638	2.544	0.307	20000.0
86	4.498	172.546	1.732	92.99	2.523	0.32	40000.0
87	4.709	173.204	1.779	93.689	2.554	0.307	20000.0
88	4.669	172.834	1.777	93.838	2.583	0.302	20000.0
89	4.693	173.564	1.769	93.896	2.575	0.302	20000.0
90	4.543	172.475	1.767	93.035	2.522	0.314	20000.0
91	4.655	174.912	1.779	93.751	2.566	0.3	30000.0
92	4.628	174.317	1.794	93.785	2.569	0.302	20000.0
93	4.706	173.172	1.792	93.791	2.534	0.304	20000.0
94	4.548	172.328	1.759	93.177	2.538	0.315	40000.0
95	4.701	175.828	1.828	94.1	2.599	0.297	20000.0
96	4.674	173.277	1.764	93.792	2.559	0.304	20000.0
97	4.568	174.239	1.752	93.463	2.563	0.308	30000.0
98	4.598	172.61	1.741	93.272	2.523	0.314	30000.0
99	4.616	172.92	1.759	93.568	2.567	0.303	30000.0
