NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	93.613	111.313	17.5	74.204	1.087	0.544	40000.0
2	93.039	111.196	17.282	74.124	1.088	0.545	30000.0
3	93.455	111.445	17.394	74.353	1.093	0.538	30000.0
4	93.312	111.05	17.366	74.055	1.088	0.546	20000.0
5	93.493	111.214	17.48	74.198	1.091	0.543	20000.0
6	93.622	111.151	17.465	74.067	1.087	0.546	20000.0
7	93.783	111.296	17.495	74.348	1.088	0.54	20000.0
8	93.476	111.24	17.446	74.203	1.09	0.544	30000.0
9	93.174	111.369	17.276	73.98	1.09	0.547	30000.0
10	95.597	111.597	18.276	73.409	1.078	0.559	30000.0
11	95.503	111.088	18.357	73.032	1.071	0.567	20000.0
12	96.072	111.944	18.416	73.609	1.082	0.556	40000.0
13	94.006	111.559	17.479	74.334	1.091	0.54	30000.0
14	95.656	111.434	18.321	73.417	1.076	0.56	40000.0
15	93.782	111.5	17.476	74.212	1.092	0.544	50000.0
16	93.25	111.236	17.318	74.169	1.088	0.543	30000.0
17	93.316	111.294	17.416	74.174	1.09	0.543	30000.0
18	93.32	111.221	17.375	74.16	1.091	0.544	40000.0
19	95.433	111.351	18.243	73.206	1.072	0.565	20000.0
20	96.018	111.918	18.435	73.595	1.086	0.558	20000.0
21	93.615	111.305	17.455	74.141	1.087	0.544	20000.0
22	95.707	111.638	18.421	73.51	1.082	0.559	30000.0
23	95.619	111.64	18.368	73.31	1.084	0.562	20000.0
24	95.364	111.509	18.267	73.413	1.08	0.559	40000.0
25	93.65	111.068	17.429	74.032	1.087	0.546	20000.0
26	93.596	111.49	17.4	74.375	1.091	0.54	30000.0
27	95.911	111.73	18.446	73.614	1.084	0.557	40000.0
28	93.474	111.3	17.416	74.196	1.09	0.54	40000.0
29	93.629	111.101	17.464	74.05	1.085	0.547	30000.0
30	95.619	111.471	18.372	73.4	1.078	0.562	20000.0
31	93.19	110.54	17.38	73.959	1.08	0.546	40000.0
32	95.239	111.325	18.307	73.22	1.077	0.566	40000.0
33	93.303	111.076	17.405	74.095	1.088	0.544	20000.0
34	92.944	111.086	17.306	74.182	1.089	0.542	20000.0
35	93.313	111.009	17.244	73.833	1.084	0.548	40000.0
36	93.664	111.412	17.425	74.329	1.086	0.543	20000.0
37	93.08	111.106	17.29	73.98	1.087	0.548	40000.0
38	93.082	111.41	17.311	74.189	1.094	0.543	20000.0
39	95.726	111.669	18.332	73.325	1.078	0.563	30000.0
40	93.085	111.237	17.241	74.112	1.095	0.544	30000.0
41	95.438	111.409	18.275	73.338	1.076	0.56	20000.0
42	95.357	111.137	18.289	73.2	1.07	0.565	20000.0
43	93.399	111.302	17.277	73.947	1.087	0.547	20000.0
44	95.065	110.838	18.215	73.028	1.069	0.566	20000.0
45	93.688	111.387	17.465	74.281	1.092	0.541	40000.0
46	95.745	111.69	18.283	73.516	1.084	0.558	20000.0
47	93.804	111.802	17.46	74.511	1.099	0.538	30000.0
48	93.874	111.534	17.517	74.48	1.094	0.539	20000.0
49	93.647	111.079	17.468	74.216	1.088	0.542	20000.0
50	95.633	111.644	18.374	73.497	1.081	0.56	20000.0
51	95.566	111.553	18.249	73.482	1.079	0.559	30000.0
52	95.46	111.352	18.324	73.278	1.079	0.562	30000.0
53	93.672	111.721	17.479	74.445	1.094	0.54	20000.0
54	93.719	111.332	17.423	74.167	1.089	0.545	20000.0
55	95.448	111.426	18.256	73.399	1.076	0.56	30000.0
56	93.665	111.475	17.428	74.192	1.092	0.543	60000.0
57	93.775	111.666	17.46	74.383	1.093	0.54	20000.0
58	95.505	111.091	18.401	73.199	1.071	0.566	30000.0
59	95.939	111.907	18.388	73.507	1.086	0.557	20000.0
60	95.78	111.505	18.411	73.443	1.08	0.56	20000.0
61	95.392	111.454	18.324	73.423	1.077	0.561	40000.0
62	93.537	111.304	17.489	74.125	1.088	0.545	20000.0
63	95.786	111.797	18.405	73.583	1.084	0.558	20000.0
64	95.475	111.479	18.19	73.211	1.073	0.564	20000.0
65	93.522	111.095	17.545	74.282	1.091	0.543	20000.0
66	95.713	111.68	18.259	73.473	1.081	0.557	20000.0
67	93.49	111.425	17.42	74.198	1.092	0.544	30000.0
68	93.241	110.97	17.394	74.027	1.089	0.547	40000.0
69	93.879	111.53	17.59	74.6	1.092	0.537	20000.0
70	95.665	111.573	18.266	73.303	1.077	0.563	40000.0
71	93.367	111.165	17.38	74.177	1.086	0.544	20000.0
72	93.522	111.259	17.427	74.197	1.085	0.544	40000.0
73	93.602	111.277	17.46	74.101	1.086	0.547	20000.0
74	95.685	111.774	18.356	73.477	1.085	0.559	40000.0
75	92.761	110.913	17.29	74.022	1.086	0.545	20000.0
76	93.002	110.607	17.32	73.891	1.083	0.547	30000.0
77	95.496	111.116	18.253	73.133	1.072	0.565	20000.0
78	95.469	111.591	18.298	73.486	1.083	0.56	20000.0
79	95.573	111.388	18.341	73.316	1.082	0.56	30000.0
80	93.352	111.279	17.353	74.0	1.086	0.546	30000.0
81	95.743	111.396	18.377	73.345	1.073	0.562	40000.0
82	93.777	111.279	17.478	74.228	1.087	0.543	20000.0
83	95.949	111.509	18.462	73.481	1.08	0.561	20000.0
84	93.458	111.244	17.403	74.183	1.089	0.543	20000.0
85	95.548	111.588	18.316	73.297	1.076	0.563	30000.0
86	95.274	111.03	18.203	73.043	1.068	0.566	40000.0
87	95.175	111.418	18.243	73.372	1.076	0.559	20000.0
88	93.096	110.75	17.402	74.026	1.083	0.547	20000.0
89	93.296	111.135	17.375	74.17	1.086	0.541	20000.0
90	95.572	111.465	18.318	73.401	1.075	0.56	20000.0
91	95.938	111.518	18.342	73.475	1.078	0.56	40000.0
92	93.43	111.321	17.463	74.323	1.089	0.542	20000.0
93	95.652	111.463	18.381	73.464	1.076	0.559	20000.0
94	95.531	111.687	18.286	73.609	1.081	0.556	20000.0
95	93.673	111.384	17.521	74.248	1.089	0.545	40000.0
96	93.557	111.166	17.434	74.163	1.088	0.542	30000.0
97	95.71	111.472	18.386	73.452	1.08	0.558	40000.0
98	93.448	111.198	17.43	74.194	1.093	0.544	40000.0
99	95.682	111.342	18.364	73.409	1.078	0.561	20000.0
100	95.89	111.967	18.394	73.459	1.085	0.558	20000.0
101	93.377	111.162	17.479	74.219	1.087	0.543	20000.0
102	93.223	111.112	17.385	74.085	1.089	0.543	20000.0
103	96.128	111.611	18.386	73.425	1.08	0.561	20000.0
104	95.649	111.525	18.313	73.42	1.081	0.559	20000.0
105	95.323	111.259	18.225	73.157	1.071	0.566	40000.0
106	95.563	111.456	18.331	73.263	1.079	0.563	40000.0
107	93.473	111.207	17.543	74.297	1.091	0.541	50000.0
108	93.821	111.495	17.496	74.317	1.092	0.54	20000.0
109	93.733	111.359	17.39	74.307	1.091	0.54	20000.0
110	93.49	110.973	17.467	74.044	1.085	0.546	40000.0
111	93.5	111.6	17.416	74.459	1.1	0.537	30000.0
112	93.578	111.237	17.466	74.229	1.094	0.543	30000.0
113	93.497	110.903	17.451	73.921	1.086	0.55	30000.0
114	95.531	111.619	18.282	73.367	1.084	0.56	30000.0
115	93.425	111.17	17.416	74.259	1.084	0.543	40000.0
116	93.464	111.263	17.355	74.248	1.087	0.544	30000.0
117	93.275	111.147	17.314	74.085	1.09	0.544	50000.0
118	95.453	111.296	18.282	73.355	1.072	0.562	30000.0
119	95.608	111.484	18.326	73.605	1.077	0.557	20000.0
120	93.302	111.222	17.357	74.331	1.088	0.54	20000.0
121	93.466	111.192	17.342	74.051	1.089	0.544	20000.0
122	93.518	111.463	17.395	74.212	1.092	0.542	20000.0
123	95.414	111.128	18.297	73.289	1.074	0.563	30000.0
124	95.326	111.669	18.365	73.438	1.085	0.56	40000.0
125	93.361	110.852	17.335	74.07	1.085	0.544	40000.0
126	95.467	111.365	18.231	73.325	1.076	0.56	20000.0
127	93.771	111.427	17.474	74.159	1.089	0.544	20000.0
128	93.626	111.321	17.446	74.258	1.094	0.542	30000.0
129	93.216	110.977	17.338	74.12	1.084	0.545	40000.0
130	93.166	111.292	17.315	74.157	1.09	0.544	30000.0
131	95.59	111.431	18.328	73.362	1.077	0.561	30000.0
132	95.907	111.622	18.341	73.338	1.078	0.565	30000.0
133	93.637	111.363	17.539	74.266	1.094	0.542	20000.0
134	95.616	111.8	18.321	73.567	1.081	0.559	30000.0
135	95.582	111.563	18.304	73.423	1.078	0.561	40000.0
136	93.068	110.644	17.341	73.903	1.08	0.549	20000.0
137	95.434	111.407	18.277	73.236	1.074	0.562	20000.0
138	93.235	111.079	17.278	74.082	1.087	0.546	20000.0
139	94.023	111.837	17.656	74.715	1.099	0.536	20000.0
140	93.369	111.153	17.416	74.161	1.09	0.544	30000.0
141	93.887	111.626	17.54	74.48	1.094	0.54	20000.0
142	93.421	111.433	17.397	74.272	1.091	0.542	20000.0
143	96.036	111.711	18.35	73.446	1.082	0.561	30000.0
144	95.79	111.338	18.403	73.27	1.073	0.563	40000.0
145	95.336	111.368	18.366	73.386	1.083	0.561	20000.0
146	93.547	111.474	17.324	74.24	1.09	0.542	20000.0
147	96.161	111.834	18.41	73.572	1.082	0.558	30000.0
148	93.01	111.112	17.271	74.133	1.088	0.542	30000.0
149	93.276	111.26	17.37	74.121	1.09	0.546	30000.0
150	93.074	111.105	17.26	74.025	1.088	0.544	30000.0
151	93.471	111.127	17.433	74.08	1.086	0.546	20000.0
152	93.352	111.237	17.448	74.166	1.087	0.544	30000.0
153	93.896	111.316	17.618	74.298	1.089	0.545	20000.0
154	95.515	111.186	18.353	73.354	1.075	0.561	20000.0
155	93.155	111.022	17.305	73.872	1.086	0.547	20000.0
156	93.54	111.239	17.483	74.497	1.09	0.538	20000.0
157	93.396	111.404	17.422	74.329	1.093	0.541	30000.0
158	95.565	111.391	18.298	73.338	1.076	0.56	20000.0
159	95.904	111.926	18.431	73.555	1.086	0.559	20000.0
160	95.997	111.614	18.42	73.393	1.082	0.559	30000.0
161	92.83	110.962	17.239	73.83	1.084	0.546	40000.0
162	93.524	111.302	17.372	74.073	1.089	0.545	20000.0
163	93.249	111.276	17.378	74.242	1.091	0.541	20000.0
164	95.765	111.154	18.414	73.243	1.074	0.562	30000.0
165	93.041	110.89	17.403	74.045	1.083	0.545	20000.0
166	95.486	111.573	18.298	73.275	1.076	0.562	20000.0
167	93.575	111.441	17.44	74.048	1.095	0.545	20000.0
168	93.613	111.286	17.544	74.345	1.091	0.543	30000.0
169	95.422	111.183	18.304	73.18	1.076	0.563	20000.0
170	93.228	111.172	17.389	74.102	1.092	0.545	20000.0
171	93.173	111.109	17.384	74.031	1.086	0.546	20000.0
172	93.229	111.188	17.418	74.027	1.087	0.547	20000.0
