NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	72.459	121.244	13.975	77.826	1.295	0.499	20000.0
2	72.685	121.672	13.967	77.832	1.289	0.5	30000.0
3	72.324	121.264	13.82	77.719	1.291	0.498	30000.0
4	74.372	122.304	14.702	77.379	1.288	0.512	30000.0
5	72.553	121.724	13.922	77.854	1.297	0.497	20000.0
6	74.299	121.723	14.811	77.247	1.276	0.516	40000.0
7	74.431	121.586	14.745	77.125	1.275	0.516	30000.0
8	74.015	121.734	14.662	77.192	1.276	0.516	20000.0
9	72.174	121.107	13.843	77.752	1.287	0.498	20000.0
10	72.521	121.407	13.884	77.954	1.287	0.497	20000.0
11	72.382	121.579	13.891	77.794	1.293	0.499	20000.0
12	72.091	121.136	13.8	77.751	1.287	0.5	30000.0
13	72.052	120.711	13.787	77.506	1.283	0.502	40000.0
14	74.888	122.602	14.787	77.353	1.287	0.514	20000.0
15	72.363	121.216	13.888	77.709	1.295	0.5	20000.0
16	72.501	121.547	13.837	77.814	1.292	0.497	20000.0
17	74.364	121.643	14.721	77.046	1.275	0.516	30000.0
18	74.193	121.821	14.623	77.15	1.277	0.516	20000.0
19	74.544	121.654	14.742	77.009	1.275	0.52	40000.0
20	72.469	121.451	13.917	77.926	1.29	0.498	20000.0
21	74.279	121.7	14.767	77.034	1.272	0.52	20000.0
22	72.182	121.222	13.835	77.551	1.286	0.503	20000.0
23	72.272	121.173	13.835	77.717	1.287	0.499	30000.0
24	74.578	121.908	14.755	77.194	1.277	0.514	20000.0
25	72.457	121.557	13.886	77.795	1.291	0.5	30000.0
26	74.622	122.208	14.794	77.307	1.279	0.513	40000.0
27	72.479	121.756	13.868	78.016	1.303	0.494	30000.0
28	74.314	121.771	14.637	76.945	1.27	0.518	20000.0
29	72.607	121.415	13.947	77.72	1.288	0.502	30000.0
30	74.512	121.911	14.769	77.237	1.274	0.516	40000.0
31	74.37	121.657	14.721	77.133	1.279	0.516	20000.0
32	72.204	121.004	13.827	77.635	1.282	0.501	20000.0
33	72.243	121.087	13.896	77.757	1.292	0.5	40000.0
34	72.538	121.252	13.923	77.894	1.288	0.498	20000.0
35	72.411	120.986	13.856	77.651	1.284	0.501	20000.0
36	74.574	122.042	14.712	77.158	1.284	0.516	20000.0
37	72.287	121.046	13.857	77.58	1.281	0.504	20000.0
38	72.381	121.002	13.958	77.809	1.285	0.5	20000.0
39	72.509	121.414	13.943	77.888	1.29	0.499	30000.0
40	72.246	121.112	13.828	77.636	1.286	0.501	30000.0
41	72.58	121.187	13.966	77.827	1.285	0.5	30000.0
42	72.364	121.136	13.851	77.768	1.289	0.499	20000.0
43	74.271	122.087	14.693	77.415	1.281	0.509	20000.0
44	72.485	121.729	13.946	77.819	1.299	0.498	40000.0
45	72.363	121.168	13.957	77.6	1.285	0.503	30000.0
46	74.627	122.343	14.731	77.193	1.276	0.519	20000.0
47	74.427	122.053	14.725	77.326	1.278	0.514	30000.0
48	72.649	121.212	14.013	77.637	1.285	0.503	40000.0
49	72.511	121.326	13.859	77.683	1.291	0.501	30000.0
50	72.542	121.259	13.993	77.689	1.288	0.504	40000.0
51	72.363	121.363	13.942	77.936	1.294	0.497	20000.0
52	74.363	122.225	14.686	77.285	1.284	0.513	20000.0
53	72.455	121.405	13.889	77.819	1.288	0.501	20000.0
54	74.341	121.657	14.713	76.982	1.272	0.519	30000.0
55	72.575	121.511	13.961	77.965	1.288	0.498	30000.0
56	74.247	121.798	14.683	77.061	1.274	0.519	20000.0
57	72.552	121.099	13.996	77.798	1.284	0.501	20000.0
58	72.194	121.059	13.823	77.666	1.289	0.5	30000.0
59	72.489	121.503	13.885	77.935	1.291	0.497	20000.0
60	72.853	122.003	13.925	78.073	1.301	0.494	20000.0
61	72.259	121.002	13.841	77.584	1.283	0.502	30000.0
62	72.313	121.939	13.869	78.013	1.304	0.496	20000.0
