Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01A-11D-A41F-09	2	18	2	4
TCGA-3C-AALI-01A-11D-A41F-09	400	18	31	44
TCGA-3C-AALJ-01A-31D-A41F-09	5	17	11	2
TCGA-3C-AALK-01A-11D-A41F-09	11	24	9	3
TCGA-4H-AAAK-01A-12D-A41F-09	0	13	7	4
TCGA-5L-AAT0-01A-12D-A41F-09	129	11	21	15
TCGA-5L-AAT1-01A-12D-A41F-09	1102	7	34	96
TCGA-5T-A9QA-01A-11D-A41F-09	2	18	19	0
TCGA-A1-A0SD-01A-11D-A10Y-09	3	21	3	2
TCGA-A1-A0SE-01A-11D-A099-09	4	7	14	2
TCGA-A1-A0SF-01A-11D-A142-09	28	7	3	3
TCGA-A1-A0SG-01A-11D-A142-09	3	10	3	5
TCGA-A1-A0SH-01A-11D-A099-09	61	12	19	4
TCGA-A1-A0SI-01A-11D-A142-09	176	1	0	12
TCGA-A1-A0SJ-01A-11D-A099-09	4	10	3	0
TCGA-A1-A0SK-01A-12D-A099-09	2	18	34	5
TCGA-A1-A0SM-01A-11D-A099-09	0	13	8	7
TCGA-A1-A0SN-01A-11D-A142-09	16	25	16	3
TCGA-A1-A0SO-01A-22D-A099-09	21	39	207	11
TCGA-A1-A0SP-01A-11D-A099-09	3	24	16	0
TCGA-A1-A0SQ-01A-21D-A142-09	2	15	3	3
TCGA-A2-A04N-01A-11D-A10Y-09	5	4	20	6
TCGA-A2-A04P-01A-31D-A128-09	11	28	79	3
TCGA-A2-A04Q-01A-21W-A050-09	6	17	25	1
TCGA-A2-A04R-01A-41D-A117-09	6	11	46	6
TCGA-A2-A04T-01A-21W-A050-09	8	17	51	1
TCGA-A2-A04U-01A-11D-A10Y-09	1	18	21	5
TCGA-A2-A04V-01A-21W-A050-09	3	11	14	4
TCGA-A2-A04W-01A-31D-A10Y-09	91	28	8	9
TCGA-A2-A04X-01A-21W-A050-09	12	10	10	0
TCGA-A2-A04Y-01A-21W-A050-09	8	3	30	8
TCGA-A2-A0CK-01A-11D-A228-09	4	13	5	1
TCGA-A2-A0CL-01A-11D-A10Y-09	97	20	6	8
TCGA-A2-A0CM-01A-31W-A050-09	28	10	21	0
TCGA-A2-A0CP-01A-11W-A050-09	1	15	89	4
TCGA-A2-A0CQ-01A-21W-A050-09	2	25	16	3
TCGA-A2-A0CR-01A-11D-A228-09	118	4	9	4
TCGA-A2-A0CS-01A-11D-A10Y-09	0	25	5	3
TCGA-A2-A0CT-01A-31W-A071-09	29	39	28	3
TCGA-A2-A0CU-01A-12W-A050-09	6	17	13	4
TCGA-A2-A0CV-01A-31D-A10Y-09	1	15	0	3
TCGA-A2-A0CW-01A-21D-A10Y-09	15	9	19	5
TCGA-A2-A0CX-01A-21W-A019-09	190	21	35	31
TCGA-A2-A0D0-01A-11W-A019-09	7	21	37	5
TCGA-A2-A0D1-01A-11W-A050-09	17	25	32	7
TCGA-A2-A0D2-01A-21W-A050-09	11	16	48	1
TCGA-A2-A0D3-01A-11D-A10Y-09	1	17	0	3
TCGA-A2-A0D4-01A-11W-A019-09	4	13	11	5
TCGA-A2-A0EM-01A-11W-A050-09	2	17	16	1
TCGA-A2-A0EN-01A-13D-A099-09	1	10	13	3
TCGA-A2-A0EO-01A-11W-A050-09	5	18	16	0
TCGA-A2-A0EP-01A-52D-A22X-09	6	4	2	0
TCGA-A2-A0EQ-01A-11W-A050-09	172	45	4	1
TCGA-A2-A0ER-01A-21W-A050-09	2	22	10	1
TCGA-A2-A0ES-01A-11D-A10Y-09	0	6	6	0
TCGA-A2-A0ET-01A-31D-A045-09	5	25	8	7
TCGA-A2-A0EU-01A-22W-A071-09	3	26	1	4
TCGA-A2-A0EV-01A-11W-A050-09	8	18	26	11
TCGA-A2-A0EW-01A-21D-A10Y-09	1	10	3	3
TCGA-A2-A0EX-01A-21W-A050-09	3	9	14	0
TCGA-A2-A0EY-01A-11W-A050-09	139	36	35	21
TCGA-A2-A0ST-01A-12D-A099-09	3	8	6	1
TCGA-A2-A0SU-01A-11D-A099-09	1	16	7	0
TCGA-A2-A0SV-01A-11D-A099-09	0	20	11	3
TCGA-A2-A0SW-01A-11D-A099-09	14	16	15	5
TCGA-A2-A0SX-01A-12D-A099-09	8	16	9	2
TCGA-A2-A0SY-01A-31D-A099-09	85	12	7	14
TCGA-A2-A0T0-01A-22D-A099-09	16	29	90	14
TCGA-A2-A0T1-01A-21D-A099-09	0	12	8	3
TCGA-A2-A0T2-01A-11W-A097-09	4	14	5	0
TCGA-A2-A0T3-01A-21D-A10Y-09	2	13	15	1
TCGA-A2-A0T4-01A-31D-A099-09	1	17	8	0
TCGA-A2-A0T5-01A-21D-A099-09	1	5	1	1
TCGA-A2-A0T6-01A-11D-A099-09	2	17	0	1
TCGA-A2-A0T7-01A-21D-A099-09	2	15	1	2
TCGA-A2-A0YC-01A-11D-A117-09	4	7	10	1
TCGA-A2-A0YD-01A-11D-A10G-09	29	13	8	9
TCGA-A2-A0YE-01A-11D-A10G-09	3	18	1	5
TCGA-A2-A0YF-01A-21D-A10G-09	0	4	12	7
TCGA-A2-A0YG-01A-21D-A10G-09	5	29	24	4
TCGA-A2-A0YH-01A-11D-A10G-09	36	22	22	6
TCGA-A2-A0YI-01A-31D-A10M-09	1	2	9	1
TCGA-A2-A0YJ-01A-11D-A10G-09	1	37	28	3
TCGA-A2-A0YK-01A-22D-A117-09	338	6	0	11
TCGA-A2-A0YL-01A-21D-A10G-09	17	7	6	0
TCGA-A2-A0YM-01A-11D-A10G-09	15	35	5	5
TCGA-A2-A0YT-01A-11D-A10G-09	6	30	6	12
TCGA-A2-A1FV-01A-11D-A13L-09	5	24	1	2
TCGA-A2-A1FW-01A-11D-A13L-09	2	33	26	4
TCGA-A2-A1FX-01A-11D-A13L-09	0	8	9	7
TCGA-A2-A1FZ-01A-51D-A17G-09	1	11	11	0
TCGA-A2-A1G0-01A-11D-A13L-09	2	5	10	1
TCGA-A2-A1G1-01A-21D-A13L-09	2	8	21	0
TCGA-A2-A1G4-01A-11D-A13L-09	0	13	11	1
TCGA-A2-A1G6-01A-11D-A13L-09	0	4	4	0
TCGA-A2-A259-01A-11D-A16D-09	4	9	7	0
TCGA-A2-A25A-01A-12D-A16D-09	26	0	327	27
TCGA-A2-A25B-01A-11D-A167-09	7	25	58	8
TCGA-A2-A25C-01A-11D-A167-09	4	7	19	5
TCGA-A2-A25D-01A-12D-A16D-09	8	16	18	1
TCGA-A2-A25E-01A-11D-A167-09	6	14	29	5
TCGA-A2-A25F-01A-11D-A167-09	0	0	5	0
