Samples	SBS96A	SBS96B	SBS96C
TCGA-3C-AAAU-01A-11D-A41F-09	24	3	3
TCGA-3C-AALI-01A-11D-A41F-09	40	462	45
TCGA-3C-AALJ-01A-31D-A41F-09	32	6	4
TCGA-3C-AALK-01A-11D-A41F-09	40	10	4
TCGA-4H-AAAK-01A-12D-A41F-09	21	0	6
TCGA-5L-AAT0-01A-12D-A41F-09	19	155	15
TCGA-5L-AAT1-01A-12D-A41F-09	11	1263	103
TCGA-5T-A9QA-01A-11D-A41F-09	43	3	0
TCGA-A1-A0SD-01A-11D-A10Y-09	28	2	3
TCGA-A1-A0SE-01A-11D-A099-09	18	6	5
TCGA-A1-A0SF-01A-11D-A142-09	15	30	3
TCGA-A1-A0SG-01A-11D-A142-09	14	3	5
TCGA-A1-A0SH-01A-11D-A099-09	29	73	3
TCGA-A1-A0SI-01A-11D-A142-09	6	187	11
TCGA-A1-A0SJ-01A-11D-A099-09	17	3	0
TCGA-A1-A0SK-01A-12D-A099-09	56	4	7
TCGA-A1-A0SM-01A-11D-A099-09	21	0	8
TCGA-A1-A0SN-01A-11D-A142-09	47	18	4
TCGA-A1-A0SO-01A-22D-A099-09	236	46	21
TCGA-A1-A0SP-01A-11D-A099-09	41	5	0
TCGA-A1-A0SQ-01A-21D-A142-09	21	4	4
TCGA-A2-A04N-01A-11D-A10Y-09	27	8	9
TCGA-A2-A04P-01A-31D-A128-09	111	21	4
TCGA-A2-A04Q-01A-21W-A050-09	44	10	2
TCGA-A2-A04R-01A-41D-A117-09	60	15	8
TCGA-A2-A04T-01A-21W-A050-09	67	18	4
TCGA-A2-A04U-01A-11D-A10Y-09	41	4	6
TCGA-A2-A04V-01A-21W-A050-09	27	6	5
TCGA-A2-A04W-01A-31D-A10Y-09	43	96	16
TCGA-A2-A04X-01A-21W-A050-09	20	15	0
TCGA-A2-A04Y-01A-21W-A050-09	31	14	10
TCGA-A2-A0CK-01A-11D-A228-09	22	3	1
TCGA-A2-A0CL-01A-11D-A10Y-09	29	100	9
TCGA-A2-A0CM-01A-31W-A050-09	28	35	2
TCGA-A2-A0CP-01A-11W-A050-09	105	10	6
TCGA-A2-A0CQ-01A-21W-A050-09	42	3	4
TCGA-A2-A0CR-01A-11D-A228-09	10	141	4
TCGA-A2-A0CS-01A-11D-A10Y-09	35	1	3
TCGA-A2-A0CT-01A-31W-A071-09	70	32	8
TCGA-A2-A0CU-01A-12W-A050-09	38	7	5
TCGA-A2-A0CV-01A-31D-A10Y-09	16	0	3
TCGA-A2-A0CW-01A-21D-A10Y-09	27	17	6
TCGA-A2-A0CX-01A-21W-A019-09	49	219	31
TCGA-A2-A0D0-01A-11W-A019-09	59	12	6
TCGA-A2-A0D1-01A-11W-A050-09	63	21	8
TCGA-A2-A0D2-01A-21W-A050-09	66	17	4
TCGA-A2-A0D3-01A-11D-A10Y-09	25	1	2
TCGA-A2-A0D4-01A-11W-A019-09	25	5	6
TCGA-A2-A0EM-01A-11W-A050-09	37	3	1
TCGA-A2-A0EN-01A-13D-A099-09	25	2	3
TCGA-A2-A0EO-01A-11W-A050-09	35	7	0
TCGA-A2-A0EP-01A-52D-A22X-09	7	7	1
TCGA-A2-A0EQ-01A-11W-A050-09	67	181	0
TCGA-A2-A0ER-01A-21W-A050-09	35	3	1
TCGA-A2-A0ES-01A-11D-A10Y-09	11	1	0
TCGA-A2-A0ET-01A-31D-A045-09	37	5	7
TCGA-A2-A0EU-01A-22W-A071-09	35	3	4
TCGA-A2-A0EV-01A-11W-A050-09	44	11	13
TCGA-A2-A0EW-01A-21D-A10Y-09	12	1	4
TCGA-A2-A0EX-01A-21W-A050-09	23	6	0
TCGA-A2-A0EY-01A-11W-A050-09	68	159	27
TCGA-A2-A0ST-01A-12D-A099-09	14	4	1
TCGA-A2-A0SU-01A-11D-A099-09	24	2	0
TCGA-A2-A0SV-01A-11D-A099-09	35	0	3
TCGA-A2-A0SW-01A-11D-A099-09	34	18	5
TCGA-A2-A0SX-01A-12D-A099-09	27	9	3
TCGA-A2-A0SY-01A-31D-A099-09	21	93	16
TCGA-A2-A0T0-01A-22D-A099-09	126	29	19
TCGA-A2-A0T1-01A-21D-A099-09	20	0	3
TCGA-A2-A0T2-01A-11W-A097-09	22	4	0
TCGA-A2-A0T3-01A-21D-A10Y-09	28	3	2
TCGA-A2-A0T4-01A-31D-A099-09	26	1	0
TCGA-A2-A0T5-01A-21D-A099-09	6	1	1
TCGA-A2-A0T6-01A-11D-A099-09	17	2	1
TCGA-A2-A0T7-01A-21D-A099-09	18	1	2
TCGA-A2-A0YC-01A-11D-A117-09	18	5	1
TCGA-A2-A0YD-01A-11D-A10G-09	24	32	9
TCGA-A2-A0YE-01A-11D-A10G-09	22	3	5
TCGA-A2-A0YF-01A-21D-A10G-09	21	0	8
TCGA-A2-A0YG-01A-21D-A10G-09	50	7	5
TCGA-A2-A0YH-01A-11D-A10G-09	42	40	7
TCGA-A2-A0YI-01A-31D-A10M-09	10	2	2
TCGA-A2-A0YJ-01A-11D-A10G-09	67	3	4
