NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	66.802	112.533	11.838	71.698	1.125	0.578	30000.0
2	67.124	112.702	12.036	71.809	1.131	0.576	20000.0
3	67.377	113.061	12.017	71.971	1.133	0.574	20000.0
4	67.05	113.024	11.914	72.204	1.131	0.572	40000.0
5	67.48	113.323	11.998	72.224	1.137	0.571	20000.0
6	67.081	113.033	11.909	72.01	1.133	0.574	20000.0
7	67.536	112.986	12.031	72.061	1.129	0.575	20000.0
8	66.869	112.507	11.818	71.823	1.131	0.577	20000.0
9	67.278	113.107	12.0	72.134	1.135	0.574	20000.0
10	67.444	113.312	11.985	72.234	1.132	0.57	20000.0
11	67.053	112.942	11.97	71.973	1.137	0.574	30000.0
12	67.31	113.05	11.903	71.986	1.132	0.574	30000.0
13	67.193	113.24	11.891	72.25	1.142	0.565	30000.0
14	67.129	112.976	11.955	72.123	1.134	0.57	30000.0
15	67.001	112.736	11.879	71.91	1.129	0.574	20000.0
16	67.082	112.756	11.967	71.898	1.133	0.575	20000.0
17	67.041	112.873	11.928	72.054	1.131	0.573	50000.0
18	67.58	113.277	12.053	72.102	1.133	0.571	30000.0
19	67.761	114.141	12.031	72.824	1.15	0.562	40000.0
20	67.022	112.966	11.958	72.038	1.131	0.574	40000.0
21	67.599	113.495	12.068	72.283	1.141	0.57	30000.0
22	67.42	113.118	12.043	72.281	1.134	0.571	20000.0
23	67.258	113.037	11.955	72.091	1.13	0.573	30000.0
24	66.954	112.733	11.931	71.775	1.134	0.575	40000.0
25	67.133	112.988	11.915	71.962	1.133	0.574	20000.0
26	67.395	113.118	12.066	72.162	1.136	0.573	20000.0
27	66.95	112.679	11.932	71.575	1.127	0.581	30000.0
28	67.67	113.811	12.044	72.573	1.148	0.563	40000.0
29	67.473	112.932	12.008	71.977	1.133	0.573	20000.0
30	67.398	112.87	12.014	71.886	1.131	0.577	30000.0
31	67.602	113.195	12.068	72.229	1.133	0.572	20000.0
32	67.335	112.783	12.059	71.932	1.134	0.575	30000.0
33	67.358	113.249	11.943	72.224	1.138	0.571	40000.0
34	66.88	112.858	11.843	72.069	1.131	0.57	40000.0
35	67.389	113.232	11.975	72.342	1.141	0.567	20000.0
36	67.15	112.675	11.99	71.699	1.129	0.577	30000.0
37	67.047	113.548	11.844	72.356	1.141	0.567	20000.0
38	67.196	112.768	11.954	71.842	1.131	0.576	30000.0
39	67.017	112.637	11.97	71.683	1.128	0.578	30000.0
40	67.274	113.069	11.971	72.113	1.136	0.572	30000.0
41	67.896	114.316	12.142	72.791	1.153	0.562	50000.0
42	67.489	113.078	12.101	72.06	1.133	0.574	20000.0
43	67.91	113.028	11.879	72.546	1.15	0.573	30000.0
44	67.438	113.477	12.01	72.398	1.141	0.568	40000.0
45	66.961	112.56	11.891	71.834	1.127	0.577	20000.0
46	67.181	112.882	11.9	71.825	1.132	0.574	20000.0
47	67.287	112.816	12.044	71.735	1.126	0.579	20000.0
48	67.153	113.035	11.938	72.067	1.132	0.572	30000.0
49	67.027	113.018	11.958	72.187	1.138	0.569	30000.0
50	66.645	112.502	11.785	71.845	1.126	0.576	20000.0
51	66.999	112.724	11.889	71.868	1.134	0.575	20000.0
52	67.22	112.794	11.948	71.935	1.132	0.575	30000.0
53	67.021	112.474	11.817	71.707	1.124	0.576	30000.0
54	67.649	113.327	12.099	72.462	1.138	0.568	20000.0
55	67.193	113.395	12.014	72.392	1.136	0.57	20000.0
56	67.034	112.911	11.925	72.042	1.133	0.573	20000.0
57	67.215	112.857	11.94	71.855	1.132	0.575	20000.0
58	66.924	112.861	11.858	71.792	1.133	0.575	20000.0
59	67.315	112.558	12.132	71.844	1.129	0.577	70000.0
60	67.067	113.329	11.894	72.38	1.141	0.567	30000.0
61	67.462	113.385	12.004	72.185	1.138	0.572	20000.0
62	67.547	113.286	12.022	72.046	1.138	0.571	20000.0
63	67.244	112.772	12.037	72.227	1.13	0.571	20000.0
64	66.958	112.633	11.963	71.996	1.13	0.574	60000.0
65	67.522	113.458	11.991	72.438	1.145	0.563	30000.0
66	67.218	112.646	12.035	71.73	1.132	0.58	20000.0
67	67.145	113.253	11.91	72.267	1.131	0.57	30000.0
68	67.046	112.989	11.951	72.109	1.138	0.571	40000.0
69	67.344	113.276	11.995	72.064	1.138	0.572	30000.0
