NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	75.262	109.179	13.193	70.72	1.064	0.582	20000.0
2	74.734	108.684	13.082	70.395	1.056	0.587	30000.0
3	74.741	109.204	13.03	70.721	1.058	0.582	20000.0
4	74.849	109.128	13.082	70.736	1.062	0.581	60000.0
5	74.592	108.743	13.002	70.364	1.065	0.583	30000.0
6	74.518	108.992	12.999	70.578	1.064	0.583	40000.0
7	75.539	109.736	13.268	70.981	1.076	0.58	40000.0
8	74.641	108.671	13.057	70.444	1.057	0.586	20000.0
9	74.693	108.797	12.992	70.475	1.059	0.585	40000.0
10	74.596	108.973	13.019	70.526	1.061	0.587	40000.0
11	74.33	108.119	13.009	70.175	1.052	0.592	20000.0
12	74.891	109.037	13.002	70.398	1.065	0.586	30000.0
13	74.258	108.894	13.033	70.538	1.061	0.586	40000.0
14	74.788	108.9	13.042	70.584	1.058	0.586	20000.0
15	74.865	109.248	13.096	70.706	1.063	0.584	20000.0
16	74.74	109.135	13.048	70.684	1.066	0.581	30000.0
17	74.71	108.839	13.127	70.249	1.06	0.589	40000.0
18	74.451	108.753	13.034	70.438	1.057	0.587	40000.0
19	74.782	108.588	13.113	70.443	1.055	0.587	30000.0
20	75.05	109.395	13.125	70.636	1.064	0.584	40000.0
21	74.875	109.037	13.031	70.573	1.057	0.587	30000.0
22	75.055	109.078	13.12	70.586	1.06	0.586	20000.0
23	74.568	108.74	12.966	70.51	1.059	0.583	30000.0
24	75.05	109.415	13.106	70.831	1.069	0.578	30000.0
25	74.59	108.662	13.106	70.372	1.059	0.587	20000.0
26	75.14	109.006	13.101	70.41	1.06	0.587	30000.0
27	74.683	109.004	13.0	70.522	1.063	0.583	40000.0
28	74.977	109.387	13.19	70.661	1.064	0.584	20000.0
29	74.549	108.53	13.016	70.129	1.057	0.589	30000.0
30	74.873	109.188	13.128	70.705	1.062	0.583	30000.0
31	75.12	109.36	13.072	70.611	1.062	0.585	30000.0
32	74.56	108.712	12.974	70.359	1.056	0.588	30000.0
33	74.753	109.018	13.132	70.382	1.062	0.591	40000.0
34	75.142	109.433	13.153	70.816	1.068	0.582	40000.0
35	74.785	108.762	13.1	70.497	1.062	0.586	20000.0
36	74.694	108.78	13.059	70.431	1.062	0.587	30000.0
37	74.901	109.068	13.094	70.621	1.061	0.582	40000.0
38	74.95	109.024	13.089	70.4	1.061	0.586	20000.0
39	74.912	109.225	13.106	70.668	1.06	0.585	20000.0
40	74.942	108.795	13.032	70.411	1.055	0.586	30000.0
41	74.867	109.44	13.047	70.669	1.069	0.585	30000.0
42	74.414	108.47	12.979	70.162	1.054	0.59	60000.0
43	74.967	109.082	13.11	70.461	1.063	0.586	40000.0
44	74.207	108.198	12.886	70.056	1.051	0.591	30000.0
45	74.658	109.004	12.927	70.4	1.061	0.586	20000.0
46	74.315	108.959	12.907	70.472	1.062	0.583	50000.0
47	75.119	108.932	13.09	71.015	1.068	0.578	40000.0
48	74.806	109.12	13.104	70.619	1.061	0.585	20000.0
49	74.823	108.883	13.088	70.478	1.059	0.586	50000.0
