NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	11.211	165.818	3.283	90.989	2.305	0.342	50000.0
2	11.273	165.582	3.291	91.149	2.32	0.345	30000.0
3	11.227	165.136	3.296	90.852	2.287	0.345	30000.0
4	11.498	166.231	3.355	91.055	2.314	0.344	20000.0
5	11.062	164.828	3.269	90.666	2.314	0.349	30000.0
6	11.359	165.128	3.34	90.838	2.29	0.35	20000.0
7	11.332	166.607	3.294	91.553	2.344	0.33	20000.0
8	11.217	163.761	3.288	90.303	2.27	0.356	40000.0
9	11.23	165.187	3.272	91.005	2.305	0.342	20000.0
10	11.05	165.647	3.234	91.196	2.348	0.336	40000.0
11	11.195	164.686	3.263	90.703	2.294	0.35	20000.0
12	11.189	163.941	3.288	90.505	2.281	0.353	30000.0
13	11.289	163.931	3.32	90.839	2.278	0.349	30000.0
14	11.23	164.417	3.297	90.522	2.268	0.357	20000.0
15	10.968	163.588	3.194	90.381	2.285	0.363	20000.0
16	11.135	165.201	3.252	90.985	2.327	0.349	20000.0
17	11.091	164.882	3.259	90.657	2.301	0.356	30000.0
18	11.189	164.657	3.273	90.713	2.307	0.353	30000.0
19	10.945	163.95	3.201	90.393	2.353	0.354	40000.0
20	11.33	166.078	3.306	91.009	2.311	0.336	30000.0
21	11.056	164.239	3.234	90.486	2.338	0.347	20000.0
22	11.121	165.082	3.274	90.996	2.314	0.348	30000.0
23	11.274	165.09	3.277	90.929	2.28	0.342	20000.0
24	11.181	164.045	3.236	90.527	2.271	0.351	20000.0
25	11.139	164.624	3.247	90.87	2.301	0.352	40000.0
26	11.233	165.873	3.294	91.179	2.323	0.338	30000.0
27	11.27	165.195	3.316	90.697	2.293	0.35	20000.0
28	10.993	165.623	3.203	90.81	2.342	0.341	40000.0
29	11.254	163.547	3.264	90.504	2.328	0.356	30000.0
30	11.257	164.838	3.295	91.028	2.307	0.342	30000.0
31	11.167	165.003	3.284	90.804	2.303	0.343	30000.0
32	11.232	163.859	3.282	90.676	2.266	0.356	30000.0
33	11.313	165.777	3.312	91.237	2.308	0.335	20000.0
34	11.012	165.51	3.192	90.637	2.36	0.346	20000.0
35	11.19	164.518	3.249	90.636	2.263	0.352	30000.0
36	11.243	163.342	3.319	90.33	2.267	0.364	40000.0
37	11.247	164.383	3.297	90.827	2.291	0.351	20000.0
38	11.249	165.72	3.258	91.054	2.317	0.345	20000.0
39	10.998	163.276	3.23	90.166	2.333	0.359	30000.0
40	11.013	165.057	3.204	90.712	2.345	0.351	20000.0
41	11.258	165.642	3.279	91.062	2.323	0.345	60000.0
42	11.246	164.727	3.307	90.743	2.283	0.347	20000.0
43	11.376	164.809	3.325	90.693	2.259	0.351	20000.0
44	11.187	165.739	3.25	91.179	2.321	0.334	40000.0
45	11.224	165.343	3.287	90.921	2.317	0.345	40000.0
46	11.274	165.569	3.314	91.092	2.319	0.342	30000.0
47	11.257	165.393	3.267	90.854	2.299	0.344	30000.0
48	11.323	164.57	3.298	90.595	2.273	0.358	20000.0
49	11.129	165.611	3.257	90.924	2.337	0.346	20000.0
50	11.154	164.336	3.277	90.815	2.321	0.348	20000.0
51	11.122	163.853	3.245	90.49	2.266	0.358	20000.0
52	11.337	165.491	3.325	90.963	2.284	0.349	30000.0
53	11.385	165.025	3.334	90.665	2.285	0.36	20000.0
54	11.03	163.376	3.227	90.267	2.344	0.354	20000.0
55	11.36	164.693	3.316	90.751	2.28	0.354	20000.0
56	11.12	164.107	3.252	90.541	2.279	0.359	40000.0
57	11.231	164.777	3.269	90.864	2.3	0.348	30000.0
58	11.127	163.37	3.283	90.293	2.311	0.36	50000.0
59	11.208	164.555	3.296	90.749	2.308	0.351	30000.0
60	11.14	165.438	3.255	90.943	2.316	0.347	20000.0
61	11.424	164.861	3.329	90.527	2.283	0.36	30000.0
62	11.226	164.626	3.273	90.722	2.28	0.355	30000.0
63	11.261	164.852	3.289	91.024	2.29	0.344	30000.0
64	11.334	165.463	3.294	90.732	2.273	0.353	30000.0
65	11.253	164.732	3.292	91.056	2.296	0.353	20000.0
66	11.042	165.625	3.232	91.109	2.331	0.345	20000.0
67	11.065	163.55	3.216	90.553	2.298	0.358	30000.0
68	10.995	164.471	3.232	90.33	2.367	0.355	20000.0
69	11.267	164.383	3.309	90.51	2.271	0.354	30000.0
70	11.133	164.216	3.265	90.676	2.376	0.346	20000.0
71	11.299	164.426	3.306	90.782	2.295	0.345	20000.0
72	11.247	163.919	3.288	90.465	2.252	0.357	40000.0
73	11.265	162.934	3.304	90.241	2.263	0.362	20000.0
74	11.217	164.809	3.302	90.896	2.31	0.349	20000.0
75	11.19	165.355	3.263	90.922	2.332	0.345	20000.0
76	11.215	163.988	3.281	90.3	2.29	0.352	40000.0
77	11.249	165.219	3.292	90.832	2.308	0.35	20000.0
78	11.078	164.68	3.248	90.692	2.301	0.352	20000.0
79	11.158	165.233	3.277	90.963	2.314	0.349	30000.0
80	10.909	163.411	3.192	90.354	2.312	0.364	20000.0
81	10.977	163.694	3.218	90.384	2.304	0.36	20000.0
82	11.239	165.579	3.313	91.065	2.298	0.341	40000.0
83	10.971	161.715	3.214	89.618	2.284	0.365	20000.0
84	11.106	164.27	3.243	90.797	2.294	0.352	20000.0
85	11.305	164.151	3.306	90.632	2.311	0.348	20000.0
86	11.05	163.605	3.224	90.295	2.276	0.368	20000.0
87	11.23	163.808	3.272	90.946	2.444	0.342	40000.0
88	11.272	165.322	3.294	91.109	2.321	0.343	20000.0
89	11.182	165.701	3.26	91.032	2.34	0.344	30000.0
90	11.096	163.736	3.241	90.548	2.286	0.357	50000.0
91	11.267	164.659	3.338	90.629	2.279	0.357	40000.0
92	10.934	162.994	3.176	89.929	2.326	0.363	20000.0
93	11.362	164.232	3.331	90.651	2.283	0.353	20000.0
94	10.924	162.252	3.208	89.783	2.298	0.365	40000.0
95	11.345	164.31	3.319	90.61	2.292	0.357	20000.0
96	11.054	162.886	3.263	89.957	2.322	0.362	30000.0
97	11.248	166.102	3.254	91.193	2.35	0.34	20000.0
98	11.175	162.802	3.277	90.286	2.322	0.356	20000.0
99	11.15	164.72	3.271	90.812	2.321	0.353	20000.0
100	11.377	164.93	3.322	90.705	2.27	0.348	40000.0
101	11.05	163.662	3.218	90.333	2.354	0.354	40000.0
102	11.119	164.709	3.26	90.757	2.315	0.354	40000.0
103	11.21	163.84	3.272	90.445	2.351	0.355	30000.0
104	11.082	164.63	3.245	90.733	2.304	0.354	20000.0
105	11.15	165.886	3.233	90.991	2.314	0.342	20000.0
106	11.02	163.851	3.209	90.437	2.341	0.356	20000.0
107	11.134	165.341	3.246	90.912	2.323	0.347	20000.0
108	11.314	165.337	3.291	91.119	2.303	0.342	20000.0
109	11.329	164.405	3.324	90.766	2.301	0.349	40000.0
110	11.259	164.345	3.317	90.683	2.277	0.351	20000.0
111	11.095	165.28	3.22	90.814	2.308	0.348	20000.0
112	11.287	165.671	3.313	90.939	2.306	0.341	30000.0
113	11.196	165.856	3.27	91.233	2.326	0.337	20000.0
114	11.318	164.215	3.306	90.573	2.325	0.358	30000.0
