NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.641	175.143	2.924	93.628	2.849	0.264	20000.0
2	9.646	175.207	2.918	93.798	2.853	0.262	30000.0
3	9.657	175.373	2.929	93.78	2.866	0.259	30000.0
4	9.67	175.408	2.949	93.828	2.858	0.259	30000.0
5	9.655	175.595	2.93	93.847	2.873	0.256	30000.0
6	9.626	175.183	2.915	93.753	2.864	0.259	20000.0
7	9.801	175.868	2.994	94.018	2.867	0.258	20000.0
8	9.666	175.632	2.95	93.81	2.87	0.26	30000.0
9	9.652	174.923	2.927	93.588	2.859	0.266	30000.0
10	9.688	175.652	2.945	93.875	2.864	0.258	30000.0
11	9.669	175.106	2.955	93.806	2.848	0.263	30000.0
12	9.639	175.484	2.944	93.881	2.876	0.26	20000.0
13	9.651	175.28	2.925	93.686	2.866	0.26	20000.0
14	9.682	175.275	2.93	93.802	2.874	0.259	40000.0
15	9.723	176.08	2.964	94.033	2.881	0.254	30000.0
16	9.7	175.526	2.953	93.895	2.86	0.26	40000.0
17	9.637	175.229	2.932	93.739	2.867	0.263	20000.0
18	9.593	175.1	2.963	93.884	2.888	0.256	40000.0
19	9.635	174.888	2.918	93.68	2.845	0.264	20000.0
20	9.799	175.896	2.957	94.061	2.885	0.254	40000.0
21	9.722	175.464	2.934	93.978	2.876	0.256	30000.0
22	9.728	174.917	2.959	93.956	2.858	0.265	40000.0
23	9.721	175.691	2.948	94.079	2.872	0.255	40000.0
24	9.711	175.787	2.974	93.894	2.863	0.259	30000.0
25	9.652	175.414	2.914	94.007	2.876	0.257	30000.0
26	9.624	174.995	2.929	93.644	2.868	0.261	30000.0
27	9.699	175.471	2.961	93.89	2.869	0.258	20000.0
28	9.668	175.389	2.934	93.826	2.851	0.261	20000.0
29	9.735	175.568	2.958	93.865	2.865	0.259	30000.0
30	9.64	175.047	2.921	93.731	2.852	0.264	20000.0
31	9.675	174.953	2.934	93.752	2.85	0.265	20000.0
32	9.639	175.362	2.96	93.791	2.882	0.256	40000.0
33	9.699	175.158	2.983	93.83	2.874	0.262	30000.0
34	9.644	175.201	2.919	93.73	2.866	0.261	20000.0
35	9.76	175.656	2.957	93.934	2.864	0.257	20000.0
36	9.66	175.478	2.916	93.801	2.85	0.263	20000.0
37	9.666	175.302	2.939	93.836	2.862	0.262	30000.0
38	9.619	175.452	2.932	93.781	2.865	0.261	20000.0
39	9.688	175.51	2.941	93.867	2.862	0.258	20000.0
40	9.606	175.133	2.907	93.567	2.864	0.262	30000.0
41	9.705	175.646	2.949	93.98	2.875	0.257	20000.0
42	9.596	175.444	2.921	93.633	2.865	0.26	30000.0
43	9.668	175.024	2.951	93.733	2.861	0.265	20000.0
44	9.659	174.963	2.919	93.724	2.868	0.261	30000.0
45	9.693	175.842	2.919	93.974	2.875	0.257	30000.0
46	9.656	175.287	2.965	93.892	2.848	0.262	30000.0
47	9.635	175.248	2.937	93.909	2.877	0.254	20000.0
48	9.798	176.385	2.972	94.285	2.915	0.249	20000.0
49	9.643	175.707	2.935	94.032	2.893	0.255	30000.0
50	9.595	175.092	2.918	93.658	2.876	0.264	30000.0
51	9.594	174.555	2.875	93.505	2.819	0.268	40000.0
52	9.645	175.642	2.924	93.752	2.883	0.259	30000.0
53	9.678	175.884	2.913	93.82	2.872	0.258	20000.0
54	9.578	174.806	2.914	93.575	2.837	0.267	20000.0
