NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	17.06	163.002	4.373	90.074	2.336	0.337	20000.0
2	17.167	162.277	4.359	89.743	2.316	0.339	30000.0
3	17.448	163.73	4.455	90.167	2.311	0.333	20000.0
4	17.0	162.656	4.33	90.085	2.339	0.338	20000.0
5	17.043	162.588	4.334	90.112	2.341	0.339	30000.0
6	16.982	162.224	4.356	89.942	2.343	0.34	30000.0
7	16.934	163.523	4.293	90.387	2.353	0.327	20000.0
8	17.028	161.729	4.351	89.993	2.303	0.34	30000.0
9	16.695	162.299	4.227	89.987	2.342	0.337	30000.0
10	17.131	162.695	4.342	89.857	2.313	0.333	40000.0
11	16.899	161.471	4.322	89.61	2.326	0.334	20000.0
12	16.992	162.045	4.326	89.846	2.321	0.331	30000.0
13	17.531	164.582	4.484	90.495	2.327	0.325	40000.0
14	17.089	163.734	4.347	90.485	2.362	0.326	40000.0
15	16.843	162.764	4.246	90.117	2.335	0.329	20000.0
16	17.136	163.327	4.344	90.055	2.339	0.334	20000.0
17	16.883	162.862	4.267	90.249	2.349	0.332	30000.0
18	17.618	163.153	4.508	90.28	2.292	0.333	40000.0
19	17.235	162.803	4.379	90.146	2.321	0.338	20000.0
20	16.687	162.137	4.222	89.892	2.36	0.338	20000.0
21	17.469	163.311	4.46	90.179	2.278	0.336	20000.0
22	16.939	163.243	4.272	90.33	2.347	0.335	40000.0
23	16.791	162.973	4.26	90.178	2.349	0.332	20000.0
24	16.668	162.142	4.24	90.124	2.357	0.338	20000.0
25	16.958	163.664	4.292	90.48	2.345	0.331	20000.0
26	17.133	162.732	4.353	89.895	2.336	0.331	20000.0
27	17.112	162.47	4.349	90.01	2.317	0.343	20000.0
28	16.98	161.961	4.331	89.647	2.325	0.345	30000.0
29	17.492	163.556	4.475	90.404	2.317	0.33	20000.0
30	16.909	163.03	4.27	90.224	2.337	0.332	20000.0
31	16.92	162.726	4.324	89.912	2.334	0.343	20000.0
32	16.582	162.227	4.216	89.932	2.354	0.342	40000.0
33	16.788	162.897	4.235	90.118	2.369	0.33	20000.0
34	16.927	162.663	4.291	90.158	2.331	0.336	20000.0
35	16.762	162.216	4.262	89.926	2.327	0.339	20000.0
36	16.905	163.096	4.283	90.399	2.348	0.331	40000.0
37	16.958	161.418	4.339	89.504	2.296	0.341	20000.0
38	16.515	161.079	4.173	89.42	2.332	0.349	30000.0
39	16.743	162.746	4.271	90.169	2.365	0.334	20000.0
40	17.003	162.123	4.345	89.835	2.33	0.335	20000.0
41	16.939	163.058	4.334	90.352	2.343	0.329	20000.0
42	16.944	162.848	4.343	90.018	2.336	0.336	20000.0
43	17.189	163.4	4.374	89.998	2.351	0.329	20000.0
44	17.443	163.503	4.485	90.206	2.293	0.338	20000.0
45	16.966	162.911	4.297	90.093	2.373	0.329	30000.0
46	17.059	163.039	4.348	90.445	2.335	0.332	20000.0
47	17.067	161.8	4.361	89.617	2.315	0.347	30000.0
48	17.051	162.855	4.326	90.077	2.34	0.334	40000.0
49	16.977	163.285	4.312	90.274	2.343	0.332	40000.0
50	17.158	162.636	4.366	89.965	2.321	0.333	20000.0
51	17.061	162.339	4.329	89.814	2.304	0.333	30000.0
52	17.241	163.667	4.393	90.199	2.343	0.324	40000.0
53	17.081	163.85	4.362	90.731	2.369	0.323	40000.0
54	17.194	162.913	4.395	90.056	2.335	0.338	20000.0
55	17.074	161.912	4.34	89.631	2.306	0.337	20000.0
56	17.211	163.39	4.371	90.314	2.331	0.322	30000.0
57	16.926	163.328	4.317	90.402	2.343	0.331	40000.0
58	17.559	164.006	4.501	90.315	2.299	0.331	30000.0
59	16.781	163.021	4.24	90.324	2.345	0.331	40000.0
60	16.816	162.704	4.265	90.108	2.341	0.339	30000.0
61	16.856	162.302	4.269	89.824	2.353	0.338	20000.0
62	16.996	162.795	4.338	90.31	2.326	0.336	20000.0
63	17.1	162.908	4.385	90.161	2.341	0.333	40000.0
64	17.168	162.734	4.377	89.959	2.31	0.332	30000.0
65	17.082	162.887	4.399	90.039	2.321	0.331	40000.0
66	16.902	162.955	4.271	90.311	2.342	0.333	20000.0
67	17.08	162.743	4.359	89.746	2.319	0.335	30000.0
68	17.174	162.224	4.399	89.942	2.299	0.334	40000.0
69	16.682	161.781	4.219	89.828	2.333	0.344	20000.0
70	16.85	162.975	4.25	90.157	2.378	0.335	40000.0
71	16.782	162.121	4.274	90.019	2.343	0.337	20000.0
72	17.036	162.956	4.33	90.191	2.331	0.335	30000.0
73	17.028	163.262	4.357	90.489	2.351	0.332	40000.0
74	17.151	163.09	4.322	89.958	2.329	0.326	30000.0
75	17.032	161.795	4.377	89.783	2.329	0.334	30000.0
76	16.584	163.019	4.182	89.835	2.387	0.334	20000.0
77	17.106	162.98	4.333	90.135	2.313	0.338	30000.0
78	16.969	163.011	4.295	90.125	2.33	0.335	30000.0
79	17.656	163.394	4.556	90.263	2.288	0.345	20000.0
80	17.547	163.874	4.509	90.337	2.306	0.338	30000.0
81	16.668	162.025	4.228	89.94	2.36	0.338	30000.0
82	16.622	161.555	4.206	89.609	2.353	0.346	20000.0
83	17.28	164.001	4.399	90.224	2.349	0.327	40000.0
84	16.935	161.816	4.295	89.755	2.326	0.338	50000.0
85	16.946	163.288	4.296	90.344	2.347	0.333	30000.0
86	17.086	163.349	4.356	90.303	2.337	0.328	30000.0
87	16.951	162.13	4.304	89.69	2.331	0.337	40000.0
88	16.968	162.36	4.295	89.699	2.303	0.332	30000.0
89	17.45	162.696	4.496	89.95	2.282	0.338	20000.0
90	17.026	162.121	4.321	89.736	2.301	0.344	20000.0
91	16.96	162.942	4.277	90.074	2.327	0.334	20000.0
92	16.672	161.985	4.201	90.174	2.337	0.339	20000.0
93	17.141	163.219	4.331	90.326	2.329	0.33	20000.0
94	17.177	162.962	4.384	90.308	2.312	0.336	20000.0
95	17.058	162.432	4.343	89.921	2.33	0.338	20000.0
96	17.081	161.999	4.356	89.666	2.301	0.339	20000.0
97	17.587	164.642	4.506	90.561	2.318	0.328	40000.0
98	17.081	163.044	4.374	90.072	2.352	0.328	30000.0
99	16.952	163.124	4.33	90.317	2.344	0.333	20000.0
100	17.535	163.278	4.506	90.405	2.29	0.333	30000.0
101	16.787	162.449	4.269	90.227	2.363	0.332	20000.0
102	16.65	161.755	4.206	89.689	2.328	0.346	20000.0
103	16.73	162.239	4.252	90.013	2.342	0.342	40000.0
104	16.884	162.557	4.252	90.015	2.332	0.341	20000.0
105	16.701	162.42	4.251	90.025	2.342	0.335	20000.0
106	16.691	162.728	4.24	90.065	2.36	0.338	20000.0
107	17.205	163.186	4.402	90.315	2.334	0.331	40000.0
108	17.595	163.115	4.537	90.257	2.283	0.338	30000.0
109	16.836	162.914	4.251	90.095	2.353	0.336	40000.0
110	17.19	162.765	4.373	89.885	2.316	0.334	30000.0
111	16.781	162.788	4.255	90.081	2.339	0.338	20000.0
112	16.779	162.912	4.285	90.088	2.368	0.34	30000.0
113	16.73	162.598	4.258	90.139	2.37	0.335	20000.0
114	16.899	163.203	4.265	90.355	2.358	0.333	30000.0
115	16.655	162.755	4.208	90.101	2.396	0.33	20000.0
116	16.687	162.3	4.208	90.003	2.353	0.337	40000.0
117	17.044	162.531	4.339	89.681	2.308	0.346	40000.0
118	16.887	163.545	4.278	90.307	2.362	0.333	30000.0
119	17.645	164.463	4.529	90.611	2.317	0.329	40000.0
120	17.136	162.072	4.344	89.64	2.311	0.333	30000.0
121	17.089	163.146	4.341	90.272	2.337	0.334	30000.0
122	17.214	163.125	4.398	90.456	2.326	0.333	20000.0
123	16.924	163.207	4.291	90.216	2.347	0.332	30000.0
124	17.118	162.985	4.331	90.051	2.325	0.331	20000.0
125	16.747	162.809	4.269	90.106	2.366	0.333	30000.0
126	16.944	163.456	4.309	90.515	2.335	0.329	40000.0
127	16.97	163.661	4.33	90.448	2.366	0.333	20000.0
128	16.538	161.551	4.191	89.604	2.375	0.34	30000.0
129	17.077	162.578	4.362	89.911	2.35	0.331	40000.0
130	16.949	163.274	4.281	90.35	2.346	0.33	40000.0
131	16.925	162.491	4.284	89.959	2.35	0.332	30000.0
132	17.097	162.606	4.348	89.978	2.314	0.335	20000.0
133	16.966	163.3	4.313	90.325	2.356	0.333	20000.0
134	16.877	161.593	4.302	89.744	2.319	0.345	30000.0
135	17.005	162.33	4.32	89.914	2.312	0.34	20000.0
136	17.015	161.837	4.322	89.717	2.327	0.334	20000.0
137	17.055	162.167	4.349	89.87	2.325	0.328	20000.0
138	17.156	162.243	4.402	89.666	2.305	0.339	20000.0
139	17.56	164.347	4.541	90.484	2.31	0.326	30000.0
140	16.609	161.993	4.208	89.545	2.365	0.341	20000.0
141	17.047	161.877	4.378	89.807	2.309	0.338	30000.0
142	16.755	162.624	4.232	90.047	2.362	0.334	30000.0
143	16.78	163.033	4.217	90.151	2.371	0.332	20000.0
144	17.118	163.146	4.349	89.9	2.318	0.337	40000.0
145	16.756	162.308	4.23	89.67	2.351	0.336	20000.0
146	16.7	162.649	4.216	89.953	2.377	0.335	20000.0
147	17.703	163.932	4.528	90.537	2.297	0.336	20000.0
148	16.983	163.267	4.335	90.455	2.334	0.331	20000.0
149	16.955	162.463	4.322	90.194	2.321	0.335	40000.0
150	16.969	162.927	4.31	90.147	2.334	0.337	20000.0
151	16.823	163.313	4.237	90.416	2.366	0.331	20000.0
152	16.926	162.817	4.324	90.166	2.329	0.333	20000.0
153	17.098	162.004	4.317	89.483	2.299	0.337	30000.0
154	16.852	162.506	4.234	90.014	2.352	0.338	40000.0
155	16.975	162.88	4.303	90.228	2.345	0.329	20000.0
156	16.998	162.925	4.368	90.183	2.338	0.337	40000.0
157	17.06	162.928	4.361	90.393	2.342	0.334	20000.0
158	16.994	163.702	4.332	90.463	2.346	0.326	20000.0
159	17.002	163.39	4.333	90.454	2.35	0.329	20000.0
160	17.075	162.02	4.345	89.711	2.327	0.337	40000.0
161	17.182	163.121	4.386	90.15	2.306	0.339	20000.0
162	17.212	163.726	4.344	90.342	2.318	0.322	20000.0
163	16.655	161.887	4.218	89.721	2.352	0.343	40000.0
164	16.775	162.529	4.244	90.136	2.359	0.335	40000.0
165	17.015	162.333	4.339	90.029	2.321	0.338	30000.0
166	16.939	161.955	4.303	89.928	2.324	0.337	30000.0
167	16.968	161.256	4.321	89.323	2.294	0.345	20000.0
168	16.842	163.209	4.265	90.475	2.362	0.332	20000.0
169	17.174	163.086	4.338	90.213	2.322	0.336	30000.0
170	17.011	163.618	4.314	90.41	2.359	0.327	30000.0
171	16.841	162.629	4.241	90.136	2.33	0.336	20000.0
172	17.025	162.338	4.322	89.908	2.309	0.343	30000.0
173	16.607	161.789	4.174	89.584	2.373	0.338	20000.0
174	17.043	162.258	4.312	89.745	2.332	0.341	20000.0
175	16.784	162.261	4.258	89.898	2.329	0.338	40000.0
176	16.875	162.793	4.303	90.193	2.329	0.332	20000.0
177	16.755	161.902	4.268	89.988	2.323	0.343	20000.0
178	17.079	163.05	4.352	90.202	2.334	0.332	20000.0
179	17.064	162.929	4.331	89.952	2.316	0.338	30000.0
180	16.801	162.789	4.271	90.117	2.37	0.329	30000.0
181	16.696	162.657	4.227	89.936	2.371	0.335	30000.0
182	16.817	163.146	4.261	90.098	2.363	0.335	30000.0
183	17.073	162.486	4.368	90.168	2.311	0.338	20000.0
184	16.898	163.363	4.29	90.467	2.361	0.327	30000.0
185	17.627	164.353	4.515	90.338	2.306	0.328	20000.0
