Chr	Start	End	Name	Score	Strand	Length
chrX	100627108	100639991	TSPAN6	0	-	12883
chrX	100584936	100599885	TNMD	0	+	14949
chr20	50934867	50959140	DPM1	0	-	24273
chr1	169662007	169854080	C1orf112	0	+	192073
chr1	27612064	27635185	FGR	0	-	23121
chr1	196652043	196747504	CFH	0	+	95461
chr6	143494812	143511720	FUCA2	0	-	16908
chr6	53497341	53616970	GCLC	0	-	119629
chr1	24415802	24472976	NIPAL3	0	+	57174
chr6	46129989	46146688	ENPP4	0	+	16699
chr3	50155045	50189075	SEMA3F	0	+	34030
chr7	92245974	92401383	ANKIB1	0	+	155409
chr12	911736	990053	RAD52	0	-	78317
chr4	17577198	17607972	LAP3	0	+	30774
chrX	2691187	2741309	CD99	0	+	50122
chrY	2691187	2741309	CD99	0	+	50122
chr4	11393150	11429564	HS3ST1	0	-	36414
chr7	150824627	150861504	AOC1	0	+	36877
chr17	38869859	38921770	LASP1	0	+	51911
chr17	48103357	48123601	SNX11	0	+	20244
chrX	117897813	118117340	KLHL13	0	-	219527
chr2	72129238	72147862	CYP26B1	0	-	18624
chr7	8113184	8262687	ICA1	0	-	149503
chr2	201700267	201782112	ALS2	0	-	81845
chr2	201182898	201229406	CASP10	0	+	46508
chr2	201116154	201176687	CFLAR	0	+	60533
chr2	187464230	187565760	TFPI	0	-	101530
chr8	17296794	17413528	MTMR7	0	-	116734
chr8	17497088	17570573	SLC7A2	0	+	73485
chr17	28364356	28404049	SARM1	0	+	39693
chr3	129555214	129606676	PLXND1	0	-	51462
chr1	33007940	33080996	AK2	0	-	73056
chr4	15778275	15853232	CD38	0	+	74957
chr12	2794970	2805423	FKBP4	0	+	10453
chr1	23019443	23083689	KDM1A	0	+	64246
chr3	49940007	50100045	RBM6	0	+	160038
chr17	3860315	3894891	CAMKK1	0	-	34576
chr7	93232340	93361123	VPS50	0	+	128783
chr19	35754566	35758079	HSPB6	0	-	3513
chr19	35774532	35788822	ARHGAP33	0	+	14290
chr16	23581014	23596316	NDUFAB1	0	-	15302
chr7	95583499	95596516	PDK4	0	-	13017
chr3	50341110	50345732	ZMYND10	0	-	4622
chrX	25003694	25016420	ARX	0	-	12726
chr7	96120220	96322147	SLC25A13	0	-	201927
chr7	116953238	117230176	ST7	0	+	276938
chr17	47117703	47189422	CDC27	0	-	71719
chr17	7225342	7234517	DVL2	0	-	9175
chr16	2852730	2858170	PRSS22	0	-	5440
chr19	18831959	18868230	UPF1	0	+	36271
chr7	26667068	26995239	SKAP2	0	-	328171
chrX	119468422	119471396	SLC25A5	0	+	2974
chr4	109560209	109688719	MCUB	0	+	128510
chr7	27181157	27185232	HOXA11	0	-	4075
chr17	5440917	5468982	DHX33	0	-	28065
chr17	43640389	43661922	MEOX1	0	-	21533
