Chr	Start	End	Strand	Gene_ID	Gene_Name	Transcript_ID	Transcript_Length
chr1	68585	74585	+	ENSG00000186092	OR4F5	ENST00000641515	6166
chr1	447740	453740	-	ENSG00000284733	OR4F29	ENST00000426406	938
chr1	682716	688716	-	ENSG00000284662	OR4F16	ENST00000332831	938
chr1	941203	947203	-	ENSG00000188976	NOC2L	ENST00000327044	15053
chr1	941574	947574	+	ENSG00000187634	SAMD11	ENST00000616016	20651
chr1	962719	968719	+	ENSG00000187961	KLHL17	ENST00000338591	5135
chr1	972204	978204	-	ENSG00000187642	PERM1	ENST00000341290	6889
chr1	972865	978865	+	ENSG00000187583	PLEKHN1	ENST00000379410	9383
chr1	995962	1001962	-	ENSG00000188290	HES4	ENST00000428771	1210
chr1	1011540	1017540	+	ENSG00000187608	ISG15	ENST00000624697	13402
chr1	1053116	1059116	+	ENSG00000188157	AGRN	ENST00000379370	35996
chr1	1067967	1073967	-	ENSG00000237330	RNF223	ENST00000453464	3339
chr1	1078823	1084823	-	ENSG00000131591	C1orf159	ENST00000379325	34272
chr1	1194936	1200936	+	ENSG00000162571	TTLL10	ENST00000379290	24056
chr1	1200508	1206508	-	ENSG00000186891	TNFRSF18	ENST00000379268	3084
chr1	1208340	1214340	-	ENSG00000186827	TNFRSF4	ENST00000379236	2813
chr1	1213909	1219909	-	ENSG00000078808	SDF4	ENST00000660930	15158
chr1	1232041	1238041	+	ENSG00000176022	B3GALT6	ENST00000379198	2804
chr1	1239453	1245453	-	ENSG00000184163	C1QTNF12	ENST00000330388	4269
chr1	1250909	1256909	-	ENSG00000160087	UBE2J2	ENST00000450390	19944
chr1	1289025	1295025	+	ENSG00000162572	SCNN1D	ENST00000379116	11589
chr1	1289391	1295391	-	ENSG00000131584	ACAP3	ENST00000354700	15539
chr1	1308585	1314585	-	ENSG00000127054	INTS11	ENST00000540437	13102
chr1	1308677	1314677	+	ENSG00000169972	PUSL1	ENST00000379031	3080
chr1	1325896	1331896	+	ENSG00000224051	CPTP	ENST00000343938	4094
chr1	1332278	1338278	-	ENSG00000107404	DVL1	ENST00000378888	14140
chr1	1332314	1338314	+	ENSG00000169962	TAS1R3	ENST00000339381	4034
chr1	1349692	1355692	-	ENSG00000162576	MXRA8	ENST00000477278	9085
chr1	1370736	1376736	-	ENSG00000175756	AURKAIP1	ENST00000338338	1471
chr1	1382711	1388711	-	ENSG00000221978	CCNL2	ENST00000400809	13624
chr1	1398909	1404909	-	ENSG00000242485	MRPL20	ENST00000344843	5384
chr1	1415420	1421420	-	ENSG00000235098	ANKRD65	ENST00000427211	3349
chr1	1427255	1433255	+	ENSG00000205116	TMEM88B	ENST00000378821	4384
chr1	1439882	1445882	+	ENSG00000179403	VWA1	ENST00000476993	7192
chr1	1467163	1473163	+	ENSG00000215915	ATAD3C	ENST00000378785	20474
chr1	1494848	1500848	+	ENSG00000160072	ATAD3B	ENST00000673477	26083
chr1	1531685	1537685	+	ENSG00000197785	ATAD3A	ENST00000378756	22523
chr1	1531778	1537778	-	ENSG00000205090	TMEM240	ENST00000378733	5846
chr1	1538673	1544673	-	ENSG00000160075	SSU72	ENST00000291386	33190
chr1	1595012	1601012	-	ENSG00000228594	FNDC10	ENST00000422725	2123
chr1	1627604	1633604	+	ENSG00000197530	MIB2	ENST00000479659	15150
chr1	1631654	1637654	+	ENSG00000189409	MMP23B	ENST00000356026	2481
chr1	1632225	1638225	-	ENSG00000248333	CDK11B	ENST00000341832	23779
chr1	1656529	1662529	-	ENSG00000189339	SLC35E2B	ENST00000614300	33195
chr1	1699379	1705379	-	ENSG00000008128	CDK11A	ENST00000404249	21978
chr1	1748232	1754232	-	ENSG00000008130	NADK	ENST00000378625	28837
chr1	1782285	1788285	-	ENSG00000078369	GNB1	ENST00000610897	105832
chr1	1914294	1920294	+	ENSG00000169885	CALML6	ENST00000378604	2186
chr1	1914591	1920591	-	ENSG00000178821	TMEM52	ENST00000310991	1688
chr1	1918951	1924951	-	ENSG00000142609	CFAP74	ENST00000493964	81886
chr1	2027758	2033758	+	ENSG00000187730	GABRD	ENST00000378585	11413
chr1	2181464	2187464	-	ENSG00000162585	FAAP20	ENST00000469733	23269
chr1	2182395	2188395	+	ENSG00000067606	PRKCZ	ENST00000378567	134984
chr1	2307213	2313213	+	ENSG00000157933	SKI	ENST00000378536	81894
chr1	2318253	2324253	-	ENSG00000116151	MORN1	ENST00000378531	70301
chr1	2400964	2406964	-	ENSG00000157911	PEX10	ENST00000288774	8600
chr1	2402442	2408442	+	ENSG00000157916	RER1	ENST00000378513	13667
chr1	2476804	2482804	+	ENSG00000149527	PLCH2	ENST00000609981	53824
chr1	2505537	2511537	-	ENSG00000157881	PANK4	ENST00000378466	18059
chr1	2525745	2531745	-	ENSG00000197921	HES5	ENST00000378453	1518
chr1	2560829	2566829	+	ENSG00000157873	TNFRSF14	ENST00000355716	7458
chr1	2587639	2593639	-	ENSG00000142606	MMEL1	ENST00000378412	42377
chr1	2588467	2594467	+	ENSG00000157870	PRXL2B	ENST00000444521	4717
chr1	2632976	2638976	-	ENSG00000215912	TTC34	ENST00000401095	165741
chr1	3019903	3025903	+	ENSG00000169717	ACTRT2	ENST00000378404	1436
chr1	3435621	3441621	+	ENSG00000142611	PRDM16	ENST00000270722	369418
chr1	3478113	3484113	+	ENSG00000130762	ARHGEF16	ENST00000378378	26448
chr1	3484951	3490951	-	ENSG00000162591	MEGF6	ENST00000356575	123557
chr1	3627127	3633127	+	ENSG00000158109	TPRG1L	ENST00000378344	5112
chr1	3627770	3633770	-	ENSG00000116213	WRAP73	ENST00000270708	19333
chr1	3733201	3739201	+	ENSG00000078900	TP73	ENST00000378295	83685
chr1	3768645	3774645	+	ENSG00000162592	CCDC27	ENST00000462521	19200
chr1	3772956	3778956	+	ENSG00000235169	SMIM1	ENST00000642557	3207
chr1	3775559	3781559	-	ENSG00000130764	LRRC47	ENST00000378251	17939
chr1	3809086	3815086	-	ENSG00000116198	CEP104	ENST00000674558	45310
chr1	3882420	3888420	+	ENSG00000169598	DFFB	ENST00000338895	28153
chr1	3886125	3892125	-	ENSG00000198912	C1orf174	ENST00000474140	11168
chr1	4789534	4795534	+	ENSG00000196581	AJAP1	ENST00000378191	137925
chr1	5859813	5865813	-	ENSG00000131697	NPHP4	ENST00000489180	129660
chr1	6098193	6104193	+	ENSG00000069424	KCNAB2	ENST00000378097	108931
chr1	6098787	6104787	-	ENSG00000116254	CHD5	ENST00000262450	78534
chr1	6183692	6189692	-	ENSG00000116251	RPL22	ENST00000471204	22552
chr1	6218193	6224193	-	ENSG00000116237	ICMT	ENST00000343813	14771
chr1	6218299	6224299	+	ENSG00000158286	RNF207	ENST00000377939	15180
chr1	6242578	6248578	+	ENSG00000173673	HES3	ENST00000377898	1399
chr1	6244353	6250353	-	ENSG00000158292	GPR153	ENST00000377893	13745
chr1	6261272	6267272	-	ENSG00000097021	ACOT7	ENST00000361521	129495
chr1	6409418	6415418	-	ENSG00000069812	HES2	ENST00000377837	12252
chr1	6457786	6463786	-	ENSG00000215788	TNFRSF25	ENST00000356876	5387
chr1	6457944	6463944	+	ENSG00000187017	ESPN	ENST00000645284	36168
chr1	6464122	6470122	-	ENSG00000171680	PLEKHG5	ENST00000377740	52887
chr1	6518347	6524347	-	ENSG00000162408	NOL9	ENST00000377705	33166
chr1	6576755	6582755	+	ENSG00000173662	TAS1R1	ENST00000333172	24448
chr1	6586280	6592280	+	ENSG00000204859	ZBTB48	ENST00000377674	9286
chr1	6590193	6596193	-	ENSG00000162413	KLHL21	ENST00000467612	21367
chr1	6621030	6627030	+	ENSG00000116273	PHF13	ENST00000377648	10299
chr1	6631170	6637170	-	ENSG00000007923	DNAJC11	ENST00000377577	67646
chr1	6632586	6638586	+	ENSG00000041988	THAP3	ENST00000377627	10394
chr1	7766706	7772706	+	ENSG00000171735	CAMTA1	ENST00000303635	984252
chr1	7778432	7784432	+	ENSG00000049245	VAMP3	ENST00000054666	10136
chr1	7840083	7846083	-	ENSG00000049247	UTS2	ENST00000377516	10429
chr1	7842177	7848177	+	ENSG00000049246	PER3	ENST00000377532	60886
chr1	7912894	7918894	-	ENSG00000049249	TNFRSF9	ENST00000615230	27271
chr1	7982052	7988052	+	ENSG00000116288	PARK7	ENST00000493373	30761
chr1	8001404	8007404	-	ENSG00000116285	ERRFI1	ENST00000474874	21879
chr1	8341165	8347165	+	ENSG00000162426	SLC45A1	ENST00000471889	26051
chr1	8358158	8364158	-	ENSG00000142599	RERE	ENST00000656437	487763
chr1	8858002	8864002	-	ENSG00000074800	ENO1	ENST00000647408	17687
chr1	8972092	8978092	+	ENSG00000131686	CA6	ENST00000377443	29224
chr1	8999973	9005973	-	ENSG00000197241	SLC2A7	ENST00000400906	23450
chr1	9038785	9044785	-	ENSG00000142583	SLC2A5	ENST00000486632	46693
chr1	9097305	9103305	-	ENSG00000180758	GPR157	ENST00000377411	28797
chr1	9268337	9274337	+	ENSG00000049239	H6PD	ENST00000377403	36563
chr1	9366532	9372532	+	ENSG00000171621	SPSB1	ENST00000328089	76638
chr1	9582173	9588173	+	ENSG00000171612	SLC25A33	ENST00000302692	45708
chr1	9611877	9617877	+	ENSG00000188807	TMEM201	ENST00000340381	25966
chr1	9725926	9731926	-	ENSG00000171603	CLSTN1	ENST00000377298	95039
chr1	9726114	9732114	+	ENSG00000171608	PIK3CD	ENST00000377346	77383
chr1	9845276	9851276	-	ENSG00000178585	CTNNBIP1	ENST00000377263	61993
