Chr	Start	End	Name	Score	Strand	Length
chrX	99882105	99894988	TSPAN6	0	-	12883
chrX	99839933	99854882	TNMD	0	+	14949
chr20	49551404	49575677	DPM1	0	-	24273
chr1	169631245	169823221	C1orf112	0	+	191976
chr1	27938575	27961696	FGR	0	-	23121
chr6	143815949	143832857	FUCA2	0	-	16908
chr6	53362139	53481768	GCLC	0	-	119629
chr1	24742292	24799466	NIPAL3	0	+	57174
chr6	46097726	46114425	ENPP4	0	+	16699
chr3	50192478	50226508	SEMA3F	0	+	34030
chr7	116927174	117356025	CFTR	0	+	428851
chr7	91875288	92030697	ANKIB1	0	+	155409
chr12	1020902	1099219	RAD52	0	-	78317
chr4	17578821	17609595	LAP3	0	+	30774
chrX	2609228	2659350	CD99	0	+	50122
chrY	2559228	2609350	CD99	0	+	50122
chr4	11394774	11431188	HS3ST1	0	-	36414
chr7	150521715	150558592	AOC1	0	+	36877
chr7	120965421	120981158	WNT16	0	+	15737
chr7	43152228	43605600	HECW1	0	+	453372
chr17	37026112	37078023	LASP1	0	+	51911
chr17	46180719	46200963	SNX11	0	+	20244
chrX	117031776	117251303	KLHL13	0	-	219527
chr2	72356367	72374991	CYP26B1	0	-	18624
chr7	8152814	8302317	ICA1	0	-	149503
chr2	202564990	202646835	ALS2	0	-	81845
chr2	202047595	202094151	CASP10	0	+	46556
chr2	201980877	202041410	CFLAR	0	+	60533
chr2	188328957	188430487	TFPI	0	-	101530
chr8	17154303	17271037	MTMR7	0	-	116734
chr8	17354597	17428082	SLC7A2	0	+	73485
chr17	26691378	26731067	SARM1	0	+	39689
chr3	129274057	129325519	PLXND1	0	-	51462
chr1	33473587	33546597	AK2	0	-	73010
chr4	15779898	15854855	CD38	0	+	74957
chr12	2904136	2914589	FKBP4	0	+	10453
chr1	23345936	23410182	KDM1A	0	+	64246
chr3	49977440	50137478	RBM6	0	+	160038
chr17	3763609	3798185	CAMKK1	0	-	34576
chr7	92861653	92990435	VPS50	0	+	128782
chr19	36245467	36248980	HSPB6	0	-	3513
chr19	36265434	36279724	ARHGAP33	0	+	14290
chr16	23592335	23607637	NDUFAB1	0	-	15302
chr7	95212811	95225828	PDK4	0	-	13017
chr6	110745890	110797844	SLC22A16	0	-	51954
chr3	50378541	50383163	ZMYND10	0	-	4622
chr7	20655290	20816658	ABCB5	0	+	161368
chrX	25021811	25034537	ARX	0	-	12726
chr7	95749532	95951459	SLC25A13	0	-	201927
chr7	116593292	116870230	ST7	0	+	276938
chr17	45195069	45266788	CDC27	0	-	71719
chr7	93053798	93204042	CALCR	0	-	150244
chr17	7128661	7137836	DVL2	0	-	9175
chr16	2902731	2908171	PRSS22	0	-	5440
chr19	18942768	18979039	UPF1	0	+	36271
chr7	26706687	27034858	SKAP2	0	-	328171
chrX	118602385	118605359	SLC25A5	0	+	2974
chr4	110481365	110609875	MCUB	0	+	128510
chr7	27220776	27224851	HOXA11	0	-	4075
chr17	5344237	5372302	DHX33	0	-	28065
chr17	41717757	41739290	MEOX1	0	-	21533
chr7	11409992	11871824	THSD7A	0	-	461832
chr12	48055032	48099813	RPAP3	0	-	44781
chr16	20621565	20808903	ACSM3	0	+	187338
chr16	20817751	20860987	REXO5	0	+	43236
chr16	57462099	57481332	CIAPIN1	0	-	19233
chr9	35104109	35116338	FAM214B	0	-	12229
chr17	46103533	46115392	COPZ2	0	-	11859
chr7	106685150	106802256	PRKAR2B	0	+	117106
chrX	11776278	11793891	MSL3	0	+	17613
chr16	3775055	3930714	CREBBP	0	-	155659
chr17	56378589	56406156	TSPOAP1	0	-	27567
chr17	56347216	56358296	MPO	0	-	11080
chr7	94926988	94953844	PON1	0	-	26856
chr2	75879126	75938111	GCFC2	0	-	58985
chr2	74648805	74652882	WDR54	0	+	4077
chr7	86974980	87029110	CROT	0	+	54130
chr7	87031012	87109751	ABCB4	0	-	78739
chr7	75471920	75518244	RHBDD2	0	+	46324
chr16	1031770	1036979	SOX8	0	+	5209
chr6	82879703	82957471	IBTK	0	-	77768
chr11	3360491	3400452	ZNF195	0	-	39961
chr13	77616609	77901229	MYCBP2	0	-	284620
chr13	77566733	77601330	FBXL3	0	-	34597
chr16	30483979	30534888	ITGAL	0	+	50909
chr17	48133332	48167845	ITGA3	0	+	34513
chrX	24167290	24234372	ZFX	0	+	67082
chrX	119560003	119603220	LAMP2	0	-	43217
chr17	42449548	42467017	ITGA2B	0	-	17469
chr7	95107756	95169545	ASB4	0	+	61789
chr16	19513015	19533445	GDE1	0	-	20430
chr19	18683030	18718551	CRLF1	0	-	35521
chr17	45884738	45899200	OSBPL7	0	-	14462
chr17	31254928	31272124	TMEM98	0	+	17196
chr17	7191582	7197958	YBX2	0	-	6376
chr17	39502344	39507080	KRT33A	0	-	4736
chr17	43340486	43394395	MAP3K14	0	-	53909
chr11	17414045	17498441	ABCC8	0	-	84396
chr17	33905065	34053432	AP2B1	0	+	148367
chr7	97361396	97369784	TAC1	0	+	8388
chr16	3313800	3351401	ZNF263	0	+	37601
chr16	57406389	57418956	CX3CL1	0	+	12567
chr17	48620419	48633213	SPATA20	0	+	12794
chr17	48638076	48704835	CACNA1G	0	+	66759
chr7	96634865	96640352	DLX6	0	+	5487
chr14	71189243	71276251	MAP3K9	0	-	87008
chr7	39663164	39747719	RALA	0	+	84555
chr7	97920962	98030402	BAIAP2L1	0	-	109440
chr7	139784546	139876783	KDM7A	0	-	92237
chr7	13930854	14031050	ETV1	0	-	100196
chr7	141251078	141355044	AGK	0	+	103966
chr11	67776048	67796749	ALDH3B1	0	+	20701
chr1	55245385	55266996	TTC22	0	-	21611
chr7	77428090	77586820	PHTF2	0	+	158730
chr7	75398851	75419214	CCL26	0	-	20363
chr2	242295700	242434256	FARP2	0	+	138556
chr11	17515442	17565963	USH1C	0	-	50521
chr19	3594505	3606873	TBXA2R	0	-	12368
chr7	112062942	112121072	IFRD1	0	+	58130
chr17	13972807	14135053	COX10	0	+	162246
chr7	73868120	74016931	GTF2IRD1	0	+	148811
chr7	38762574	38971994	VPS41	0	-	209420
chr17	12692815	12894960	ARHGAP44	0	+	202145
chr7	12610203	12699807	SCIN	0	+	89604
chrX	2822013	2847390	ARSD	0	-	25377
chrX	7866288	7895780	PNPLA4	0	-	29492
chr12	1797740	1897840	ADIPOR2	0	+	100100
chr2	158733214	158992666	UPP2	0	+	259452
chr16	2867181	2876305	PRSS21	0	+	9124
chr19	45582546	45808542	MARK4	0	+	225996
chr4	15964699	16086001	PROM1	0	-	121302
chr19	18043824	18054800	CCDC124	0	+	10976
chr19	42055886	42093197	CEACAM21	0	+	37311
