Chr	Start	End	Name	Score	Strand	Length
chr7	117287120	117715971	CFTR	0	+	428851
chr7	121325367	121341104	WNT16	0	+	15737
chr7	43112629	43566001	HECW1	0	+	453372
chr6	110424687	110476641	SLC22A16	0	-	51954
chr7	20615667	20777038	ABCB5	0	+	161371
chr17	44248390	44268141	SLC4A1	0	-	19751
chr7	93424486	93574730	CALCR	0	-	150244
chr17	58269855	58280935	MPO	0	-	11080
chr7	95297676	95324532	PON1	0	-	26856
chr17	44372180	44389649	ITGA2B	0	-	17469
chr7	95478444	95540233	ASB4	0	+	61789
chr17	41346092	41350828	KRT33A	0	-	4736
chr16	24256335	24362412	CACNG3	0	+	106077
chr7	97732084	97740472	TAC1	0	+	8388
chr7	97005553	97011040	DLX6	0	+	5487
chr7	75769533	75789896	CCL26	0	-	20363
chr11	17493895	17544416	USH1C	0	-	50521
chr19	39704481	39709444	LGALS14	0	+	4963
chr17	10300865	10373130	MYH13	0	-	72265
chr2	157876702	158136154	UPP2	0	+	259452
chr17	11598470	11969748	DNAH9	0	+	371278
chr19	41673303	41706976	CEACAM7	0	-	33673
chrX	154295795	154330350	TKTL1	0	+	34555
chrX	100843324	100874359	NOX1	0	-	31035
chr1	209583714	209613939	CAMK1G	0	+	30225
chr6	50713526	50773033	TFAP2D	0	+	59507
chr3	42692663	42702824	HHATL	0	-	10161
chr12	220621	262873	SLC6A13	0	-	42252
chr9	33750679	33799231	PRSS3	0	+	48552
chr19	38211006	38229714	DPF1	0	-	18708
chr19	35704558	35717038	ZBTB32	0	+	12480
chrX	152166234	152451315	GABRA3	0	-	285081
chr12	100473708	100564414	NR1H4	0	+	90706
chrY	19703865	19744939	KDM5D	0	-	41074
chr8	27235308	27258420	STMN4	0	-	23112
chr5	51383448	51394730	ISL1	0	+	11282
chr1	86468368	86500259	CLCA1	0	+	31891
chr1	86547078	86580754	CLCA4	0	+	33676
chr7	99828013	99866093	CYP3A43	0	+	38080
chr19	32830509	32869767	SLC7A9	0	-	39258
chr1	56929207	56974383	C8B	0	-	45176
chr9	110668779	110806558	MUSK	0	+	137779
chr1	69567922	70151945	LRRC7	0	+	584023
chr8	48710789	48735311	CLXN	0	-	24522
chr14	99684298	99727301	CYP46A1	0	+	43003
chr8	20144855	20183206	SLC18A1	0	-	38351
chr3	122183668	122291629	CASR	0	+	107961
chr5	157625679	157671480	SOX30	0	-	45801
chr19	12751702	12758458	BEST2	0	+	6756
chr5	24487100	24644978	CDH10	0	-	157878
chr1	215622891	216423448	USH2A	0	-	800557
chr7	49850421	50121329	ZPBP	0	-	270908
chr1	42153410	42155820	GUCA2B	0	+	2410
chr4	121131408	121227466	TNIP3	0	-	96058
chr6	110243940	110358349	METTL24	0	-	114409
chr20	57329803	57343994	SPO11	0	+	14191
chr20	55997357	56005519	CBLN4	0	-	8162
chr3	52777595	52792068	ITIH1	0	+	14473
chr4	72031902	72148305	NPFFR2	0	+	116403
chr1	75796882	75913242	MSH4	0	+	116360
chr19	4153631	4173054	CREB3L3	0	+	19423
chr12	130396133	130768228	RIMBP2	0	-	372095
chr5	138083990	138092365	WNT8A	0	+	8375
chrX	3041471	3112727	ARSF	0	+	71256
chr15	41503637	41513887	LTK	0	-	10250
chr22	19146993	19150292	GSC2	0	-	3299
chr11	2301997	2318204	TSPAN32	0	+	16207
chr9	976655	991732	DMRT3	0	+	15077
chr3	87259404	87276584	POU1F1	0	-	17180
chr17	9822206	9892099	GLP2R	0	+	69893
chr6	83552880	83709691	SNAP91	0	-	156811
chr2	79185231	80648861	CTNNA2	0	+	1463630
chr3	137998735	138033655	CLDN18	0	+	34920
chr16	20536226	20576427	ACSM2B	0	-	40201
chrY	12904108	12920478	DDX3Y	0	+	16370
chrY	2935281	2982506	ZFY	0	+	47225
chrX	153517642	153582939	ATP2B3	0	+	65297
chrX	49687447	49695984	PAGE1	0	-	8537
chr5	136212745	136365545	TRPC7	0	-	152800
chr8	24440930	24526970	ADAM7	0	+	86040
chr11	637269	640706	DRD4	0	+	3437
chr16	14672548	14694308	PLA2G10	0	-	21760
chr12	14612632	14696599	GUCY2C	0	-	83967
chr11	626309	627181	SCT	0	-	872
chr19	639879	644373	FGF22	0	+	4494
chr16	57882340	57971128	CNGB1	0	-	88788
chr10	49609095	49667942	CHAT	0	+	58847
chr5	150219491	150290093	CAMK2A	0	-	70602
chr16	56865207	56915850	SLC12A3	0	+	50643
chr11	2404515	2444514	TRPM5	0	-	39999
chr11	60492778	60507430	MS4A12	0	+	14652
chr2	237566574	237567175	PRLH	0	+	601
chr2	234050679	234077134	SPP2	0	+	26455
chr2	219514170	219538772	ASIC4	0	+	24602
chrX	111768011	112082776	TRPC5	0	-	314765
chr12	72087266	72670758	TRHDE	0	+	583492
chr7	983181	989640	CYP2W1	0	+	6459
chr22	50089879	50161690	MOV10L1	0	+	71811
chr17	44758988	44781846	ADAM11	0	+	22858
chr2	168915498	169031324	ABCB11	0	-	115826
chr1	157830911	157898256	CD5L	0	-	67345
chr5	176542511	176595974	CDHR2	0	+	53463
chr5	176620082	176630556	SNCB	0	-	10474
chr6	155395368	155455839	NOX3	0	-	60471
chr4	48066393	48134250	TXK	0	-	67857
chr20	63400208	63472677	KCNQ2	0	-	72469
chr10	100463009	100483744	WNT8B	0	+	20735
chr17	66835117	66894751	CACNG5	0	+	59634
chr13	24680408	24712472	ATP12A	0	+	32064
chr19	3933069	3942416	NMRK2	0	+	9347
chr7	100643097	100656448	ACTL6B	0	-	13351
chr11	89177875	89295759	TYR	0	+	117884
chr11	90131515	90192894	NAALAD2	0	+	61379
chr7	73328161	73358637	FKBP6	0	+	30476
chr16	5239802	7713340	RBFOX1	0	+	2473538
chr8	16992181	17002345	FGF20	0	-	10164
chr8	94127162	94217303	CDH17	0	-	90141
chr4	73481745	73504001	AFM	0	+	22256
chr13	94436811	94479682	DCT	0	-	42871
chr3	96814581	97761532	EPHA6	0	+	946951
chr2	119439843	119525301	SCTR	0	-	85458
chr19	10013249	10022279	RDH8	0	+	9030
chrX	107206611	107244247	DNAAF6	0	+	37636
chr13	46053186	46105033	CPB2	0	-	51847
chr5	114055926	114496500	KCNN2	0	+	440574
chr1	196943738	196959622	CFHR2	0	+	15884
chr3	101222546	101320575	IMPG2	0	-	98029
chr1	201039512	201112451	CACNA1S	0	-	72939
chr7	123113531	123199972	SLC13A1	0	-	86441
chr2	201644870	201698694	MPP4	0	-	53824
chr6	69866556	70212468	COL19A1	0	+	345912
chr8	53225724	53251637	OPRK1	0	-	25913
chr9	70529060	71446904	TRPM3	0	-	917844
chr12	95972662	95996365	HAL	0	-	23703
chr12	21264600	21419594	SLCO1A2	0	-	154994
chr2	21001429	21044073	APOB	0	-	42644
chr2	27496839	27523684	GCKR	0	+	26845
chr16	180459	181179	HBQ1	0	+	720
chr19	50432892	50466321	MYBPC2	0	+	33429
chr16	56589074	56591088	MT3	0	+	2014
chr20	59577509	59847711	PHACTR3	0	+	270202
chr19	55013705	55038264	GP6	0	-	24559
chr20	157454	159163	DEFB127	0	+	1709
chr4	186266189	186289681	F11	0	+	23492
chr12	113462033	113472280	LHX5	0	-	10247
chr12	112570380	112898881	RPH3A	0	+	328501
chr12	117208142	117452170	NOS1	0	-	244028
chr17	42156891	42181142	KCNH4	0	-	24251
chr3	164978898	165078496	SI	0	-	99598
chr3	186635969	186653141	FETUB	0	+	17172
chr19	39498895	39508481	DLL3	0	+	9586
chr7	108023548	108130361	LAMB4	0	-	106813
chr3	3066324	3126613	IL5RA	0	-	60289
chrX	21705978	21758116	SMPX	0	-	52138
chr17	66212033	66256525	APOH	0	-	44492
chr11	22338381	22379503	SLC17A6	0	+	41122
chr7	130380339	130388114	CPA1	0	+	7775
chr14	24505353	24508265	CMA1	0	-	2912
chr14	23568038	23578790	JPH4	0	-	10752
chr14	23117036	23120256	CEBPE	0	-	3220
chr14	21280083	21351301	RPGRIP1	0	+	71218
chr3	16586792	16670306	DAZL	0	-	83514
chrY	6910686	7101970	TBL1Y	0	+	191284
chr19	15082211	15092970	OR1I1	0	+	10759
chr17	41393721	41397608	KRT31	0	-	3887
chr11	114518934	114559881	NXPE1	0	-	40947
chr10	93612537	93666010	PDE6C	0	+	53473
chr19	55364382	55370463	IL11	0	-	6081
chr10	25934229	26212532	MYO3A	0	+	278303
chr19	3473986	3480525	SMIM24	0	-	6539
chr6	39314698	39322968	KCNK16	0	-	8270
chr6	41335608	41350889	NCR2	0	+	15281
chr6	33794673	33804003	MLN	0	-	9330
chrX	30215563	30220089	MAGEB2	0	+	4526
chr19	1285873	1301431	EFNA2	0	+	15558
chrY	5000226	5742224	PCDH11Y	0	+	741998
chr11	616577	626078	CDHR5	0	-	9501
chr19	489176	505343	MADCAM1	0	+	16167
chr22	21009808	21028013	P2RX6	0	+	18205
chr22	30447959	30472017	SEC14L3	0	-	24058
chr22	24494107	24528390	UPB1	0	+	34283
chr22	25199858	25207359	CRYBB3	0	+	7501
chr22	26599278	26618027	CRYBB1	0	-	18749
chr22	38078134	38084184	SLC16A8	0	-	6050
chr22	32218464	32255347	SLC5A4	0	-	36883
chr22	38518948	38570204	DMC1	0	-	51256
chr22	29058672	29061831	C22orf31	0	-	3159
chr22	50486784	50490648	MIOX	0	+	3864
chr22	29312933	29319679	RASL10A	0	-	6746
chr22	39097224	39104067	APOBEC3H	0	+	6843
chr22	50738196	50745339	ACR	0	+	7143
chr22	43879678	43892013	PNPLA5	0	-	12335
chr14	88180103	88326907	KCNK10	0	-	146804
chr14	57469300	57493867	CCDC198	0	-	24567
chr14	76826372	76870304	LRRC74A	0	+	43932
chr14	77474394	77498816	ISM2	0	-	24422
chr14	69775416	69797241	SLC10A1	0	-	21825
chr14	70044215	70189070	SLC8A3	0	-	144855
chr14	24070837	24078100	CPNE6	0	+	7263
chr20	25070885	25082141	VSX1	0	-	11256
chr20	44337043	44351238	R3HDML	0	+	14195
chr20	44355699	44432845	HNF4A	0	+	77146
chr20	62214960	62220278	HRH3	0	-	5318
chr20	62708836	62762771	NTSR1	0	+	53935
chr20	63235883	63240495	BIRC7	0	+	4612
chr20	63240784	63272694	NKAIN4	0	-	31910
chr20	3082556	3084724	AVP	0	-	2168
chr20	63293186	63334851	COL20A1	0	+	41665
chr20	63343223	63378401	CHRNA4	0	-	35178
chr20	869900	916334	ANGPT4	0	-	46434
chr20	5299218	5316954	PROKR2	0	-	17736
chr20	31819308	31834689	MYLK2	0	+	15381
chr20	7882985	7940458	HAO1	0	-	57473
chr20	1978757	1994285	PDYN	0	-	15528
chr20	9537370	9839076	PAK5	0	-	301706
chr20	3071620	3072517	OXT	0	+	897
chr20	23564732	23568484	CST9L	0	-	3752
chr20	38724486	38729372	SLC32A1	0	+	4886
chr20	34194569	34269344	ASIP	0	+	74775
chr20	45512461	45515622	SPINT3	0	-	3161
chr20	45823214	45833745	TNNC2	0	-	10531
chr18	61333430	61555779	CDH20	0	+	222349
chr18	46667821	46759257	ST8SIA5	0	-	91436
chr18	33851100	34224952	NOL4	0	-	373852
chrX	104039956	104042454	H2BW2	0	+	2498
chrX	120109051	120115913	RHOXF1	0	-	6862
chrX	109372906	109482086	GUCY2F	0	-	109180
chrX	120362085	120383249	ATP1B4	0	+	21164
chrX	49829260	49834264	PAGE4	0	+	5004
