Chr	Start	End	Name	Score	Strand	ID
chr1	68585	74585	OR4F5	0	+	ENSG00000186092
chr1	1194936	1200936	TTLL10	0	+	ENSG00000162571
chr1	1243722	1249722	C1QTNF12	0	-	ENSG00000184163
chr1	1427255	1433255	TMEM88B	0	+	ENSG00000205116
chr1	1537624	1543624	TMEM240	0	-	ENSG00000205090
chr1	1914296	1920296	CALML6	0	+	ENSG00000169885
chr1	2000837	2006837	CFAP74	0	-	ENSG00000142609
chr1	2527263	2533263	HES5	0	-	ENSG00000197921
chr1	3019903	3025903	ACTRT2	0	+	ENSG00000169717
chr1	3768645	3774645	CCDC27	0	+	ENSG00000162592
chr1	6177321	6183321	CHD5	0	-	ENSG00000116254
chr1	6242578	6248578	HES3	0	+	ENSG00000173673
chr1	6576755	6582755	TAS1R1	0	+	ENSG00000173662
chr1	9023423	9029423	SLC2A7	0	-	ENSG00000197241
chr1	10979037	10985037	C1orf127	0	-	ENSG00000175262
chr1	11845345	11851345	NPPA	0	-	ENSG00000175206
chr1	11855945	11861945	NPPB	0	-	ENSG00000120937
chr1	12664076	12670076	AADACL4	0	+	ENSG00000204518
chr1	12725760	12731760	AADACL3	0	+	ENSG00000188984
chr1	12760699	12766699	C1orf158	0	+	ENSG00000157330
chr1	12774906	12780906	PRAMEF12	0	+	ENSG00000116726
chr1	12793628	12799628	PRAMEF1	0	+	ENSG00000116721
chr1	12828410	12834410	PRAMEF11	0	-	ENSG00000239810
chr1	12858909	12864909	PRAMEF2	0	+	ENSG00000120952
chr1	12883201	12889201	PRAMEF4	0	-	ENSG00000243073
chr1	12895270	12901270	PRAMEF10	0	-	ENSG00000187545
chr1	12917482	12923482	PRAMEF7	0	+	ENSG00000204510
chr1	12944580	12950580	PRAMEF6	0	-	ENSG00000232423
chr1	13053575	13059575	PRAMEF27	0	-	ENSG00000274764
chr1	13059878	13065878	HNRNPCL3	0	+	ENSG00000277058
chr1	13074884	13080884	PRAMEF25	0	+	ENSG00000229571
chr1	13153009	13159009	PRAMEF26	0	-	ENSG00000280267
chr1	13162631	13168631	HNRNPCL4	0	-	ENSG00000179412
chr1	13176459	13182459	PRAMEF9	0	+	ENSG00000204505
chr1	13198409	13204409	PRAMEF13	0	-	ENSG00000279169
chr1	13223106	13229106	PRAMEF18	0	-	ENSG00000279804
chr1	13260314	13266314	PRAMEF5	0	+	ENSG00000270601
chr1	13282174	13288174	PRAMEF8	0	-	ENSG00000182330
chr1	13305907	13311907	PRAMEF33	0	+	ENSG00000237700
chr1	13319598	13325598	PRAMEF15	0	+	ENSG00000204501
chr1	13344134	13350134	PRAMEF14	0	-	ENSG00000204481
chr1	13368900	13374900	PRAMEF19	0	-	ENSG00000204480
chr1	13389629	13395629	PRAMEF17	0	+	ENSG00000204479
chr1	13418328	13424328	PRAMEF20	0	+	ENSG00000204478
chr1	13511003	13517003	LRRC38	0	-	ENSG00000162494
chr1	15446242	15452242	CTRC	0	+	ENSG00000162438
chr1	15488395	15494395	CELA2B	0	+	ENSG00000215704
chr1	15738392	15744392	SLC25A34	0	+	ENSG00000162461
chr1	15744982	15750982	TMEM82	0	+	ENSG00000162460
chr1	16031050	16037050	CLCNKA	0	+	ENSG00000186510
chr1	16054311	16060311	CLCNKB	0	+	ENSG00000184908
chr1	16070651	16076651	FAM131C	0	-	ENSG00000185519
chr1	17243007	17249007	PADI1	0	+	ENSG00000142623
chr1	17361004	17367004	PADI4	0	+	ENSG00000159339
chr1	17398699	17404699	PADI6	0	+	ENSG00000276747
chr1	18856682	18862682	TAS1R2	0	-	ENSG00000179002
chr1	19677966	19683966	HTR6	0	+	ENSG00000158748
chr1	19812283	19818283	RNF186	0	-	ENSG00000178828
chr1	19920617	19926617	PLA2G2E	0	-	ENSG00000188784
chr1	20088911	20094911	PLA2G5	0	+	ENSG00000127472
chr1	20147381	20153381	PLA2G2F	0	+	ENSG00000158786
chr1	20183518	20189518	PLA2G2C	0	-	ENSG00000187980
chr1	20356518	20362518	VWA5B1	0	+	ENSG00000158816
chr1	20552020	20558020	FAM43B	0	+	ENSG00000183114
chr1	20729837	20735837	SH2D5	0	-	ENSG00000189410
chr1	21995642	22001642	CELA3B	0	+	ENSG00000219073
chr1	22009542	22015542	CELA3A	0	+	ENSG00000142789
chr1	22962338	22968338	LACTBL1	0	-	ENSG00000215906
chr1	23016100	23022100	TEX46	0	-	ENSG00000227868
chr1	23214502	23220502	HTR1D	0	-	ENSG00000179546
chr1	23910362	23916362	CNR2	0	-	ENSG00000188822
chr1	24140140	24146140	IL22RA1	0	-	ENSG00000142677
