Chr	Start	End	Name	Score	Strand
chr1	68585	74585	OR4F5	0	+
chr1	1194936	1200936	TTLL10	0	+
chr1	1427255	1433255	TMEM88B	0	+
chr1	1531778	1537778	TMEM240	0	-
chr1	1914296	1920296	CALML6	0	+
chr1	1918951	1924951	CFAP74	0	-
chr1	2525745	2531745	HES5	0	-
chr1	2632976	2638976	TTC34	0	-
chr1	3019903	3025903	ACTRT2	0	+
chr1	3768645	3774645	CCDC27	0	+
chr1	6098787	6104787	CHD5	0	-
chr1	6242578	6248578	HES3	0	+
chr1	6576755	6582755	TAS1R1	0	+
chr1	8972092	8978092	CA6	0	+
chr1	8999973	9005973	SLC2A7	0	-
chr1	10943471	10949471	C1orf127	0	-
chr1	11192981	11198981	ANGPTL7	0	+
chr1	11534551	11540551	DISP3	0	+
chr1	11842709	11848709	NPPA	0	-
chr1	11854464	11860464	NPPB	0	-
chr1	12664076	12670076	AADACL4	0	+
chr1	12725760	12731760	AADACL3	0	+
chr1	12760699	12766699	C1orf158	0	+
chr1	12774906	12780906	PRAMEF12	0	+
chr1	12793628	12799628	PRAMEF1	0	+
chr1	12821605	12827605	PRAMEF11	0	-
chr1	12858909	12864909	PRAMEF2	0	+
chr1	12876212	12882212	PRAMEF4	0	-
chr1	12889896	12895896	PRAMEF10	0	-
chr1	12917482	12923482	PRAMEF7	0	+
chr1	12935472	12941472	PRAMEF6	0	-
chr1	13046476	13052476	PRAMEF27	0	-
chr1	13059878	13065878	HNRNPCL3	0	+
chr1	13074884	13080884	PRAMEF25	0	+
chr1	13145907	13151907	PRAMEF26	0	-
chr1	13160914	13166914	HNRNPCL4	0	-
chr1	13176459	13182459	PRAMEF9	0	+
chr1	13193188	13199188	PRAMEF13	0	-
chr1	13219705	13225705	PRAMEF18	0	-
chr1	13260314	13266314	PRAMEF5	0	+
chr1	13278035	13284035	PRAMEF8	0	-
chr1	13305907	13311907	PRAMEF33	0	+
chr1	13319598	13325598	PRAMEF15	0	+
chr1	13338892	13344892	PRAMEF14	0	-
chr1	13366067	13372067	PRAMEF19	0	-
chr1	13389629	13395629	PRAMEF17	0	+
chr1	13418328	13424328	PRAMEF20	0	+
chr1	15446242	15452242	CTRC	0	+
