Chr	Start	End	Name	Score	Strand	Length
chrX	100584936	100599885	TNMD	0	+	14949
chr7	121325367	121341104	WNT16	0	+	15737
chr6	110424687	110476641	SLC22A16	0	-	51954
chr7	20615667	20777038	ABCB5	0	+	161371
chrX	25003694	25016420	ARX	0	-	12726
chr17	44248390	44268141	SLC4A1	0	-	19751
chr7	93424486	93574730	CALCR	0	-	150244
chr17	58269855	58280935	MPO	0	-	11080
chr7	95297676	95324532	PON1	0	-	26856
chr16	981770	986979	SOX8	0	+	5209
chr7	95478444	95540233	ASB4	0	+	61789
chr11	17392498	17476894	ABCC8	0	-	84396
chr16	24256335	24362412	CACNG3	0	+	106077
chr17	50560715	50627474	CACNA1G	0	+	66759
chr7	75769533	75789896	CCL26	0	-	20363
chr19	39704481	39709444	LGALS14	0	+	4963
chr17	10300865	10373130	MYH13	0	-	72265
chr2	157876702	158136154	UPP2	0	+	259452
chr19	41549518	41586844	CEACAM21	0	+	37326
chr17	11598470	11969748	DNAH9	0	+	371278
chr17	28473293	28497781	SLC13A2	0	+	24488
chr17	63938554	63972918	SCN4A	0	-	34364
chr1	209583714	209613939	CAMK1G	0	+	30225
chr6	50713526	50773033	TFAP2D	0	+	59507
chr19	46019153	46023053	PGLYRP1	0	-	3900
chr1	18630846	18748866	PAX7	0	+	118020
chr3	42692663	42702824	HHATL	0	-	10161
chr12	220621	262873	SLC6A13	0	-	42252
chr5	150190062	150222788	SLC6A7	0	+	32726
chr19	35704558	35717038	ZBTB32	0	+	12480
chr3	170459548	170586075	SLC7A14	0	-	126527
chr7	44512535	44541330	NPC1L1	0	-	28795
chr8	27235308	27258420	STMN4	0	-	23112
chr5	51383448	51394730	ISL1	0	+	11282
chr1	86468368	86500259	CLCA1	0	+	31891
chr7	99828013	99866093	CYP3A43	0	+	38080
chr19	32830509	32869767	SLC7A9	0	-	39258
chr1	56929207	56966140	C8B	0	-	36933
chr5	161847063	161899981	GABRA1	0	+	52918
chr1	156840063	156859117	INSRR	0	-	19054
