Chr	Start	End	Name	Score	Strand
chr1	68585	74585	OR4F5	0	+
chr1	365634	371634	KNOWN	0	+
chr1	2457184	2463184	HES5	0	-
chr1	2936467	2942467	ACTRT2	0	+
chr1	6302638	6308638	HES3	0	+
chr1	9060032	9066032	SLC2A7	0	-
chr1	10509210	10515210	CENPS-CORT	0	+
chr1	11846642	11852642	C1orf167	0	+
chr1	12724087	12730087	AADACL4	0	+
chr1	12785727	12791727	AADACL3	0	+
chr1	12835049	12841049	PRAMEF12	0	+
chr1	12853777	12859777	PRAMEF1	0	+
chr1	12881468	12887468	KNOWN	0	-
chr1	12904230	12910230	HNRNPCL1	0	-
chr1	12918764	12924764	PRAMEF2	0	+
chr1	12936033	12942033	PRAMEF4	0	-
chr1	12949727	12955727	PRAMEF10	0	-
chr1	12977571	12983571	PRAMEF7	0	+
chr1	12995302	13001302	PRAMEF6	0	-
chr1	13035381	13041381	KNOWN	0	+
chr1	13049394	13055394	PUTATIVE	0	-
chr1	13213356	13219356	PUTATIVE	0	-
chr1	13325196	13331196	KNOWN	0	-
chr1	13366057	13372057	KNOWN	0	+
chr1	13383646	13389646	KNOWN	0	-
chr1	13425191	13431191	KNOWN	0	+
chr1	13471689	13477689	KNOWN	0	-
chr1	13495260	13501260	KNOWN	0	+
chr1	13523943	13529943	KNOWN	0	+
chr1	13645988	13651988	KNOWN	0	+
chr1	13665269	13671269	PRAMEF14	0	-
chr1	13691889	13697889	PRAMEF19	0	-
chr1	13716089	13722089	PRAMEF17	0	+
chr1	13744803	13750803	PRAMEF20	0	+
chr1	15772737	15778737	CTRC	0	+
chr1	16071477	16077477	TMEM82	0	+
chr1	16710612	16716612	SPATA21	0	-
chr1	16863070	16869070	KNOWN	0	+
chr1	16997007	17003007	KNOWN	0	+
chr1	17057447	17063447	KNOWN	0	-
chr1	17569502	17575502	PADI1	0	+
chr1	17687499	17693499	PADI4	0	+
chr1	19172767	19178767	NOVEL	0	-
chr1	20243502	20249502	PLA2G2E	0	-
chr1	20473874	20479874	PLA2G2F	0	+
chr1	20484746	20490746	PLA2G2C	0	-
chr1	20683011	20689011	VWA5B1	0	+
chr1	22322135	22328135	CELA3B	0	+
chr1	22336035	22342035	CELA3A	0	+
chr1	23276536	23282536	LACTBL1	0	-
chr1	24194005	24200005	CNR2	0	-
chr1	26526459	26532459	CATSPER4	0	+
chr1	26753219	26759219	LIN28A	0	+
chr1	33063393	33069393	ENSG00000254553	0	+
chr1	34681732	34687732	C1orf94	0	+
chr1	40714356	40720356	TMCO2	0	+
chr1	42618491	42624491	GUCA2B	0	+
chr1	42625361	42631361	GUCA2A	0	-
chr1	44597812	44603812	KLF17	0	+
chr1	47008313	47014313	KNCN	0	-
chr1	47391849	47397849	CYP4A11	0	-
chr1	47612399	47618399	CYP4A22	0	+
chr1	48566878	48572878	KNOWN	0	+
chr1	51610758	51616758	C1orf185	0	+
chr1	53930161	53936161	DMRTB1	0	+
chr1	54595359	54601359	ENSG00000256407	0	-
chr1	55204981	55210981	MROH7-TTC4	0	+
chr1	57380896	57386896	C8A	0	+
chr1	57391880	57397880	C8B	0	-
